KID,BARCODE,FACILITY,AISLE,COLUMN,ROW,TOP,BOTTOM,CORE_TYPE,COMMENTS
"1006155525","131101","North Lawrence","28","3","4","5665","5666","",""
"1006155525","131102","North Lawrence","28","3","4","5655","5665","",""
"1006155525","131103","North Lawrence","28","3","4","5645","5655","",""
"1006155525","131104","North Lawrence","28","3","4","5635","5645","",""
"1006155527","130713","North Lawrence","28","3","6","5386","5389","BUTT",""
"1006155527","130714","North Lawrence","28","3","6","5389","5391.9","BUTT",""
"1006155527","130715","North Lawrence","28","3","6","5391.9","5394.8","BUTT",""
"1006155603","130264","North Lawrence","28","4","7","5553","5555.5","",""
"1006155603","130265","North Lawrence","28","4","7","5550","5553","",""
"1006155603","130266","North Lawrence","28","4","7","5569.4","5572.4","",""
"1006155603","130267","North Lawrence","28","4","7","5561.4","5564","",""
"1006155603","130268","North Lawrence","28","4","7","5580.5","5583","",""
"1006155603","130269","North Lawrence","28","4","7","5555.5","5558.5","",""
"1006155603","130270","North Lawrence","28","4","7","5564","5566.7","",""
"1006155525","130679","North Lawrence","28","3","6","5447","5449","",""
"1006155525","130680","North Lawrence","28","3","6","5444","5447","",""
"1006155525","130681","North Lawrence","28","3","6","5441","5444","",""
"1006155525","130682","North Lawrence","28","3","6","5438","5441","",""
"1006155527","130731","North Lawrence","28","3","5","5458","5460","BUTT",""
"1006155527","130732","North Lawrence","28","3","5","5455.3","5458","BUTT",""
"1006155527","130733","North Lawrence","28","3","5","5452.6","5455.3","BUTT",""
"1006155527","130734","North Lawrence","28","3","5","5448.8","5452.6","BUTT",""
"1006155527","130735","North Lawrence","28","3","4","5446.8","5448.8","BUTT",""
"1006155603","130272","North Lawrence","28","4","7","5575.1","5577.8","",""
"1006155603","130273","North Lawrence","28","4","7","5558.5","5561.4","",""
"1006155603","130308","North Lawrence","28","4","7","5572.4","5575.1","",""
"1006155527","130716","North Lawrence","28","3","6","5394.8","5397.5","BUTT",""
"1006155603","131106","North Lawrence","28","3","4","5560","5570","",""
"1006155603","131107","North Lawrence","28","3","4","5570","5580","",""
"1006155603","131127","North Lawrence","28","3","4","5580","5583","",""
"1006155603","131105","North Lawrence","28","3","4","5550","5560","",""
"1006155603","130263","North Lawrence","28","4","7","5566.7","5569.4","",""
"1006155603","130271","North Lawrence","28","4","7","5577.8","5580.5","",""
"1006155971","401137","North Lawrence","17","4","4","3500","5280","SAMPLES",""
"1006155525","130693","North Lawrence","28","3","6","5643.5","5645.9","",""
"1006155525","130694","North Lawrence","28","3","6","5640.8","5643.5","",""
"1006155525","130695","North Lawrence","28","3","6","5637.9","5640.8","",""
"1006155525","130696","North Lawrence","28","3","6","5635","5637.9","",""
"1006155525","130697","North Lawrence","28","3","6","5430","5431.6","",""
"1006155525","130698","North Lawrence","28","3","6","5427.6","5430","",""
"1006155525","130699","North Lawrence","28","3","6","5424.7","5427.6","",""
"1006155525","130700","North Lawrence","28","3","6","5422","5424.7","",""
"1006155525","130701","North Lawrence","28","3","6","5419","5422","",""
"1006155525","130702","North Lawrence","28","3","6","5416.5","5419","",""
"1006155525","130703","North Lawrence","28","3","6","5413.7","5416.5","",""
"1006155525","130704","North Lawrence","28","3","6","5410.7","5413.7","",""
"1006155525","130705","North Lawrence","28","3","6","5407.8","5410.7","",""
"1006155525","130706","North Lawrence","28","3","6","5404.8","5407.8","",""
"1006155525","130707","North Lawrence","28","3","6","5401.9","5404.8","",""
"1006155525","130708","North Lawrence","28","3","6","5399","5401.9","",""
"1006155527","130709","North Lawrence","28","3","6","5375","5377.7","BUTT",""
"1006155527","130710","North Lawrence","28","3","6","5377.7","5380.5","BUTT",""
"1006155527","130711","North Lawrence","28","3","5","5380.5","5383.3","BUTT",""
"1006155527","130712","North Lawrence","28","3","5","5383.3","5386","BUTT",""
"1006155525","130683","North Lawrence","28","3","6","5435","5438","",""
"1006155525","130684","North Lawrence","28","3","6","5432","5435","",""
"1006155525","130685","North Lawrence","28","3","6","5664.9","5666.5","",""
"1006155525","130686","North Lawrence","28","3","6","5661.9","5664.9","",""
"1006155525","130687","North Lawrence","28","3","6","5659.4","5661.9","",""
"1006155525","130688","North Lawrence","28","3","6","5656.7","5659.4","",""
"1006155525","130689","North Lawrence","28","3","6","5653.9","5656.7","",""
"1006155525","130690","North Lawrence","28","3","6","5651.5","5652.9","",""
"1006155525","130691","North Lawrence","28","3","6","5648.7","5651.5","",""
"1006155527","130730","North Lawrence","28","3","5","5435.6","5438.6","BUTT",""
"1006155525","130692","North Lawrence","28","3","6","5645.9","5648.7","",""
"1006155527","141604","North Lawrence","33","1","6","5415","5425","SLAB",""
"1006155527","141605","North Lawrence","33","1","6","5425","5435","SLAB",""
"1006155527","141606","North Lawrence","33","1","6","5435","5445","SLAB",""
"1006155527","141607","North Lawrence","33","1","6","5445","5455","SLAB",""
"1006155527","141608","North Lawrence","33","1","6","5455","5460","SLAB",""
