"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1002950350","A9031","1580","3000"
"1002950350","68621","3000","4000"
"1002950350","26292","4000","5260"
"1002950350","26792","5260","5505"
"1002950458","D1152","3500","5300"
"1002950458","D1153","5300","5744"
"1005451234","D1546","3500","5560"
"1005451234","D1547","5560","5965"
"1006155205","C7674","3400","5681"
"1006155299","C8728","1960","5220"
"1006155299","C8729","5220","5700"
"1006155303","C8876","1720","4270"
"1006155303","C8877","4270","5510"
"1006155303","C9381","5515","5716"
"1006155525","D0056","3650","4420"
"1006155525","D0057","4420","5800"
"1006155527","D0063","4430","5650"
"1006155561","D0450","3500","5800"
"1006155599","D0837","3600","5560"
"1006155531","D0124","3500","5700"
"1006155533","D0198","3500","5950"
"1006155535","C1389","3500","5900"
"1006155539","D0277","3500","5810"
"1006155537","D0227","3500","4020"
"1006155537","D0228","4020","5820"
"1006155541","D0318","3500","5850"
"1006155543","D0295","3500","5100"
"1006155543","D0296","5100","5825"
"1006155563","D0479","3500","5865"
"1006155593","D0806","3500","5300"
"1006155593","D0807","5300","5925"
"1006155595","D0853","3500","4560"
"1006155595","D0854","4560","5950"
"1006155597","C1610","3500","5940"
"1006155599","D0838","5560","5960"
"1006155631","D1185","3500","4260"
"1006155631","D1186","4260","6020"
"1006155639","D1062","3730","5670"
"1006155603","D0885","3500","4400"
"1006155603","D0886","4400","5870"
"1006155639","D1061","1450","3730"
"1006155673","D1374","3500","4720"
"1006155673","D1375","4720","6035"
"1006155673","D1377","3500","4720"
"1006155673","D1373","3500","4720"
"1006155717","D1829","3500","5340"
"1006155717","D1830","5340","5980"
"1006155719","D1641","3500","5200"
"1006155719","D1642","5200","6000"
"1006155971","D4010","3500","5280"
"1023732851","D5588","4500","5000"
"1023732851","D5589","5000","5590"
"1030215584","D6263","4700","5560"
"1036041839","D8603","4500","5525"
"1038394418","D7857","3550","3950"
"1038456352","D7873","4200","5610"
"1040726712","E0730","3550","4570"
"1044143903","E5744","3580","5850"
"1050379161","F4715","3500","3850"
"1050379161","F4716","3850","5100"
"1050379161","F4717","5100","5750"
"1044852526","57563","5500","5800"
"1006155653","D1144","3600","6000"
"1006155685","D1531","3500","3900"
"1006155685","D1532","3900","5610"
"1006155685","D1533","5610","5950"
"1006155755","D2552","3500","4350"
"1006155755","D2553","4350","5970"
"1006155951","F2292","4200","5760"
"1006155989","D5120","4010","5090"
"1008764516","D8198","4700","5500"
"1013335390","D5809","4000","4900"
"1013335390","D5810","4900","5605"
"1022009792","D5438","4510","5660"
"1026525711","A9221","5000","5410"
"1026525711","D5971","5400","5725"
"1032691933","D8353","3500","5630"
"1028445207","D6261","4500","5580"
"1028710089","D6226","4500","5530"
"1029101688","D6228","4500","5495"
"1030456253","D6324","4500","5000"
"1030456253","D6325","5000","5600"
"1031523895","D6568","5280","5510"
"1031523895","D6567","4500","5280"
"1036145404","D8641","4490","5610"
"1036762398","D9096","4700","5660"
"1037338532","D7588","4690","5600"
"1037652149","D7158","4800","5515"
"1037652149","D7156","4200","4800"
"1038039040","D7589","4600","5500"
"1038225763","D7660","4200","5610"
"1038394418","D7865","3950","5130"
"1038394418","D7861","5130","5620"
"1040726712","E0733","4570","5582"
"1040726726","E0839","3570","4550"
"1040726726","E0840","4550","5603"
"1041517630","A7750","3550","5018"
"1041517630","B3166","5018","5935"
"1041760797","E1786","3644","5865"
"1042323084","E1605","4700","5700"
"1042374890","E1832","4350","5522"
"1042323084","E1604","2213","4700"
"1042374890","E1830","3550","4350"
"1042656225","E1935","3540","4500"
"1042656225","E1936","4500","5600"
"1043128082","E2538","3600","4500"
"1043128071","E2496","3540","4530"
"1043128071","E2489","5460","5622"
"1043128071","E2498","4530","5460"
"1043170865","E2925","3900","4680"
"1043170865","E2987","4680","5625"
"1043128082","E2558","4500","5550"
"1043170847","E3220","3900","5650"
"1043170875","E2992","3900","5900"
"1043566635","E2929","4200","5360"
"1043566635","E2930","5360","5556"
"1043950649","E4094","3630","5670"
"1043950650","E4783","3640","5618"
"1044065215","E3938","4200","5360"
"1044065215","E3937","5360","5520"
"1044113122","E4582","3550","4200"
"1044113122","E4584","4200","5540"
"1044565454","E6638","3600","5645"
"1044584711","E6824","3500","5721"
"1044580876","E6717","4810","5475"
"1044852526","57576","3500","5500"
