KID,LASFILE
"1002950350","1006347039.las"
"1002950458","1006347031.las"
"1002950458","1006347032.las"
"1006155525","1006346986.las"
"1006155525","1006346987.las"
"1006155525","1006346904.las"
"1006155527","1006346988.las"
"1006155527","1006346989.las"
"1006155531","1006346990.las"
"1006155531","1006346991.las"
"1006155531","1006346992.las"
"1006155533","1006346993.las"
"1006155533","1006346994.las"
"1006155533","1006346995.las"
"1006155535","1006346996.las"
"1006155535","1006346997.las"
"1006155535","1006346998.las"
"1006155537","1006346999.las"
"1006155537","1006347000.las"
"1006155537","1006347001.las"
"1006155541","1006347002.las"
"1006155541","1006347003.las"
"1006155541","1006347004.las"
"1006155543","1006347005.las"
"1006155543","1006347006.las"
"1006155543","1006347007.las"
"1006155561","1006347008.las"
"1006155561","1006347009.las"
"1006155563","1006347012.las"
"1006155563","1006347010.las"
"1006155563","1006347011.las"
"1006155593","1006347013.las"
"1006155593","1006347014.las"
"1006155593","1006347015.las"
"1006155595","1006347016.las"
"1006155595","1006347017.las"
"1006155595","1006347018.las"
"1006155597","1006347019.las"
"1006155597","1006347020.las"
"1006155597","1006347021.las"
"1006155597","1003578124.las"
"1006155535","1003578121.las"
"1006155541","1003578122.las"
"1006155563","1003578123.las"
"1006155599","1006347022.las"
"1006155599","1006347023.las"
"1006155599","1006347024.las"
"1006155599","1003578125.las"
"1006155603","1006347025.las"
"1006155603","1006347026.las"
"1006155603","1006347027.las"
"1006155631","1006347028.las"
"1006155631","1006347029.las"
"1006155631","1006347030.las"
"1006155653","1006347033.las"
"1006155653","1006347034.las"
"1006155653","1006347035.las"
"1006155673","1006347036.las"
"1006155673","1006347037.las"
"1006155673","1006347038.las"
"1043566635","1044571217.las"
"1043566635","1044571321.las"
"1050379161","1052103897.las"
"1050379161","1052103991.las"
"1044584711","1044781951.las"
"1042322786","1043994631.las"
"1043950649","1044876000.las"
"1043950650","1044892100.las"
"1044065215","1044839654.las"
"1044143903","1044966543.las"
"1044143903","1044966544.las"
"1044150452","1044931140.las"
"1044186095","1051789049.las"
"1044186102","1051789046.las"
"1044186102","1051789051.las"
"1044186103","1051789043.las"
"1044852526","1052604318.las"
"1044186096","1051789037.las"
"1044565454","1045099040.las"
"1044565454","1045099043.las"
"1044584711","1044781952.las"
"1044584711","1044781954.las"
