KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1002950350","T29S R41W, Sec. 15, C       SE","Martin Jameson Oil Co.","","Arnold 1","15-187-00036","3392 KB","Strip/Sample Logs","Kansas Sample Log Service","3500","5505","","Scanned","05/125/1957"
"1006155639","T29S R41W, Sec. 29,     NE NE SE","Petroleum, Inc.","Petroleum Inc","Spikes 1-29","15-187-20692","3420 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","2000","5670","135","Scanned","08/235/1993"
"1006155819","T29S R41W, Sec. 9,     SE SW NW","H & L Operating Co.","H & L Operating Company","Ward 1-9","15-187-20790","3424 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","3890","5748","127","Scanned","09/271/1995"
"1006155819","T29S R41W, Sec. 9,     SE SW NW","H & L Operating Co.","H & L Operating Company","Ward 1-9","15-187-20790","3424 KB","Atlas Wireline Services       ","Acoustilog Compensated Neutron Gamma Ray                             ","1660","5720","126","Scanned","09/271/1995"
"1006155639","T29S R41W, Sec. 29,     NE NE SE","Petroleum, Inc.","Petroleum Inc","Spikes 1-29","15-187-20692","3420 KB","Atlas Wireline Services       ","Minilog Gamma Ray                                                    ","2000","5670","135","Scanned","08/235/1993"
"1006155639","T29S R41W, Sec. 29,     NE NE SE","Petroleum, Inc.","Petroleum Inc","Spikes 1-29","15-187-20692","3420 KB","Atlas Wireline Services       ","Dual Induction Focused Log Gamma Ray                                 ","1631","5670","135","Scanned","08/235/1993"
"1006155639","T29S R41W, Sec. 29,     NE NE SE","Petroleum, Inc.","Petroleum Inc","Spikes 1-29","15-187-20692","3420 KB","Atlas Wireline Services       ","Caliper Log Gamma Ray                                                ","1631","5670","135","Scanned","08/235/1993"
"1006155819","T29S R41W, Sec. 9,     SE SW NW","H & L Operating Co.","H & L Operating Company","Ward 1-9","15-187-20790","3424 KB","Atlas Wireline Services       ","Caliper Log Gamma Ray                                                ","1660","5748","126","Scanned","09/271/1995"
"1006155639","T29S R41W, Sec. 29,     NE NE SE","Petroleum, Inc.","Petroleum Inc","Spikes 1-29","15-187-20692","3420 KB","Atlas Wireline Services       ","BHC Acoustilog Gamma Ray                                             ","1631","5670","135","Scanned","08/235/1993"
"1006155819","T29S R41W, Sec. 9,     SE SW NW","H & L Operating Co.","H & L Operating Company","Ward 1-9","15-187-20790","3424 KB","Atlas Wireline Services       ","BHC Acoustilog Gamma Ray                                             ","1660","5748","126","Scanned","09/271/1995"
"1006155819","T29S R41W, Sec. 9,     SE SW NW","H & L Operating Co.","H & L Operating Company","Ward 1-9","15-187-20790","3424 KB","Atlas Wireline Services       ","High Resolution Dual Induction Focused Log Gamma Ray                 ","1660","5748","126","Scanned","09/271/1995"
