KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1044186095","15-187-21211","Santa Fe","21-2","Kerr-McGee Oil & Gas Onshore LP","BEREXCO LLC","Arroyo","29","S","41","W","21"," "," "," ","NW","SE","1983","-1986","SE","-101.8046878","37.5105212","Stanton","10/31/2012","12/10/2012","12/27/2012","","OIL","Converted to EOR Well","5661","3412","KB","Morrow"
"1044186096","15-187-21212","Santa Fe","21-3","Kerr-McGee Oil & Gas Onshore LP","BEREXCO LLC","Arroyo","29","S","41","W","21"," "," ","E2","SE","SE","660","-330","SE","-101.7989966","37.5068798","Stanton","10/31/2012","01/29/2013","04/01/2013","","OIL","Producing","5630","3415","KB","Morrow"
"1044186099","15-187-21215","Kendrick","22-2","Kerr-McGee Oil & Gas Onshore LP","Kerr-McGee Oil & Gas Onshore LP","Arroyo","29","S","41","W","22"," "," "," ","NW","SE","1980","-1980","SE","-101.7865295","37.5103969","Stanton","10/31/2012","","","","LOC","Expired Intent to Drill (C-1)","","3385","GL","Morrow"
"1044186102","15-187-21218","Pro Farms","27-3","Kerr-McGee Oil & Gas Onshore LP","BEREXCO LLC","Arroyo","29","S","41","W","27"," "," "," ","SW","SW","671","-4551","SE","-101.79563","37.4923212","Stanton","10/31/2012","01/14/2013","01/30/2013","","OIL","Producing","5650","3410","KB","Morrow"
"1051306989","15-187-20517-0001","ARROYO UNIT","14-1","BEREXCO LLC","BEREXCO LLC","Arroyo","29","S","41","W","14"," "," ","SW","NW","SW","1498","-4712","SE","-101.7777365","37.5235497","Stanton","","08/01/2019","08/01/2019","","EOR","Authorized Injection Well","5514","3383","KB"," "
"1051306990","15-187-20640-0001","ARROYO UNIT","22-1","BEREXCO LLC","BEREXCO LLC","Arroyo","29","S","41","W","22"," "," "," ","SW","SW","669","-4278","SE","-101.7944593","37.5068711","Stanton","","08/22/2019","08/22/2019","","EOR","Authorized Injection Well","5825","3402","KB"," "
"1051306991","15-187-20667-0001","ARROYO UNIT","21-10","BEREXCO LLC","BEREXCO LLC","Arroyo","29","S","41","W","21"," "," ","NE","SE","NE","3636","-436","SE","-101.7993278","37.5150505","Stanton","","08/12/2019","08/12/2019","","EOR","Authorized Injection Well","5940","3413","KB"," "
"1051306992","15-187-21148-0001","ARROYO UNIT","20-6","BEREXCO LLC","BEREXCO LLC","Arroyo","29","S","41","W","20"," "," ","NE","SE","SE","1125","-314","SE","-101.8171882","37.5081917","Stanton","","08/16/2019","08/16/2019","","EOR","Authorized Injection Well","5582","3427","KB"," "
"1051306993","15-187-21149-0001","ARROYO UNIT","1-20","BEREXCO LLC","BEREXCO LLC","Arroyo","29","S","41","W","20"," "," ","SW","SE","NE","3135","-809","SE","-101.8188477","37.5137211","Stanton","","08/09/2019","08/09/2019","","EOR","Authorized Injection Well","5596","3439","KB"," "
"1051306994","15-187-21163-0001","ARROYO UNIT","21-3","BEREXCO LLC","BEREXCO LLC","Arroyo","29","S","41","W","21"," "," "," ","SE","SW","676","-3293","SE","-101.8092064","37.5069405","Stanton","","08/05/2019","08/05/2019","","EOR","Authorized Injection Well","5865","3404","KB"," "
