KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1001218375","T11S R16W, Sec. 18,     NW NW NW","Republic Natural Gas Co.","Rama Operating Co., Inc.","Romine, Alice  1","15-051-05744","1772 DF","Perforating Guns Atlas Corp.  ","Gamma Ray Neutron","1900","3286","","Scanned","03/79/1952"
"1001218634","T11S R16W, Sec. 18,     SW NW NW","Republic Natural Gas Co.","Rama Operating Co., Inc.","Romine, Alice  3","15-051-06093","1771 DF","Perforating Guns Atlas Corp.  ","Gamma Ray Neutron","2000","3281","","Scanned","05/148/1952"
"1001217688","T11S R17W, Sec. 34,     SE SW SE","THE TEXAS COMPANY","Rama Operating Co., Inc.","DREILING, C.  3","15-051-04904","2035 KB","Schlumberger                  ","Electrical Log                                                       ","1244","3517","","Scanned","06/160/1948"
"1043124623","T11S R17W, Sec. 34,     SW SW SE","THE TEXAS COMPANY","Rama Operating Co., Inc.","DREILING, C.  2","15-051-19332","2085 KB","Schlumberger                  ","Electrical Log                                                       ","1289","3572","","Scanned","01/04/1948"
"1030614699","T11S R18W, Sec. 4,     SW NE NE","PETROLEUM INC.","Tri United, Inc","Warner 'D' 2","15-051-19071","1957 KB","Welex                         ","Radiation Guard Log                                                  ","0","3520","107","Unscanned","12/354/1962"
"1001216412","T11S R16W, Sec. 19,     SE NE SW","Sinclair Prairie Oil Co.","Lansing Energy Operations","Slimmer, N. R.  7","15-051-03305","1911 KB","Schlumberger                  ","Electrical Log                                                       ","1102","3503","","Scanned","03/69/1949"
"1006044275","T11S R17W, Sec. 22,   NE SE SW NW","LIBERTY ENTERPRISES","Herman L. Loeb, LLC","BEACH 'B' 1","15-051-22911","1918 KB","Great Guns                    ","RA Guard Log                                                         ","2800","3574","105","Unscanned","05/145/1982"
"1006046936","T11S R17W, Sec. 22,   NE SW SE NW","HELMERICH & PAYNE","Herman L. Loeb, LLC","BEACH 'B' 2","15-051-24384","1919 KB","Great Guns                    ","Neutron Density Porosity Log                                         ","2600","3495","108","Unscanned","02/37/1986"
"1006046936","T11S R17W, Sec. 22,   NE SW SE NW","HELMERICH & PAYNE","Herman L. Loeb, LLC","BEACH 'B' 2","15-051-24384","1919 KB","Great Guns                    ","RA Guard Log                                                         ","0","3495","108","Unscanned","02/37/1986"
"1006046936","T11S R17W, Sec. 22,   NE SW SE NW","HELMERICH & PAYNE","Herman L. Loeb, LLC","BEACH 'B' 2","15-051-24384","1919 KB","Great Guns                    ","Dual Porosity Log                                                    ","2600","3510","108","Unscanned","02/37/1986"
