KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1001215489","15-051-02063","-99.1360916","39.083698","1885","KB","Heebner Shale Member","3043","","Drillers log","06/23/2006"
"1001216739","15-051-03724","-99.299748","39.0840906","2019","DF","Topeka Limestone Formation","2981","","","04/15/1999"
"1001218390","15-051-05765","-99.2421251","39.0802513","1916","KB","Topeka Limestone Formation","2860","","","04/15/1999"
"1044034704","15-051-26244","-99.268251","39.124377","1914","KB","Granite Wash","3960","","Completion Form","04/27/2014"
"1044034704","15-051-26244","-99.268251","39.124377","1914","KB","Granite","3974","","Completion Form","04/27/2014"
"1044034704","15-051-26244","-99.268251","39.124377","1914","KB","Topeka","2878","","Completion Form","04/27/2014"
"1044034704","15-051-26244","-99.268251","39.124377","1914","KB","Heebner","3100","","Completion Form","04/27/2014"
"1044034704","15-051-26244","-99.268251","39.124377","1914","KB","Toronto","3118","","Completion Form","04/27/2014"
"1044034704","15-051-26244","-99.268251","39.124377","1914","KB","Lansing-Kansas City","3140","3370","Completion Form","04/27/2014"
"1044034704","15-051-26244","-99.268251","39.124377","1914","KB","Arbuckle","3454","","Completion Form","04/27/2014"
"1002941451","15-163-00424","-99.2636182","39.1375484","2063","KB","Topeka Limestone Formation","3017","","ACO-1","04/15/1999"
"1001289439","15-163-02343","-99.2659612","39.1393649","2079","KB","Lansing Group","3306","","ACO-1","04/15/1999"
"1001289443","15-163-01849","-99.2566201","39.1357245","2070","KB","Topeka Limestone Formation","3025","","ACO-1","04/15/1999"
"1001289448","15-163-01850","-99.263587","39.1339228","2039","DF","Simpson Group","3576","","ACO-1","04/15/1999"
"1001289452","15-163-03720","-99.243028","39.1339283","1923","KB","Lansing Group","3172","","ACO-1","04/15/1999"
"1001289656","15-163-03007","-99.2895635","39.1338564","2062","KB","Lansing Group","3294","","ACO-1","04/15/1999"
"1022362225","15-051-04946-0001","-99.282956","39.1048635","1906","KB","Topeka Limestone Formation","2857","","ACO-1","03/14/2002"
"1022362225","15-051-04946-0001","-99.282956","39.1048635","1906","KB","Heebner Shale Member","3079","","ACO-1","03/14/2002"
"1022362225","15-051-04946-0001","-99.282956","39.1048635","1906","KB","Lansing - Kansas City Supergroup","3121","","ACO-1","03/14/2002"
"1022362225","15-051-04946-0001","-99.282956","39.1048635","1906","KB","Arbuckle Group","3422","","ACO-1","03/14/2002"
"1022362230","15-051-25092","-99.320167","39.0614888","2119","KB","Stone Corral Formation","1406","","Geological Report","03/18/2002"
"1022362230","15-051-25092","-99.320167","39.0614888","2119","KB","Arbuckle Group","3646","","Geological Report","03/18/2002"
"1006042758","15-051-22076","-99.2317686","39.0941293","1880","KB","Kansas City Group","3338","","","04/15/1999"
"1006044549","15-051-23059","-99.2297527","39.1065369","1867","KB","Toronto Limestone Member","3070","","","04/15/1999"
"1006044605","15-051-23089","-99.2936819","39.0187842","2160","KB","Stone Corral Formation","1400","","","04/15/1999"
"1006044705","15-051-23140","-99.2637675","39.1045932","1851","KB","Toronto Limestone Member","3024","","","04/15/1999"
"1006042774","15-051-22084","-99.2186921","39.0748821","1939","KB","Lansing Group","3162","","","04/15/1999"
"1006042804","15-051-22100","-99.1827565","39.0364879","2121","KB","Lansing Group","3355","","","04/15/1999"
"1006042854","15-051-22125","-99.2699491","39.0504178","2020","KB","Toronto Limestone Member","3239","","","04/15/1999"
"1006042934","15-051-22171","-99.175184","39.0392006","2116","KB","Toronto Limestone Member","3312","","","04/15/1999"
"1006043002","15-051-22209","-99.1471682","39.0720089","1852","KB","Lansing Group","3057","","","04/15/1999"
"1006043140","15-051-22280","-99.2278993","39.1004144","1835","KB","Toronto Limestone Member","3036","","","04/15/1999"
"1006043227","15-051-22328","-99.24435","39.0605088","2010","KB","Lansing Group","3228","","","04/15/1999"
"1006042418","15-051-21899","-99.231455","39.0924361","1871","KB","Lansing Group","3050","","","04/15/1999"
"1006042508","15-051-21946","-99.2543875","39.0078306","2139","KB","Lansing Group","3391","","","04/15/1999"
"1006042594","15-051-21989","-99.2788326","39.0730325","2100","KB","Simpson Group","3610","","","04/15/1999"
"1006042686","15-051-22040","-99.2356742","39.0207552","2143","KB","Topeka Limestone Formation","3117","","","04/15/1999"
"1006042702","15-051-22048","-99.2910955","39.0387372","2106","KB","Kansas City Group","3609","","","04/15/1999"
"1006046165","15-051-23958","-99.2538172","39.1014078","1852","KB","Topeka Limestone Formation","2783","","","04/15/1999"
"1006046177","15-051-23964","-99.2268228","39.0280571","2126","KB","Toronto Limestone Member","3325","","","04/15/1999"
"1006045557","15-051-23608","-99.2897366","39.123126","2055","KB","Lansing Group","3274","","","04/15/1999"
"1006045869","15-051-23781","-99.2676593","39.0168686","2163","KB","Stone Corral Formation","1400","","","04/15/1999"
"1006043372","15-051-22408","-99.236519","39.09661","1857","KB","Kansas City Group","3298","","","04/15/1999"
"1006043400","15-051-22422","-99.1442944","39.1024468","1781","KB","Toronto Limestone Member","2937","","","04/15/1999"
"1006043460","15-051-22456","-99.2577503","39.1130757","1890","KB","Kansas City Group","3330","","","04/15/1999"
"1006043490","15-051-22473","-99.2304011","39.0713291","2037","KB","Kansas City Group","3480","","","04/15/1999"
"1006043856","15-051-22670","-99.3026024","39.0351494","2130","KB","Lansing Group","3384","","","04/15/1999"
"1006046015","15-051-23863","-99.2629385","39.0801743","1889","KB","Stone Corral Formation","1120","","","04/15/1999"
"1006045091","15-051-23355","-99.1515947","39.0593985","1916","KB","Stone Corral Formation","870","","","04/15/1999"
"1006045401","15-051-23525","-99.2636018","39.092153","1886","KB","Stone Corral Formation","1130","","","04/15/1999"
"1006045449","15-051-23552","-99.2727344","39.0976144","1869","KB","Stone Corral Formation","1094","","","04/15/1999"
"1006041021","15-051-21160","-99.2290685","38.9990884","2172","KB","Conglomerate","3685","","Completion Form","02/22/2022"
"1031431099","15-051-25311","-99.257661","39.0948875","1847","KB","Anhydrite","1081","","Geological Report","04/06/2022"
"1031431099","15-051-25311","-99.257661","39.0948875","1847","KB","Topeka","2784","","Geological Report","04/06/2022"
"1031431099","15-051-25311","-99.257661","39.0948875","1847","KB","Heebner","3010","","Geological Report","04/06/2022"
"1031431099","15-051-25311","-99.257661","39.0948875","1847","KB","Toronto","3031","","Geological Report","04/06/2022"
"1031431099","15-051-25311","-99.257661","39.0948875","1847","KB","Lansing-Kansas City","3054","3256","Geological Report","04/06/2022"
"1031431099","15-051-25311","-99.257661","39.0948875","1847","KB","Simpson Dolomite","3314","","Geological Report","04/06/2022"
"1031431099","15-051-25311","-99.257661","39.0948875","1847","KB","Lower Simpson Dolomite","3334","","Geological Report","04/06/2022"
"1031431099","15-051-25311","-99.257661","39.0948875","1847","KB","Arbuckle","3337","","Geological Report","04/06/2022"
"1035940835","15-051-25562","-99.2546603","39.0940774","1837","KB","Heebner Shale","3017","","Geological Report","02/23/2023"
"1035940835","15-051-25562","-99.2546603","39.0940774","1837","KB","Lansing","3059","","Geological Report","02/23/2023"
"1035940835","15-051-25562","-99.2546603","39.0940774","1837","KB","Arbuckle","3342","","Geological Report","02/23/2023"
"1035940833","15-051-25561","-99.2462097","39.097067","1847","KB","Heebner Shale","3231","","Completion Form","04/06/2022"
"1035940833","15-051-25561","-99.2462097","39.097067","1847","KB","Brown Lime","3358","","Completion Form","04/06/2022"
"1035940833","15-051-25561","-99.2462097","39.097067","1847","KB","Lansing","3368","","Completion Form","04/06/2022"
"1035940833","15-051-25561","-99.2462097","39.097067","1847","KB","Arbuckle","3743","","Completion Form","04/06/2022"
"1001215801","15-051-02460","-99.2797193","39.020585","2109","KB","Lansing","3361","","Drillers log","08/01/2022"
"1001215801","15-051-02460","-99.2797193","39.020585","2109","KB","Heebner","3317","","Drillers log","08/01/2022"
"1043449033","15-051-26093","-99.2559912","39.0513173","2123","KB","Topeka","3062","","Geological Report","06/19/2023"
"1043449033","15-051-26093","-99.2559912","39.0513173","2123","KB","Toronto","3303","","Geological Report","06/19/2023"
"1043449033","15-051-26093","-99.2559912","39.0513173","2123","KB","Heebner","3289","","Geological Report","06/19/2023"
"1043449033","15-051-26093","-99.2559912","39.0513173","2123","KB","Lansing-Kansas City","3330","3603","Geological Report","06/19/2023"
"1043449033","15-051-26093","-99.2559912","39.0513173","2123","KB","Muncie Creek","3454","","Geological Report","06/19/2023"
"1043449033","15-051-26093","-99.2559912","39.0513173","2123","KB","Stark","3524","","Geological Report","06/19/2023"
"1043449033","15-051-26093","-99.2559912","39.0513173","2123","KB","Simpson Sand","3616","","Geological Report","06/19/2023"
"1043449033","15-051-26093","-99.2559912","39.0513173","2123","KB","Arbuckle","3630","","Geological Report","06/19/2023"
"1044026262","15-051-26230","-99.2591727","39.0506154","2105","KB","Anhydrite","1329","","Completion Form","06/19/2023"
"1044026262","15-051-26230","-99.2591727","39.0506154","2105","KB","Topeka","3042","","Completion Form","06/19/2023"
"1044026262","15-051-26230","-99.2591727","39.0506154","2105","KB","Heebner","3271","","Completion Form","06/19/2023"
"1044026262","15-051-26230","-99.2591727","39.0506154","2105","KB","Lansing-Kansas City","3315","3549","Completion Form","06/19/2023"
"1044026262","15-051-26230","-99.2591727","39.0506154","2105","KB","Arbuckle","3594","","Completion Form","06/19/2023"
"1036445033","15-051-25622","-99.2663397","39.1303486","1986","KB","Anhydrite","1256","","Completion Form","06/19/2023"
"1036445033","15-051-25622","-99.2663397","39.1303486","1986","KB","Topeka","2942","","Completion Form","06/19/2023"
"1036445033","15-051-25622","-99.2663397","39.1303486","1986","KB","Heebner","3163","","Completion Form","06/19/2023"
"1036445033","15-051-25622","-99.2663397","39.1303486","1986","KB","Toronto","3184","","Completion Form","06/19/2023"
"1036445033","15-051-25622","-99.2663397","39.1303486","1986","KB","Lansing-Kansas City","3207","3450","Completion Form","06/19/2023"
"1036445033","15-051-25622","-99.2663397","39.1303486","1986","KB","Simpson Dolomite","3508","","Completion Form","06/19/2023"
"1036445033","15-051-25622","-99.2663397","39.1303486","1986","KB","Arbuckle","3528","","Completion Form","06/19/2023"
"1036445055","15-051-25624","-99.261868","39.1194594","1970","KB","Anhydrite","1234","","Completion Form","06/19/2023"
"1036445055","15-051-25624","-99.261868","39.1194594","1970","KB","Topeka","2927","","Completion Form","06/19/2023"
"1036445055","15-051-25624","-99.261868","39.1194594","1970","KB","Heebner","3152","","Completion Form","06/19/2023"
"1036445055","15-051-25624","-99.261868","39.1194594","1970","KB","Toronto","3172","","Completion Form","06/19/2023"
"1036445055","15-051-25624","-99.261868","39.1194594","1970","KB","Lansing-Kansas City","3194","3426","Completion Form","06/19/2023"
"1036445055","15-051-25624","-99.261868","39.1194594","1970","KB","Simpson Dolomite","3476","","Completion Form","06/19/2023"
"1036445055","15-051-25624","-99.261868","39.1194594","1970","KB","Arbuckle","3494","","Completion Form","06/19/2023"
