KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1006046727","15-051-24269","BEMIS 'F'","13","SOHIO PETROLEUM CORP.","","Bemis-Shutts","11","S","17","W","33"," "," ","NE","NE","NE","4950","-405","SE","-99.2053952","39.0589433","Ellis","","08/16/1985","08/30/1985","10/01/1985","D&A","Plugged and Abandoned","3773","2048","KB"," "
"1043940590","15-051-26165","Carmichael-Kollman W. Unit","4","Empire Energy E&P, LLC","Mai Oil Operations, Inc.","Bemis-Shutts","11","S","17","W","18"," "," ","S2","S2","N2","-2310","-2640","NE","-99.2499419","39.0967735","Ellis","07/06/2011","07/01/2011","08/01/2011","","OIL","Producing","3538","1887","KB","Arbuckle"
"1006046683","15-051-24246","BEACH 'E'","8","LIBERTY OPERATIONS & COMPLETIONS","Scott Services LLC","Bemis-Shutts","11","S","17","W","22"," "," "," ","N2","SE","1980","-1320","SE","-99.1898662","39.0799089","Ellis","05/29/1985","09/26/1985","10/23/1985","","OIL","Producing","3450","1926","KB","Topeka Limestone Formation, Kansas City Group"
"1006046721","15-051-24266","BEACH 'E'","9","LIBERTY OPERATIONS & COMPLETIONS","Scott Services LLC","Bemis-Shutts","11","S","17","W","22"," "," ","S2","NE","SE","1650","-660","SE","-99.1875501","39.0789987","Ellis","","10/03/1985","10/29/1985","","OIL","Producing","3450","1919","KB","Arbuckle Group"
"1006044279","15-051-22913","BEACH 'D'","1","LIBERTY ENTERPRISES","Herman L. Loeb, LLC","Bemis-Shutts","11","S","17","W","22"," ","SE","SW","SE","SW","330","1980","SW","-99.1969","39.07537","Ellis","03/02/1982","03/06/1982","11/09/1982","","OIL","Producing","3665","2027","KB","Arbuckle Group"
"1006042642","15-051-22014","MAI, HENRY ","11","PRICE, ROBERT R. OPERATING CO.","Cattlemans Oil Operations LLC","Bemis-Shutts","11","S","17","W","14"," "," ","N2","S2","SE","990","-1320","SE","-99.1713391","39.0920659","Ellis","06/10/1980","06/27/1980","07/25/1980","04/28/1988","OIL-P&A","Plugged and Abandoned","3359","1852","KB"," "
"1043925995","15-051-26155","Koblitz","8","Robinowitz Oil Co.","Curt's Oil Operation,  LLC","Bemis-Shutts","12","S","18","W","22"," ","NE","SE","NW","NE","-960","-1620","NE","-99.3030213","38.9988536","Ellis","06/15/2011","06/16/2011","07/11/2011","","OIL","Producing","3662","2167","GL","Arbuckle, Lansing Kansas City"
"1044203470","15-051-26454","Walters 'B'","6","E & B Natural Resources Management Corp.","E & B Natural Resources Management Corp.","Bemis-Shutts","12","S","18","W","2"," ","SW","NW","SE","SW","920","1463","SW","-99.2916708","39.033108","Ellis","12/17/2012","04/07/2013","04/12/2013","","OIL","Producing","3750","2126","KB","Arbuckle"
"1043924100","15-051-04193-0001","Karlin","1","Tri United, Inc.","Mustang Energy Corporation","Bemis-Shutts","12","S","18","W","15"," "," ","NE","NW","SW","2343","-4439","SE","-99.3122675","39.0079871","Ellis","06/13/2011","06/22/2011","08/15/2011","","SWD","Authorized Injection Well","1464","2179","KB","Cedar Hills"
"1043689701","15-051-06113-0002","JORGENSON","9","CHESAPEAKE OPERATING INC.","Murfin Drilling Co., Inc.","Bemis-Shutts","11","S","17","W","7"," "," "," "," ","SW","1320","-3960","SE","-99.2540711","39.1067893","Ellis","","","","06/05/2017","OIL-P&A","Plugged and Abandoned","3452","1856","KB"," "
