"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1001216717","38990","3000","3720"
"1044000953","F4904","2940","3499"
"1044026262","F4906","2900","3600"
"1044003890","F4883","3190","3708"
"1002941968","19214","2850","3733"
"1001289646","51125","2950","3535"
"1037335689","22702","1350","3620"
"1002941575","32673","3550","3750"
"1001289658","45809","3020","3655"
"1001289661","05601","2700","3494"
"1006513471","C3665","3575","3893"
"1002941795","18037","2900","3685"
"1040721364","07736","2800","3670"
"1001289442","08870","3510","3619"
"1001289430","05111","3100","3689"
"1001289434","08652","2950","3639"
"1001289433","08578","3000","3733"
"1001289436","05591","1000","2600"
"1001289436","05592","2600","3607"
"1001289437","08351","3150","3595"
"1040721395","09427","3150","3631"
"1001289429","48119","2500","3657"
"1001289428","66343","3000","3630"
"1001289444","11697","1150","3515"
"1002941774","09842","3000","3658"
"1001289452","09319","2800","3555"
"1002911248","06570","3000","3670"
"1001215798","06570","1310","3150"
"1001215799","06571","3000","3500"
"1001217236","58927","3000","3750"
"1006043090","F8813","3200","3723"
"1001217109","11536","3050","3765"
"1001218802","44159","1000","2700"
"1001218802","06580","3000","3425"
"1001218813","06567","1300","3677"
"1001218814","03229","3200","3673"
"1001218809","06581","3100","3300"
"1001215801","66031","3100","3485"
"1001218810","26480","2","125"
"1006039980","56297","3000","3714"
"1006040040","01436","3000","3691"
"1001218816","06582","1300","2700"
"1001218817","47309","3000","3628"
"1001218818","47303","2600","3656"
"1001218806","47421","3030","3662"
"1001219324","C6129","3631","3716"
"1001218819","27692","3200","3690"
"1001218080","08593","3085","3695"
"1001218822","05081","3300","3723"
"1037649878","01945","50","890"
"1001218827","25460","3600","3629"
"1001219330","27982","3600","3696"
"1001218035","66065","3250","3645"
"1041339793","66040","3500","3676"
"1001218316","42238","1000","3050"
"1001218317","40991","3300","3507"
"1001218690","41025","2600","3050"
"1001218691","66662","2650","3215"
"1001218691","40166","3396","3415"
"1002911227","40995","2610","3300"
"1001218312","40950","2600","3364"
"1001219144","06432","2900","3361"
"1002910912","40952","3300","3356"
"1006045449","B3959","1630","3500"
"1001218693","04944","3200","3376"
"1001218695","41023","3275","3366"
"1001218696","06323","2800","3360"
"1001218697","41007","2500","3375"
"1001218698","41000","2600","3200"
