KID,LASFILE
"1001216523","1043624828.las"
"1001218136","1043624830.las"
"1006043000","1043567425.las"
"1031009903","1043624825.las"
"1036146771","1043624847.las"
"1036146819","1043567430.las"
"1006042206","1043567422.las"
"1006046015","1031941552.las"
"1006047831","1043624843.las"
"1001216523","1043914401.las"
"1001217810","1043914754.las"
"1001218095","1043914416.las"
"1034571304","1043914422.las"
"1001218046","1043914411.las"
"1001218137","1043914419.las"
"1001218018","1043915040.las"
"1001215747","1043914733.las"
"1001216667","1043914738.las"
"1001217683","1043914745.las"
"1001218021","1043915042.las"
"1043454106","1043853068.las"
"1006043952","1043853071.las"
"1005732728","1043914427.las"
"1001219122","1043914442.las"
"1001216665","1043914403.las"
"1001219123","1043914406.las"
"1006039840","1043914431.las"
"1006040492","1043914433.las"
"1006042934","1043914435.las"
"1001217697","1043914751.las"
"1002909845","1043914390.las"
"1002910569","1043914395.las"
"1036146771","1043567429.las"
"1006045435","1043624838.las"
"1040792370","1043562530.las"
"1006042816","1043567424.las"
"1006042404","1043624832.las"
"1006046713","1043624839.las"
"1040859847","1044094817.las"
"1041343466","1044101509.las"
"1041868208","1044571654.las"
"1044164590","1044241792.las"
"1043342090","1044249711.las"
"1043239022","1044249735.las"
"1043458157","1044638611.las"
"1043685857","1044638618.las"
"1042760845","1044208484.las"
"1043994035","1044756809.las"
"1044000953","1044741201.las"
"1044081130","1044815451.las"
"1044081748","1044818329.las"
"1044026262","1044819484.las"
"1044140045","1044916534.las"
"1044125829","1044907645.las"
"1044130488","1044907170.las"
"1044623258","1044875452.las"
"1044122120","1044891155.las"
"1044155702","1044859484.las"
"1044034706","1044891618.las"
"1044075471","1044860217.las"
"1044194407","1044891489.las"
"1044140046","1044916540.las"
"1044140047","1044916546.las"
"1043459899","1044249566.las"
"1044254349","1045003221.las"
"1044578951","1044973816.las"
"1044203470","1044966193.las"
"1044202001","1045019136.las"
"1044140805","1044956571.las"
"1044201998","1045027292.las"
"1045006691","1046114730.las"
"1045654710","1046112914.las"
"1044130492","1045116948.las"
"1044565035","1045117448.las"
"1044760864","1046103875.las"
"1044760866","1046103891.las"
"1044629388","1045076337.las"
"1044760865","1045627871.las"
"1044626866","1045062598.las"
"1044835252","1045146180.las"
"1044216974","1045052238.las"
"1044644573","1045086129.las"
"1044644573","1045086146.las"
"1046217640","1046409956.las"
"1045109592","1046667055.las"
"1046810951","1046943636.las"
"1046527952","1046839143.las"
"1050371584","1051325842.las"
"1050371584","1051325836.las"
"1046127740","1046410182.las"
"1050371584","1051325746.las"
"1045016812","1046501951.las"
"1046244882","1046501688.las"
"1046099246","1046139269.las"
"1006042546","1001178951.las"
"1006044703","1033893410.las"
"1006046015","1031941550.las"
"1006046015","1031941551.las"
"1035940841","1043562785.las"
"1038695423","1043562916.las"
"1006044046","1028091129.las"
"1006042134","1028091133.las"
"1006042760","1028091134.las"
"1006041185","1028091139.las"
"1040926220","1043562442.las"
"1038578039","1043853065.las"
"1040988272","1043853066.las"
"1043124623","1043853067.las"
"1006043762","1043853069.las"
"1006043778","1043853070.las"
"1006047899","1043853072.las"
"1006048003","1043853073.las"
"1006794697","1043853076.las"
"1002909748","1043914389.las"
"1002910567","1043914393.las"
"1002910568","1043914394.las"
"1037024701","1043914397.las"
"1001215746","1043914399.las"
"1001216515","1043914400.las"
"1001216660","1043914402.las"
"1005732963","1043914405.las"
"1006041155","1043567421.las"
"1006042368","1043567423.las"
"1006043002","1043567426.las"
"1006043494","1043567427.las"
"1006043778","1043567428.las"
"1001216512","1043624827.las"
"1001218044","1043624829.las"
"1001218533","1043624831.las"
"1006042804","1043624834.las"
"1006042818","1043624835.las"
"1006043422","1043624836.las"
"1001218041","1043914409.las"
"1001218045","1043914410.las"
"1001218513","1043914421.las"
"1001218526","1043914424.las"
"1006039712","1043914429.las"
"1006041713","1043914434.las"
"1006043293","1043914436.las"
"1006044020","1043914437.las"
"1006513485","1043914438.las"
"1001219278","1043914440.las"
"1001219276","1043914441.las"
"1001216522","1043914734.las"
"1001216525","1043914735.las"
"1001216664","1043914736.las"
"1001216667","1043914737.las"
"1001217150","1043914739.las"
"1001217151","1043914740.las"
"1001217403","1043914741.las"
"1001217404","1043914742.las"
"1001217673","1043914743.las"
"1001217681","1043914744.las"
"1001217688","1043914746.las"
"1001217689","1043914747.las"
"1001217694","1043914748.las"
"1001217695","1043914749.las"
"1001217696","1043914750.las"
"1006039764","1043915045.las"
"1006044703","1033893409.las"
"1037043911","1043562820.las"
