KID,LASFILE
"1002920016","1000080378.las"
"1002919877","1000080767.las"
"1002919845","1000080768.las"
"1006068333","1006347451.las"
"1006068589","1006347420.las"
"1006068597","1006347425.las"
"1006068579","1006347426.las"
"1006068599","1006347427.las"
"1006068329","1006347443.las"
"1006068383","1006347450.las"
"1006068507","1022011346.las"
"1002919892","1028091657.las"
"1006066661","1028091597.las"
"1006173211","1028091628.las"
"1006173223","1028091658.las"
"1006066389","1028091560.las"
"1006066599","1028091595.las"
"1002920009","1028091736.las"
"1029100810","1044916794.las"
"1006068591","1006347417.las"
"1006068601","1006347418.las"
"1006068509","1022011347.las"
"1006068513","1022011349.las"
"1002920025","1028091684.las"
"1002919966","1028091712.las"
"1041094356","1044043575.las"
"1029100810","1044242967.las"
"1052075595","1053377966.las"
"1052282731","1053378017.las"
"1052075593","1053378049.las"
"1052075592","1053378311.las"
"1052117356","1053378338.las"
"1006066787","1028091559.las"
"1006066411","1028091561.las"
"1006066409","1028091596.las"
"1006067538","1028091626.las"
"1002920002","1028091627.las"
"1002920004","1028091656.las"
"1006067743","1028091683.las"
"1006067516","1028091737.las"
"1006068577","1006347416.las"
"1006068601","1006347419.las"
"1006068581","1006347421.las"
"1006068585","1006347422.las"
"1006068587","1006347423.las"
"1006068587","1006347424.las"
"1006068339","1006347428.las"
"1006068367","1006347429.las"
"1006068345","1006347430.las"
"1006068375","1006347431.las"
"1006068377","1006347432.las"
"1006068343","1006347433.las"
"1006068323","1006347434.las"
"1006068315","1006347435.las"
"1006068355","1006347436.las"
"1006068379","1006347437.las"
"1006068319","1006347439.las"
"1006068317","1006347440.las"
"1006068357","1006347441.las"
"1006068335","1006347442.las"
"1006068341","1006347444.las"
"1006068331","1006347445.las"
"1006068335","1006347446.las"
"1006068365","1006347447.las"
"1006068361","1006347449.las"
"1006068363","1006347452.las"
"1006068325","1006347453.las"
"1006068371","1006347454.las"
"1052075590","1053378053.las"
"1052075592","1053378069.las"
"1052117356","1053378057.las"
