KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1001234439","15-071-20252","-101.7334407","38.3789126","3603","KB","Stone Corral Formation","2466","2486","ACO-1","09/06/2000"
"1001234439","15-071-20252","-101.7334407","38.3789126","3603","KB","Blaine Formation","1788","1905","HUG ACO-1","07/01/2003"
"1001234439","15-071-20252","-101.7334407","38.3789126","3603","KB","Cedar Hills Sandstone Formation","2170","2262","HUG ACO-1","07/01/2003"
"1001234439","15-071-20252","-101.7334407","38.3789126","3603","KB","Chase Group","","","HUG ACO-1","07/01/2003"
"1001234439","15-071-20252","-101.7334407","38.3789126","3603","KB","Day Creek Dolomite Formation","1502","1513","HUG ACO-1","07/01/2003"
"1001234439","15-071-20252","-101.7334407","38.3789126","3603","KB","Fort Hays Limestone Member","412","484","HUG ACO-1","07/01/2003"
"1001234439","15-071-20252","-101.7334407","38.3789126","3603","KB","Stone Corral Formation","2400","2489","HUG ACO-1","07/01/2003"
"1001234966","15-075-20129","-101.6441443","38.0067499","3369","KB","Stone Corral Formation","2024","","ACO-1","02/22/2000"
"1001234966","15-075-20129","-101.6441443","38.0067499","3369","KB","Winfield Limestone Formation","2496","","ACO-1","02/22/2000"
"1001234966","15-075-20129","-101.6441443","38.0067499","3369","KB","Middleburg Limestone Member","2842","","HUG ELOG-KD","07/01/2003"
"1001234966","15-075-20129","-101.6441443","38.0067499","3369","KB","Funston Formation","2772","","HUG ELOG-KD","07/01/2003"
"1001234966","15-075-20129","-101.6441443","38.0067499","3369","KB","Speiser Shale Formation","2726","","HUG ELOG-KD","07/01/2003"
"1001234966","15-075-20129","-101.6441443","38.0067499","3369","KB","Blaine Salt Bed","","1673","HUG ELOG-KD","07/01/2003"
"1001234966","15-075-20129","-101.6441443","38.0067499","3369","KB","Crouse Limestone Formation","2818","","HUG ELOG-KD","07/01/2003"
