KID,BARCODE,FACILITY,AISLE,COLUMN,ROW,TOP,BOTTOM,CORE_TYPE,COMMENTS
"1006068507","114198","North Lawrence","2","1","6","3119","3122","",""
"1006068507","114199","North Lawrence","2","2","6","3125","3128","",""
"1006068507","114200","North Lawrence","2","2","6","3128","3130","",""
"1006068507","114201","North Lawrence","2","2","6","3157.9","3160.5","",""
"1006068507","114114","North Lawrence","2","2","5","2704","2707","",""
"1006068507","114115","North Lawrence","2","2","5","2723","2725","",""
"1006068507","114116","North Lawrence","2","2","5","2733","2736","",""
"1006068509","132520","North Lawrence","28","1","5","3396","3404","",""
"1006068509","132521","North Lawrence","28","1","5","3389","3396","",""
"1006068509","132522","North Lawrence","28","1","5","3381","3389","",""
"1006068513","134460","North Lawrence","10","3","4","2552","2708","CORE PIEC",""
"1006068513","134461","North Lawrence","10","3","4","2776","2989","PLUG",""
"1006068513","134462","North Lawrence","10","3","3","2632","2774","PLUG",""
"1006068507","114202","North Lawrence","2","1","6","2949","2952","",""
"1006068507","114203","North Lawrence","2","1","6","2968","2971","",""
"1006068507","114204","North Lawrence","2","1","6","3020","3022","",""
"1006068507","114205","North Lawrence","2","1","6","3100","3103","",""
"1006068507","114206","North Lawrence","2","1","6","3089","3092","",""
"1006068513","127181","North Lawrence","10","3","3","2577.3","2580","",""
"1006068513","127182","North Lawrence","10","3","3","2592.9","2585.5","",""
"1006068513","127183","North Lawrence","10","3","3","2631","2634","",""
"1006068513","127184","North Lawrence","10","3","3","2607.4","2573.1","",""
"1006068509","112327","North Lawrence","32","4","7","3319","3322","",""
"1006068509","112328","North Lawrence","32","4","7","3317","3319","",""
"1006068509","112330","North Lawrence","32","4","7","3314","3317","",""
"1006068509","112331","North Lawrence","32","4","7","3312.1","3314","",""
"1006068509","112332","North Lawrence","32","4","7","3304","3306","",""
"1006068507","114190","North Lawrence","2","2","6","3145","3147","",""
"1006068507","114191","North Lawrence","2","1","6","3169.2","3171.9","",""
"1006068507","114192","North Lawrence","2","1","6","3029","0","",""
"1006068507","114193","North Lawrence","2","2","6","3122","3125","",""
"1006068507","114194","North Lawrence","2","2","6","3134","3136","",""
"1006068507","114195","North Lawrence","2","2","6","3154.9","3152.9","",""
"1006068507","114196","North Lawrence","2","2","6","3139","3142","",""
"1006068507","114197","North Lawrence","2","1","6","2971","2971.7","",""
"1006068513","126286","North Lawrence","9","2","2","2822.9","2825.8","",""
"1006068513","140041","North Lawrence","41","2","2","2462","2469","",""
"1006068513","140042","North Lawrence","41","2","2","2469","2476","",""
"1006068513","140043","North Lawrence","41","2","2","2476","2483","",""
"1006068513","140044","North Lawrence","41","2","2","2484","2491","",""
"1006068513","140045","North Lawrence","41","2","2","2491","2498","",""
"1006068513","140046","North Lawrence","41","2","2","2498","2505","",""
"1006068513","140047","North Lawrence","41","2","2","2505","2512","",""
"1006068513","140048","North Lawrence","41","2","2","2512","2519","",""
"1006068513","140049","North Lawrence","41","2","2","2519","2527","",""
"1006068513","140050","North Lawrence","41","2","2","2527","2534","",""
"1006068507","140301","North Lawrence","41","1","5","2984","2991","",""
"1006068507","140302","North Lawrence","41","1","5","2991","2998","",""
"1006068509","112385","North Lawrence","2","3","1","3220","3222","",""
"1006068509","112386","North Lawrence","2","3","1","2835","2837","",""
"1006068509","112387","North Lawrence","2","3","1","2863","2866","",""
"1006068509","112388","North Lawrence","2","3","1","3270","3273","",""
"1006068509","112389","North Lawrence","2","3","1","2860","2863","",""
"1006068509","112390","North Lawrence","2","3","1","3282","3284","",""
"1006068509","112391","North Lawrence","2","3","1","3246","3249","",""
"1006068507","143706","North Lawrence","2","2","3","3352.7","3355.3","",""
"1006068507","143707","North Lawrence","2","2","3","3245","3248","",""
"1006068507","143708","North Lawrence","2","2","3","3258","3261","",""
"1006068507","143709","North Lawrence","2","2","3","3420.5","3423.3","",""
"1006068507","143710","North Lawrence","2","2","3","3374","3377","",""
"1006068507","143711","North Lawrence","2","2","3","3319.9","3322.7","",""
"1006068507","143712","North Lawrence","2","2","3","3250","3253.5","",""
"1006068513","134465","North Lawrence","10","3","4","2560","2631","PLUG",""
"1006068513","134466","North Lawrence","10","3","3","2396","2549","CORE PIEC",""
"1006068507","140293","North Lawrence","41","1","5","2929","2936","",""
"1006068507","140294","North Lawrence","41","1","5","2936","2944","",""
"1006068507","140295","North Lawrence","41","1","5","2944","2951","",""
"1006068507","140296","North Lawrence","41","1","5","2951","2958","",""
"1006068507","140297","North Lawrence","41","1","5","2958","2965","",""
"1006068507","140298","North Lawrence","41","1","5","2965","2970","",""
"1006068507","140299","North Lawrence","41","1","5","2971","2977","",""
"1006068507","140300","North Lawrence","41","1","5","2977","2984","",""
"1006068507","140290","North Lawrence","41","1","5","2908","2915","",""
"1006068507","140291","North Lawrence","41","1","5","2915","2922","",""
"1006068507","140292","North Lawrence","41","1","5","2922","2929","",""
"1006068507","143670","North Lawrence","2","2","3","3412","3415","",""
"1006068507","143671","North Lawrence","2","2","3","3393","3395","",""
"1006068507","143672","North Lawrence","2","2","3","3366","3368","",""
"1006068507","143673","North Lawrence","2","2","3","3261","3264","",""
"1006068507","143674","North Lawrence","2","2","3","3390","3393","",""
"1006068507","143675","North Lawrence","2","2","3","3369","3371","",""
"1006068507","143676","North Lawrence","2","2","3","3330.2","3333.2","",""
"1006068507","143677","North Lawrence","2","2","3","3225.3","3229.1","",""
"1006068507","143678","North Lawrence","2","2","3","3174.9","3172","",""
"1006068507","143679","North Lawrence","2","2","3","3358","3360.9","",""
"1006068507","143680","North Lawrence","2","2","3","3347","3350","",""
"1006068507","143681","North Lawrence","2","2","3","3220","3223.5","",""
"1006068507","143682","North Lawrence","2","2","3","3214.9","3217.7","",""
"1006068507","143683","North Lawrence","2","2","3","3363.4","3366","",""
"1006068507","143684","North Lawrence","2","2","3","3311.3","3314.2","",""
"1006068507","143685","North Lawrence","2","2","3","3232","3240","",""
"1006068507","143686","North Lawrence","2","2","3","3206.3","3209.3","",""
"1006068507","143727","North Lawrence","2","2","3","3344.2","3347","",""
"1006068509","132528","North Lawrence","28","1","5","3425","3425","",""
"1006068507","143755","North Lawrence","3","2","3","0","0","",""
"1006068507","143756","North Lawrence","3","2","3","0","0","",""
"1006068513","126291","North Lawrence","9","2","2","2798.8","2801.6","",""
"1006068513","126292","North Lawrence","9","2","2","2825.8","2828.2","",""
"1006068509","132576","North Lawrence","28","1","6","2879","2886","",""
"1006068509","132577","North Lawrence","28","1","6","2872","2879","",""
"1006068509","132578","North Lawrence","28","1","6","2964","2975","",""
"1006068509","132579","North Lawrence","28","1","6","2956","2964","",""
"1006068509","132580","North Lawrence","28","1","6","2949","2956","",""
"1006068509","132581","North Lawrence","28","1","6","3108","3115","",""
"1006068509","132582","North Lawrence","28","1","6","3101","3108","",""
"1006068509","132583","North Lawrence","28","1","6","3094","3101","",""
"1006068509","132584","North Lawrence","28","1","6","3086","3094","",""
"1006068507","143747","North Lawrence","2","2","3","3284.8","3287.2","",""
"1006068507","143748","North Lawrence","2","2","3","3415","3417.9","",""
"1006068507","143749","North Lawrence","2","2","3","3314.2","3317","",""
"1006068507","143750","North Lawrence","2","2","3","3269.4","3271.9","",""
"1006068507","143751","North Lawrence","2","2","3","3177.5","3180.1","",""
"1006068507","143752","North Lawrence","2","2","3","3377","3380","",""
"1006068507","143753","North Lawrence","2","2","3","3287","3289","",""
"1006068507","143754","North Lawrence","2","2","3","3305.8","3308.5","",""
"1006068513","127201","North Lawrence","10","3","4","2565.8","2568.8","",""
"1006068513","127202","North Lawrence","10","3","4","2658.8","2661.7","",""
"1006068507","114122","North Lawrence","2","2","5","2746","2749","",""
"1006068507","114123","North Lawrence","2","2","5","2659","2702","",""
"1006068507","114124","North Lawrence","2","2","5","2718","2720","",""
"1006068507","114125","North Lawrence","2","2","5","2798","2800","",""
"1006068507","114126","North Lawrence","2","2","5","2752","2753","",""
"1006068507","114127","North Lawrence","2","2","5","2743","2746","",""
"1006068507","114128","North Lawrence","2","2","5","2697","2699","",""
"1006068507","114129","North Lawrence","2","2","5","2715","2718","",""
"1006068507","114130","North Lawrence","2","2","5","2753","2757","",""
"1006068507","114131","North Lawrence","2","2","5","2741","2743","",""
"1006068507","114132","North Lawrence","2","1","6","3083","3086","",""
"1006068507","114133","North Lawrence","2","1","6","3426.2","3428.8","",""
"1006068507","114134","North Lawrence","2","1","6","3453.6","3456.5","",""
"1006068507","114135","North Lawrence","2","1","6","3469.6","3472.5","",""
"1006068507","114136","North Lawrence","2","1","6","3195","3198","",""
"1006068507","114137","North Lawrence","2","1","6","3080","3083","",""
"1006068507","114138","North Lawrence","2","1","6","3428.8","3431.5","",""
"1006068507","114139","North Lawrence","2","1","6","3456.5","3459.2","",""
"1006068507","114140","North Lawrence","2","1","6","3464.5","3467.1","",""
"1006068507","114141","North Lawrence","2","1","6","3121","3195","",""
"1006068507","114142","North Lawrence","2","1","6","3078","3080","",""
"1006068507","114143","North Lawrence","2","1","6","3431.5","3434","",""
"1006068513","126303","North Lawrence","9","2","2","2795.9","2798.8","",""
"1006068513","126304","North Lawrence","9","2","2","2907.1","2909.8","",""
"1006068513","126305","North Lawrence","9","2","2","2943.9","2946.7","",""
"1006068513","126306","North Lawrence","9","2","2","2751","2753.8","",""
"1006068513","126307","North Lawrence","9","2","2","2809.5","2811.4","",""
"1006068509","132485","North Lawrence","28","1","5","3037","3044","",""
"1006068509","132486","North Lawrence","28","1","5","3187","3195","",""
"1006068509","132487","North Lawrence","28","1","5","3181","3187","",""
"1006068513","127203","North Lawrence","10","3","3","2655.8","2658.8","",""
"1006068513","127204","North Lawrence","10","3","4","2697.7","2700.6","",""
"1006068513","127205","North Lawrence","10","3","4","2734","2735.7","",""
"1006068513","127206","North Lawrence","10","3","3","2616.6","2619.4","",""
"1006068513","127207","North Lawrence","10","3","4","2653","2655.8","",""
"1006068509","132479","North Lawrence","28","1","5","3152","3159","",""
"1006068509","132480","North Lawrence","28","1","5","3145","3152","",""
"1006068509","132481","North Lawrence","28","1","5","3051","3059","",""
"1006068509","132482","North Lawrence","28","1","5","3066","3073","",""
"1006068509","132483","North Lawrence","28","1","5","3059","3066","",""
"1006068509","132484","North Lawrence","28","1","5","3044","3051","",""
"1006068507","143740","North Lawrence","2","2","3","3380","3382","",""
"1006068507","143741","North Lawrence","2","2","3","3423.3","3426.2","",""
"1006068507","143742","North Lawrence","2","2","3","3291.7","3294.3","",""
"1006068507","143743","North Lawrence","2","2","3","3217.4","3220.7","",""
"1006068507","143744","North Lawrence","2","2","3","3180.1","3182.8","",""
"1006068507","143745","North Lawrence","2","2","3","3401","3404","",""
"1006068513","127164","North Lawrence","10","3","3","2596.9","2599.7","",""
"1006068513","127165","North Lawrence","10","3","3","2593.9","2596.9","",""
"1006068513","127166","North Lawrence","10","3","3","2638.5","2642.4","",""
"1006068513","127167","North Lawrence","10","3","3","2602.5","2605.1","",""
"1006068513","127168","North Lawrence","10","3","3","2625","2628","",""
"1006068513","127169","North Lawrence","10","3","3","2661.7","2664.6","",""
"1006068507","143669","North Lawrence","2","2","3","3209.3","3212","",""
"1006068513","127198","North Lawrence","10","3","4","2647.8","2650.8","",""
