"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1006066425","20105","2400","2930"
"1006066367","68657","2500","3006"
"1006066591","A5475","2700","2970"
"1006066641","J6767","2400","2950"
"1006066902","24837","2700","2940"
"1006066908","36566","2600","2960"
"1006066529","A1821","2850","2965"
"1006066954","B8884","3250","5285"
"1006066517","A1200","2600","2940"
"1006066737","G0006","2600","2950"
"1006066659","J8773","2300","2925"
"1006066623","J7799","2400","2870"
"1006066967","38062","2490","2940"
"1006066449","70980","2600","2950"
"1006066383","69344","2300","2800"
"1006066445","71101","2600","2970"
"1006066477","A0382","2600","3000"
"1006066363","68698","2620","2906"
"1006066425","69619","2300","2400"
"1006066431","70426","2450","2900"
"1006066835","B3189","100","1280"
"1006066391","69409","2300","2965"
"1006066767","F7902","2670","2930"
"1006066653","J7367","2750","2900"
"1006066427","70031","2650","2950"
"1006066461","71092","2500","2890"
"1006066387","69479","2350","2950"
"1006066485","A0705","2500","2960"
"1006066373","68693","2400","2930"
"1006066373","69597","2930","2975"
"1006066419","69599","2310","2950"
"1006066421","69589","2300","2950"
"1006066411","69344","2300","2950"
"1006066819","B2886","2400","2934"
"1006066433","70188","2440","2925"
"1006067041","F3052","2500","2950"
"1006066862","B6411","2500","2945"
"1006066651","J7367","2750","2900"
"1002915590","52183","3000","4325"
"1006066571","A4435","2650","2860"
"1002915591","51061","2400","2845"
"1006066361","68661","2190","2830"
"1006066361","68675","4000","5030"
"1006067165","C7857","2300","2910"
"1006066581","A4435","2700","2890"
"1006066463","A0058","2350","2887"
"1006066761","F7895","2500","2935"
"1006066769","F8211","2600","2930"
"1006066435","70343","2450","2965"
"1006066765","F8327","2400","2930"
"1006066763","F8224","2480","2925"
"1006066377","68941","2310","2904"
"1006066491","A0493","2810","2950"
"1006067169","C7859","2300","2940"
"1006066455","71098","2550","2855"
"1006066467","A0067","2300","2860"
"1006066379","69086","2300","2844"
"1006067171","C7857","2300","2930"
"1006066397","69259","2300","2955"
"1006066409","69111","2300","2832"
"1006066399","68764","2400","2788"
"1006066511","A2091","2600","2855"
"1006066381","68318","2400","2900"
"1006066773","B4187","2200","2800"
"1006066661","J9033","2300","2875"
"1006067881","A3680","2400","2765"
"1006067854","A3557","2500","2765"
"1027625616","B5866","2250","2700"
"1006068265","C6562","3180","5600"
"1006068139","J9286","2500","4220"
"1006068137","J9108","2500","2750"
"1004748571","B4097","1700","2618"
"1006068240","B1533","2300","2690"
"1002919899","52049","2500","2680"
"1002919834","26469","3830","5558"
"1002919876","66210","2600","2757"
"1002919900","49995","2735","2781"
"1002919947","F9990","2250","2750"
"1032412310","36215","2250","2764"
"1006067557","61845","2500","2769"
"1006068732","A9894","2400","2746"
"1002919898","51485","186","2697"
"1006067526","61085","2300","2670"
"1002919888","52043","2500","2750"
"1006067695","70185","2140","2670"
"1002919832","38744","1800","3350"
"1002919832","68622","3400","3800"
"1002919832","25915","3800","5417"
"1002919880","52264","1000","2768"
"1006068150","J9035","2400","2700"
"1006067994","A5937","40","2780"
"1002919884","51265","1000","2730"
"1006067753","A5331","2100","2800"
"1002919971","58956","2000","2648"
"1006067996","J5589","2350","2740"
"1026529710","39885","4800","5478"
"1006067755","C0104","1100","2800"
"1006173203","A5334","2260","2650"
"1006173231","J9183","2050","2600"
"1006173201","A5333","2200","2925"
"1002919951","48785","2000","2540"
"1006068066","J8284","2450","2830"
"1006067759","A5333","2300","2830"
"1006068090","J7151","2200","2940"
"1006067539","B6647","600","1900"
"1006067749","A2749","100","2840"
"1006067795","A4348","2400","2825"
"1006067757","C0151","2400","2988"
"1006067757","A3472","2400","2988"
"1006067791","A5330","2450","2805"
"1006067830","A2636","2500","2810"
"1006067991","A6175","2350","3180"
"1006067793","A4422","2400","2860"
"1006067779","A5331","2400","2825"
"1006068026","27300","2400","2900"
"1006067797","J7415","2400","2840"
"1006067773","A3473","2400","2825"
"1006067915","J7395","2500","2830"
"1006067781","A4348","2400","2825"
"1006068049","J8208","2200","2900"
"1006068047","J8380","2200","2900"
"1006068204","J9055","2180","2900"
"1002919840","23561","2000","2880"
"1002919960","58936","2000","2790"
"1002919883","22962","2200","2834"
"1002919881","49760","1000","2820"
"1002919882","47782","2200","2875"
"1006068005","G3837","2500","2805"
"1006173189","70187","2350","2820"
"1002919944","C3202","2250","2763"
"1006067664","69056","2100","2800"
"1006067879","A3592","2500","2845"
"1002919996","62426","2300","2779"
"1002919889","51482","180","1450"
"1006068273","C6563","3400","5500"
"1002919858","B4082","2250","2775"
"1006695673","B5307","2200","2700"
"1006067755","A2751","1100","2800"
"1001234966","A5329","2300","2660"
"1006068717","62755","1930","2640"
"1002919958","60668","2200","2620"
"1006067641","67411","2000","2590"
"1002919959","61845","2053","2550"
"1006067660","66869","2240","2550"
"1006068210","F8101","2060","2850"
"1002919967","59120","2200","2560"
"1006067743","A2748","2300","2500"
"1006067741","A2749","1000","2520"
"1006067692","70183","2330","2500"
"1002919969","58933","2000","2431"
"1006067777","A5330","2100","2240"
"1006067783","A5334","2100","2500"
"1006068168","J9339","2000","2550"
"1002919968","60716","2120","2500"
"1006173199","71347","2090","2560"
"1006067608","B7232","2300","2590"
"1006067807","A1528","2200","2580"
"1002919946","B6094","2050","2540"
"1006067563","60379","2000","2560"
"1006068261","C4537","2000","2850"
"1002919956","60742","215","2460"
"1006173205","A2324","2200","2525"
"1002919891","51484","170","2515"
"1006068263","C4537","2200","2750"
"1006068722","63242","2240","2463"
"1006067769","A2565","2000","2375"
"1002919965","60309","1900","2420"
"1006173193","71277","1800","2390"
"1006067883","A3616","2100","2378"
"1006173221","J5702","350","2340"
"1002919887","48806","1900","2430"
"1006173197","71343","1900","2500"
"1006068159","F6876","2000","2525"
"1006067515","48480","2000","2410"
"1002919961","58997","1800","2405"
"1006067803","A5334","2100","2465"
"1006068096","J6869","2200","2450"
"1006068051","F0828","1950","2400"
"1006068084","J8442","2200","2500"
"1006068082","J8208","2200","2450"
"1002919964","33818","1820","2380"
"1002919849","B5165","1000","2315"
"1006067513","61084","2325","2378"
"1006067513","B5517","5000","5280"
"1006067809","A1526","2000","2380"
"1002919945","61467","1700","2314"
"1002919845","B6095","1000","2430"
"1006067637","58054","1700","2330"
"1006068275","C6831","1600","3000"
"1006067643","67427","790","2636"
"1006067534","G1626","1600","2325"
"1002919871","B5307","2260","2380"
"1006173207","A3917","2100","2370"
"1006173181","67851","500","2410"
"1006173227","J7803","2200","2800"
"1002919830","11634","5100","5270"
"1004748668","57824","0","800"
"1001336527","68476","0","1130"
"1004748670","68477","0","816"
"1006067931","J8321","2100","2560"
"1006067516","48529","1500","2540"
"1001336530","02360","0","905"
"1006067235","C8887","600","3000"
"1006068399","C9572","2700","5450"
"1006068497","D1551","2600","4590"
"1006068537","D2897","330","3030"
"1006068539","D2899","330","3000"
"1006068691","D4267","2600","2960"
"1006068673","D4267","2600","2990"
"1006068687","D4267","2420","2750"
"1006068481","D1640","2360","5250"
"1006067354","D1319","2600","2990"
"1006067360","D1322","2420","2930"
"1006067364","D1317","2400","2965"
"1006068445","D1371","3900","5550"
"1006068531","D2294","2700","2890"
"1006067429","D3963","283","3100"
"1006068649","D3962","2600","2852"
"1006068653","D4005","4300","6310"
"1036126247","D8605","2112","4670"
"1036126247","D8604","4670","5600"
"1029100810","D6357","1500","5700"
"1022009618","D5392","2620","2770"
"1022009620","D5392","2490","2630"
"1002919985","D4704","2600","2900"
"1006067439","D3602","364","3090"
"1006067445","D3890","2400","2892"
"1006068609","D3891","2400","2570"
"1006068607","D3895","2400","2570"
"1006068617","D3892","2200","2420"
"1006569270","27347","2590","2700"
"1041094356","E0920","2300","2750"
"1037032953","D9301","2350","2782"
"1002920009","64172","1807","2500"
"1006068157","F0420","2200","2450"
"1006067041","F3033","2950","3150"
"1006068200","B1979","2200","2800"
"1006066361","68676","500","2430"
"1006066361","68677","2430","4000"
"1006066361","68681","5030","5388"
"1006066375","68698","2300","2928"
"1006068269","C6562","3200","5400"
"1002919952","48502","2100","2566"
"1006066605","A5744","2500","2960"
"1002919877","B6608","6","2368"
"1006068078","J8442","2220","2450"
"1006066429","70507","2500","2890"
"1006067737","A1164","2000","2600"
"1006067513","61083","2228","2325"
"1006066493","A0450","2350","2900"
"1001234966","A5330","2660","2960"
"1006067775","A5330","2000","2925"
"1006067815","A5330","2000","2420"
"1006067777","A5331","2240","2550"
"1006067838","A2708","2200","2425"
"1006067513","B5515","2388","3900"
"1006067513","B5516","3900","5000"
"1002915621","65118","2200","2915"
"1006066573","A4271","2680","2910"
"1006068242","B2781","1700","2300"
"1006066365","68689","2400","2948"
"1006066367","68696","2400","2500"
"1002919970","45891","2000","2351"
"1002915595","51108","2300","2880"
"1002919885","50063","1000","2780"
"1006067177","C8192","2340","2920"
"1006173213","A3593","2500","2990"
"1002919850","27325","850","2600"
"1002919850","24662","2600","3000"
"1006068259","C4537","2000","2845"
"1002919889","51483","1450","2805"
"1002919957","58925","2000","2791"
"1002919962","58954","2200","2814"
"1006066835","A9858","2550","3050"
"1006067561","52082","1000","2730"
"1006067631","58048","800","2584"
"1006066997","C0144","2400","2940"
"1006068238","B4229","2170","2475"
"1002920015","66210","2250","2450"
"1006067612","87252","2400","2780"
"1006066685","J9072","2600","3150"
"1002920002","70662","3000","5200"
"1002920002","70663","5200","6097"
"1002920009","60678","509","1803"
"1006067739","A5333","1900","2510"
"1006068042","J7536","2200","2800"
"1006066423","69583","2300","2950"
"1006066415","69552","2600","2820"
"1006066393","69557","2300","2925"
"1006067905","A4692","2350","2640"
"1013334768","D5072","1500","2990"
"1002919873","58602","2000","2550"
"1006067616","B7234","2400","2758"
"1006067604","B7246","2300","2620"
"1006067633","58079","1800","2530"
"1006067909","B2917","2350","2620"
"1006066491","A0492","2500","2810"
"1006066407","69081","2200","2850"
"1006067528","49858","2200","2800"
"1006067919","J7396","2500","2825"
"1006067917","J7396","2500","2820"
"1006067716","71346","2200","2400"
"1006067716","71347","2400","2770"
"1006066989","B9228","4400","5450"
"1006066989","B9227","2200","4400"
"1006066403","69595","2780","2830"
"1006067696","70151","1950","2500"
"1006066649","J8612","2750","2960"
"1042657633","E1941","2430","2785"
"1006067352","D1317","2400","3010"
"1006067356","D1317","2600","3000"
"1022009617","D5392","2650","2780"
"1006068615","D3891","2100","2370"
"1002919984","D4704","2100","2900"
"1006067635","58050","1700","2300"
"1026529710","39894","3000","4800"
"1002915589","38756","20","1760"
"1002915589","38757","1760","2800"
"1002919834","28041","450","3830"
"1006539186","28578","2000","2560"
"1006066363","44982","2240","2620"
"1006067998","45258","2350","2650"
"1002915587","26464","510","3100"
"1006066955","36975","2300","2960"
"1002919950","48813","2100","2680"
"1002919953","48897","2000","2575"
"1006067524","51547","1000","2786"
"1002915590","52184","4325","5380"
"1026529710","15003","850","3000"
"1006066363","54513","2000","2240"
"1002919845","20118","950","2430"
"1002919830","11629","500","2870"
"1002919830","11630","2870","4200"
"1002919830","11631","4200","5100"
"1006066443","70933","2700","2950"
"1006066447","70935","2600","2840"
"1006066413","70203","2450","2950"
"1006066519","A1287","2600","2960"
"1002920009","64171","2500","2543"
"1006067832","A2641","2300","2555"
"1006067836","A2785","2150","2400"
"1006067844","A2935","2150","2375"
"1006173211","A3538","830","3000"
"1006068527","68548","4500","6322"
"1006067805","A3729","2450","2668"
"1006066401","68758","2400","2846"
"1006066403","68758","2320","2780"
"1006066371","68759","2400","2900"
"1006066385","68830","2400","2910"
"1006067658","68837","2200","2790"
"1006067911","A4680","2300","2625"
"1002919850","69149","2700","3000"
"1002915589","69155","2800","4040"
"1006066593","A5549","2650","2970"
"1006066415","69659","2300","2950"
"1006066507","A1005","2700","2930"
"1006066509","A1006","2700","2960"
"1002919955","62022","2300","2585"
"1006066481","A0382","2600","2960"
"1002920004","62739","1890","2665"
"1006066529","A1820","2650","2850"
"1006066479","A0423","2500","2950"
"1002920007","63210","1810","2320"
"1006067834","A2618","2300","2570"
"1006067751","A2748","100","2810"
"1006067840","A2981","2150","2350"
"1002919840","23560","400","2000"
"1006066549","A3425","2600","2850"
"1006067789","A4422","2000","2440"
"1006066575","A4435","2750","2870"
"1006067672","69343","2100","2800"
"1006066389","69409","2310","2945"
"1002919963","58946","2200","2686"
"1006066459","71096","300","2850"
"1002919966","60214","2000","2390"
"1002919893","61099","2300","2805"
"1002919890","61101","2300","2800"
"1006068689","D4267","2600","2990"
"1006068671","D4267","2600","3020"
"1006067441","D3872","2590","2855"
"1006068653","D4004","3500","4300"
"1006066995","C0547","2500","2960"
"1002920002","A9914","2000","3000"
"1006067522","B6646","0","2320"
"1006067539","B6648","1900","2807"
