KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1002920016","T21S R41W, Sec. 14,       NE SW","Livingston Oil Co.","Louis Dreyfus Natural Gas Corp.","HCU 1411","15-075-30094","3634 KB","Strip/Sample Logs","Kansas Sample Log Service","3900","6096","","Scanned","06/156/1964"
"1002919830","T24S R42W, Sec. 17, C     SW SW","Lion Oil and Refining Co.","","Tate 1","15-075-00006","3390 KB","Strip/Sample Logs","Kansas Sample Log Service","500","5273","","Scanned","01/03/1956"
"1002919832","T22S R41W, Sec. 36,     NW NW SE","Kansas-Nebraska Natural Gas Co.","Chesapeake Operating, LLC","Bradshaw 1","15-075-00009","3504 KB","Strip/Sample Logs","Kansas Sample Log Service","2200","5417","","Scanned","07/202/1957"
"1002919834","T22S R41W, Sec. 1,       NE NW","KANSAS-NEBRASKA NATURAL GAS CO","Chesapeake Operating, LLC","WEDEL 1-1","15-075-00013","3617 KB","Strip/Sample Logs","Kansas Sample Log Service","2300","5558","","Scanned","04/105/1958"
"1026529710","T22S R42W, Sec. 25,     NW NW SE","Edwin L. Cox","Louis Dreyfus Natural Gas Corp.","V. E. Trussell 1-25","15-075-00029-0001","3513 KB","Strip/Sample Logs","Kansas Sample Log Service","3000","5468","","Scanned","10/290/1967"
"1002915590","T20S R39W, Sec. 5,       SE SE","HELMERICH AND PAYNE, INC.","","ANGELL 1","15-071-00022","3529 KB","Strip/Sample Logs","Kansas Sample Log Service","3000","5382","","Scanned","09/244/1963"
"1006067405","T19S R39W, Sec. 30,     W2 SE SE","Midwestern Exploration Co.","Iconic Oil & Gas LLC","BUEHNE TRUST 1-30","15-071-20625","3544 KB","Atlas Wireline Services       ","SBT Gamma Ray                                                        ","4600","6291","","Unscanned","05/125/1994"
"1006068325","T22S R40W, Sec. 32,         SE","American Exploration Co.","Scout Energy Management LLC","HCU 3220-B","15-075-20443","3470 KB","Atlas Wireline Services       ","Prism                                                                ","2395","2705","","Scanned","07/186/1990"
"1025686934","T21S R41W, Sec. 29,         NW"," ","Scout Energy Management LLC","HCU 2911-B","15-075-20708","3678 GL","Baker Hughes - Baker Atlas    ","Gamma Ray Cement Bond Log                                            ","200","1300","94","Scanned","01/14/2000"
"1006343976","T22S R40W, Sec. 31,   SW SW SW NW"," ","Scout Energy Management LLC","HCU 3120-E","15-075-20703","3506 GL","Baker Hughes - Baker Atlas    ","Gamma Ray Cement Bond Log                                            ","1950","6027","","Scanned","08/235/1999"
"1023732508","T21S R41W, Sec. 32,   SE SE NW NW"," ","Riviera Operating, LLC","HCU 3211-C","15-075-20770","3679 KB","Baker Hughes - Baker Atlas    ","Gamma Ray CCL                                                        ","2000","2869","","Scanned","08/239/2001"
"1022362561","T22S R40W, Sec. 22,   NW NW SE SE"," ","Scout Energy Management LLC","HCU 2220-C","15-075-20759","3540 KB","Baker Hughes - Baker Atlas    ","Gamma Ray CCL                                                        ","2000","2845","","Scanned","08/236/2001"
"1023732509","T23S R41W, Sec. 17,   NW NW SE SE","Louis Dreyfus Natural Gas Corp.","Scout Energy Management LLC","HCU 1731-B","15-075-20771","3470 KB","Baker Hughes - Baker Atlas    ","Gamma Ray CCL                                                        ","1965","2586","","Scanned","09/268/2001"
"1023732503","T22S R42W, Sec. 24,   SW SW NE NE"," ","Scout Energy Management LLC","HCU 2422-D","15-075-20765","3571 KB","Baker Hughes - Baker Atlas    ","Gamma Ray CCL                                                        ","2000","2752","","Scanned","09/257/2001"
"1022362566","T23S R41W, Sec. 4,   SW SW NE NW","Louis Dreyfus Natural Gas Corp. ","Scout Energy Management LLC","HCU 0431-C","15-075-20764","3474 KB","Baker Hughes - Baker Atlas    ","Gamma Ray CCL                                                        ","2200","2619","","Scanned","09/257/2001"
"1023732510","T21S R41W, Sec. 15,     SE NE NW"," ","Scout Energy Management LLC","HCU 'C' 1511","15-075-20772","3641 KB","Baker Hughes - Baker Atlas    ","Gamma Ray CCL                                                        ","2000","2850","","Scanned","09/250/2001"
"1022362557","T22S R40W, Sec. 8,   NW NW SE SE"," ","Scout Energy Management LLC","HCU 820-D","15-075-20755","3572 KB","Baker Hughes - Baker Atlas    ","Gamma Ray CCL                                                        ","1900","2834","","Scanned","08/228/2001"
"1023732505","T23S R41W, Sec. 36,   SW SW NE NE","Louis Dreyfus Natural Gas Corp.","Riviera Operating, LLC","HCU 3631-C","15-075-20767","3364 KB","Baker Hughes - Baker Atlas    ","Gamma Ray CCL                                                        ","2000","2516","","Scanned","09/263/2001"
"1023732504","T23S R41W, Sec. 25,   SE SE NW NE","Louis Dreyfus Natural Gas Corp.","Scout Energy Management LLC","HCU 2531-B","15-075-20766","3404 KB","Baker Hughes - Baker Atlas    ","Gamma Ray CCL                                                        ","2000","2568","","Scanned","09/263/2001"
"1022362559","T21S R41W, Sec. 33,   SW SW NE NE","Louis Dreyfus Natural Gas Corp.","Riviera Operating, LLC","HCU 3311-B","15-075-20757","3651 KB","Baker Hughes - Baker Atlas    ","Gamma Ray CCL                                                        ","2000","2862","","Scanned","08/221/2001"
"1022362558","T22S R40W, Sec. 18,   SE SE NW NW"," ","Scout Energy Management LLC","HCU 1820-C","15-075-20756","3495 KB","Baker Hughes - Baker Atlas    ","Gamma Ray CCL                                                        ","1960","2935","","Scanned","08/236/2001"
"1022362560","T22S R40W, Sec. 16,   SE SE NW NW","Louis Dreyfus Natural Gas Corp.","Scout Energy Management LLC","HCU 1620-C","15-075-20758","3569 KB","Baker Hughes - Baker Atlas    ","Gamma Ray CCL                                                        ","2000","2891","","Scanned","08/228/2001"
"1021121940","T22S R40W, Sec. 18,   SE SE SE SE"," ","Scout Energy Management LLC","HCU 1820-D","15-075-20742","3573 KB","Baker Hughes - Baker Atlas    ","Comp. Z-Densilog Comp. Neutron Gamma Ray                             ","4000","6350","138","Scanned","03/71/2001"
"1013358580","T23S R41W, Sec. 13,   SE SE NW NW","Louis Dreyfus Natural Gas Corp.","Scout Energy Management LLC","HCU 1331-C","15-075-20724","3412 KB","Baker Hughes - Baker Atlas    ","Scintillation Gamma Ray","1762","2762","","Scanned","08/230/2000"
"1013334780","T22S R40W, Sec. 7,   SW SW NE NE"," ","Scout Energy Management LLC","HCU 0720-C","15-075-20718","2587 KB","Baker Hughes - Baker Atlas    ","Scintillation Gamma Ray","1862","2862","","Scanned","08/237/2000"
"1013334779","T22S R40W, Sec. 5,       N2 SE"," ","Riviera Operating, LLC","HCU 0520-B","15-075-20717","3571 KB","Baker Hughes - Baker Atlas    ","Scintillation Gamma Ray","1858","2858","","Scanned","08/220/2000"
"1013358575","T22S R40W, Sec. 9,       E2 NW"," ","Scout Energy Management LLC","HCU 920-C","15-075-20719","3563 KB","Baker Hughes - Baker Atlas    ","Scintillation Gamma Ray","1860","2860","","Scanned","08/220/2000"
"1013358576","T22S R41W, Sec. 10,   SW SW NE NE"," ","Scout Energy Management LLC","HCU 1021-C","15-075-20720","3631 KB","Baker Hughes - Baker Atlas    ","Scintillation Gamma Ray","1868","2868","","Scanned","08/224/2000"
"1013358584","T22S R41W, Sec. 15,   NW NW SE SE"," ","Riviera Operating, LLC","HCU 1521-C","15-075-20728","3628 KB","Baker Hughes - Baker Atlas    ","Scintillation Gamma Ray","1858","2858","","Scanned","08/224/2000"
"1001235489","T23S R41W, Sec. 34,   NW NW SE SE","Louis Dreyfus Natural Gas Corp.","Riviera Operating, LLC","HCU 3431-B","15-075-20725","3327 KB","Baker Hughes - Baker Atlas    ","Scintillation Gamma Ray","1568","2568","","Scanned","08/238/2000"
"1006068363","T22S R41W, Sec. 31,   SW SW NE SW","American Exploration Co.","Scout Energy Management LLC","HCU 3121-C","15-075-20465","3502 KB","BPB Instruments               ","Wellsite Analysis Log                                                ","2000","2685","91","Scanned","07/186/1990"
"1006067439","T20S R40W, Sec. 18,         N2","MURFIN DRILLING CO","Murfin Drilling Co., Inc.","MOONEY 1-18","15-071-20645","3619 KB","BPB Instruments               ","Borehole Compensated Sonic Integrated Transit Time Log               ","358","3055","89","Unscanned","01/05/1996"
"1006068653","T24S R40W, Sec. 14,       SW NE","Hugoton Energy Corp.","Edison Operating Company LLC","Brownlee 1-14","15-075-20635","3230 KB","BPB Instruments               ","Borehole Compensated Sonic Integrated Transit Time Log               ","2200","6278","123","Scanned","03/83/1997"
"1006068399","T21S R40W, Sec. 20,   SW NE SE SE","Hugoton Energy Corp.","Chesapeake Operating, LLC","Bogner 2-20","15-075-20489","3571 KB","BPB Instruments               ","Borehole Compensated Sonic Integrated Transit Time Log               ","1360","5452","123","Scanned","07/205/1991"
"1006068497","T22S R42W, Sec. 14,     NW NE SE","Hugoton Energy Corp.","Hugoton Energy Corporation","Cheatum 2-14","15-075-20539","3587 KB","BPB Instruments               ","Spectral Gamma Ray Log                                               ","4900","5356","114","Scanned","02/58/1994"
"1006068481","T24S R40W, Sec. 29,         NW","Hugoton Energy Corp.","Hugoton Energy Corporation","Wood 5A-29","15-075-20531","3247 KB","BPB Instruments               ","Spectral Gamma Ray Log                                               ","4800","5217","116","Scanned","03/71/1994"
"1006068673","T22S R41W, Sec. 4,   W2 W2 E2 SE","Louis Dreyfus Natural Gas","Scout Energy Management LLC","HCU 0421B","15-075-20648","3650 KB","BPB Instruments               ","Spectral Gamma Ray Log                                               ","1820","2935","98","Scanned","08/216/1997"
"1006068363","T22S R41W, Sec. 31,   SW SW NE SW","American Exploration Co.","Scout Energy Management LLC","HCU 3121-C","15-075-20465","3502 KB","BPB Instruments               ","Digital Dual Induction Shallow Focused Log                           ","363","2693","91","Scanned","07/185/1990"
"1006068381","T22S R40W, Sec. 21,         NE","American Exploration Co.","Scout Energy Management LLC","HCU 2120-B","15-075-20478","3565 KB","BPB Instruments               ","Digital Dual Induction Shallow Focused Log                           ","359","2852","110","Scanned","08/224/1990"
"1006068355","T21S R41W, Sec. 16,         NE","American Exploration Co.","Scout Energy Management LLC","HCU 1611-B","15-075-20461","3650 KB","BPB Instruments               ","Digital Dual Induction Shallow Focused Log                           ","350","2903","94","Scanned","07/193/1990"
"1006068363","T22S R41W, Sec. 31,   SW SW NE SW","American Exploration Co.","Scout Energy Management LLC","HCU 3121-C","15-075-20465","3502 KB","BPB Instruments               ","Compensated Neutron Compensated Density Log                          ","2000","2685","91","Scanned","07/186/1990"
"1006068445","T22S R41W, Sec. 12,     SE NW NW","Hugoton Energy Corp.","Chesapeake Operating, LLC","St. Columbans 2-12","15-075-20512","3622 KB","BPB Instruments               ","Compensated Neutron Compensated Density Log                          ","2250","5530","117","Scanned","02/42/1993"
"1006067165","T20S R39W, Sec. 32,         SE","BARTLING OIL","Bartling Oil Company","LEMON 1","15-071-20481","3524 KB","BPB Instruments               ","Compensated Neutron Compensated Density Log                          ","906","2905","99","Unscanned","12/344/1989"
"1006067169","T20S R40W, Sec. 14,         SW","BARTLING OIL","American Star Energy Services, LLC","SPEARS 3","15-071-20484","3571 KB","BPB Instruments               ","Compensated Neutron Compensated Density Log                          ","900","2926","","Unscanned","12/354/1989"
"1002919987","T23S R41W, Sec. 8,         SE","Louis Dreyfus Natural Gas Corp.","Dominion Oklahoma Texas Expl & Prod, Inc.","HCU 0831-B","15-075-20682","3450 KB","BPB Instruments               ","Compensated Neutron Compensated Density Log                          ","1900","2817","108","Scanned","09/253/1998"
"1006068677","T21S R41W, Sec. 10,   SW SW NE NW","American Exploration Co.","Scout Energy Management LLC","HCU 1011-B","15-075-20651","3645 KB","BPB Instruments               ","Compensated Neutron Compensated Density Log                          ","1800","2961","96","Scanned","08/229/1997"
"1006068689","T21S R41W, Sec. 15,   NE NE SW SW","Louis Dreyfus Natural Gas Corp.","Scout Energy Management LLC","HCU 1511-B","15-075-20658","3644 KB","BPB Instruments               ","Compensated Neutron Compensated Density Log                          ","1800","2993","96","Scanned","08/242/1997"
"1006067439","T20S R40W, Sec. 18,         N2","MURFIN DRILLING CO","Murfin Drilling Co., Inc.","MOONEY 1-18","15-071-20645","3619 KB","BPB Instruments               ","Array Induction-SFE Photodensity - Neutron Log                       ","358","3098","89","Unscanned","01/05/1996"
"1006068323","T23S R41W, Sec. 15,   NE NE SW NE","American Exploration Co.","Riviera Operating, LLC","HCU 1531-B","15-075-20442","3468 KB","BPB Instruments               ","Compensated Neutron Compensated Photo-Density Spectral Gamma Ray     ","2000","2723","94","Scanned","04/108/1990"
"1006068449","T23S R41W, Sec. 10,   SE SE NW NW","Hugoton Energy Corp.","Chesapeake Operating, LLC","Kincheloe 'B' 2-10","15-075-20514","3452 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","2300","5478","112","Scanned","12/335/1993"
"1006068481","T24S R40W, Sec. 29,         NW","Hugoton Energy Corp.","Hugoton Energy Corporation","Wood 5A-29","15-075-20531","3247 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","1400","5249","116","Scanned","03/71/1994"
"1006068497","T22S R42W, Sec. 14,     NW NE SE","Hugoton Energy Corp.","Hugoton Energy Corporation","Cheatum 2-14","15-075-20539","3587 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","2500","5373","114","Scanned","02/58/1994"
"1006068653","T24S R40W, Sec. 14,       SW NE","Hugoton Energy Corp.","Edison Operating Company LLC","Brownlee 1-14","15-075-20635","3230 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","2200","6322","123","Scanned","03/83/1997"
"1002919986","T22S R40W, Sec. 17,         NW"," ","Scout Energy Management LLC","HCU 1720-D","15-075-20679","3578 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","2100","3028","96","Scanned","08/225/1998"
"1002919987","T23S R41W, Sec. 8,         SE","Louis Dreyfus Natural Gas Corp.","Dominion Oklahoma Texas Expl & Prod, Inc.","HCU 0831-B","15-075-20682","3450 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","1900","2829","108","Scanned","09/253/1998"
"1006068445","T22S R41W, Sec. 12,     SE NW NW","Hugoton Energy Corp.","Chesapeake Operating, LLC","St. Columbans 2-12","15-075-20512","3622 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","2250","5551","117","Scanned","02/42/1993"
"1006068399","T21S R40W, Sec. 20,   SW NE SE SE","Hugoton Energy Corp.","Chesapeake Operating, LLC","Bogner 2-20","15-075-20489","3571 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","2300","5451","123","Scanned","07/205/1991"
"1002919985","T22S R42W, Sec. 24,         NW"," ","Scout Energy Management LLC","HCU 2422-C","15-075-20678","3551 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","321","2826","101","Scanned","07/198/1998"
"1002919983","T22S R41W, Sec. 29,     W2 NE NW"," ","Scout Energy Management LLC","HCU 2921-B","15-075-20675","3578 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","2150","2946","107","Scanned","07/201/1998"
"1006067439","T20S R40W, Sec. 18,         N2","MURFIN DRILLING CO","Murfin Drilling Co., Inc.","MOONEY 1-18","15-071-20645","3619 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","2300","3072","89","Unscanned","01/05/1996"
"1006068365","T22S R42W, Sec. 25,         NE","American Exploration Co.","Riviera Operating, LLC","HCU 2522-C","15-075-20466","3555 KB","BPB Instruments               ","Digital Array Induction Shallow Focused Electric Log                 ","360","2733","89","Scanned","07/182/1990"
"1006068361","T22S R40W, Sec. 30,         NE","American Exploration Co.","Scout Energy Management LLC","HCU 3020-B","15-075-20464","3515 KB","BPB Instruments               ","Digital Array Induction Shallow Focused Electric Log                 ","361","2762","108","Scanned","08/214/1990"
"1006068359","T22S R40W, Sec. 29,         SW","American Exploration Co.","Riviera Operating, LLC","HCU 2920-B","15-075-20463","3498 KB","BPB Instruments               ","Digital Array Induction Shallow Focused Electric Log                 ","356","2761","107","Scanned","08/221/1990"
"1006068383","T22S R40W, Sec. 31,         SE","American Exploration Co.","Louis Dreyfus Natural Gas Corp.","HCU 3120-C","15-075-20479","3470 KB","BPB Instruments               ","Digital Array Induction Shallow Focused Electric Log                 ","359","2724","107","Scanned","07/208/1990"
"1006068371","T22S R41W, Sec. 34,         NE","American Exploration Co.","Riviera Operating, LLC","HCU 3421-B","15-075-20470","3523 KB","BPB Instruments               ","Digital Array Induction Shallow Focused Electric Log                 ","360","2771","105","Scanned","07/204/1990"
"1006068385","T23S R41W, Sec. 35,         SE","American Exploration Co.","Scout Energy Management LLC","HCU 3531-B","15-075-20481","3325 KB","BPB Instruments               ","Digital Array Induction Shallow Focused Electric Log                 ","330","2590","103","Scanned","08/239/1990"
"1006068387","T23S R40W, Sec. 22,         SE","American Exploration Co.","Scout Energy Management LLC","HCU 2230-B","15-075-20483","3330 KB","BPB Instruments               ","Digital Array Induction Shallow Focused Electric Log                 ","350","2644","96","Scanned","08/231/1990"
"1006068317","T23S R40W, Sec. 20,         NE","American Exploration Co.","Riviera Operating, LLC","HCU 2030-C","15-075-20439","3434 KB","BPB Instruments               ","Digital Array Induction Shallow Focused Electric Log                 ","350","2731","107","Scanned","08/234/1990"
"1006068377","T21S R41W, Sec. 9,         NE","American Exploration Co.","Scout Energy Management LLC","HCU 0911-B","15-075-20475","3668 KB","BPB Instruments               ","Digital Array Induction Shallow Focused Electric Log                 ","360","2929","112","Scanned","09/244/1990"
"1006068357","T21S R41W, Sec. 21,         SW","American Exploration Co.","American Exploration Company","HCU 2111-B","15-075-20462","3666 KB","BPB Instruments               ","Digital Array Induction Shallow Focused Electric Log                 ","360","2978","105","Scanned","08/241/1990"
"1006068379","T22S R40W, Sec. 18,         NE","American Exploration Co.","Scout Energy Management LLC","HCU 1820-B","15-075-20477","3589 KB","BPB Instruments               ","Digital Array Induction Shallow Focused Electric Log                 ","358","2851","107","Scanned","08/227/1990"
"1006068367","T23S R41W, Sec. 5,         SW","American Exploration Co.","Scout Energy Management LLC","HCU 0531-B","15-075-20467","3478 KB","BPB Instruments               ","Digital Array Induction Shallow Focused Electric Log                 ","362","2678","99","Scanned","07/189/1990"
"1006067235","T18S R40W, Sec. 22,     SW NE SE","SODERSTROM, GLEN S.","Soderstrom, Glen S.","E. W. HAMPTON UNIT 1","15-071-20525","3538 KB","BPB Instruments               ","Digital Array Induction Shallow Focused Electric Log                 ","280","3002","93","Unscanned","11/322/1990"
"1006068445","T22S R41W, Sec. 12,     SE NW NW","Hugoton Energy Corp.","Chesapeake Operating, LLC","St. Columbans 2-12","15-075-20512","3622 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","1416","5551","123","Scanned","02/42/1993"
"1006068449","T23S R41W, Sec. 10,   SE SE NW NW","Hugoton Energy Corp.","Chesapeake Operating, LLC","Kincheloe 'B' 2-10","15-075-20514","3452 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","0","5479","112","Scanned","12/335/1993"
"1006068497","T22S R42W, Sec. 14,     NW NE SE","Hugoton Energy Corp.","Hugoton Energy Corporation","Cheatum 2-14","15-075-20539","3587 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","1363","5374","114","Scanned","02/58/1994"
"1006068539","T21S R40W, Sec. 32,   SW SW NE NE","Murfin Drilling Co.","Murfin Drilling Co., Inc.","Trident Energy-Newton 1-32","15-075-20562","3578 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","330","2991","96","Scanned","03/87/1995"
"1006068675","T23S R40W, Sec. 29,   SW SW NE NE","Louis Dreyfus Natural Gas Corp.","Scout Energy Management LLC","HCU 2930-C","15-075-20650","3372 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","220","2748","89","Scanned","08/222/1997"
"1006068653","T24S R40W, Sec. 14,       SW NE","Hugoton Energy Corp.","Edison Operating Company LLC","Brownlee 1-14","15-075-20635","3230 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","1860","6321","123","Scanned","03/83/1997"
"1006068537","T21S R40W, Sec. 5,         NW","Murfin Drilling Co.","Murfin Drilling Co., Inc.","Trident Energy Sutton Trust 1-5","15-075-20561","3578 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","334","3026","93","Scanned","04/92/1995"
"1006068667","T23S R41W, Sec. 26,   SW SW NE NE","American Exploration Co.","Riviera Operating, LLC","HCU 2631-B","15-075-20645","3372 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","228","2691","88","Scanned","08/213/1997"
"1006068691","T21S R41W, Sec. 25,   NW NW SE SE","Louis Dreyfus Natural Gas Corp.","Riviera Operating, LLC","HCU 2511-B","15-075-20659","3603 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","230","2974","101","Scanned","08/238/1997"
"1006068671","T21S R41W, Sec. 36,   NW NW SE SE","American Exploration Co.","Scout Energy Management LLC","HCU 3611-B","15-075-20647","3608 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","228","3007","96","Scanned","08/220/1997"
"1006068685","T23S R40W, Sec. 5,   NW NW SE NE","American Exploration Co.","Riviera Operating, LLC","HCU 5-30C","15-075-20656","3458 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","229","2837","94","Scanned","08/232/1997"
"1006068683","T22S R40W, Sec. 9,   W2 W2 E2 SE","American Exploration Co.","Scout Energy Management LLC","HCU 920-B","15-075-20654","3557 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","220","2989","98","Scanned","08/237/1997"
"1006068687","T23S R40W, Sec. 9,   NE NE SW SW","American Exploration Co.","Riviera Operating, LLC","HCU 930-B","15-075-20657","3407 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","180","2766","91","Scanned","08/234/1997"
