KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1032688421","15-075-30100","Gould 'A'","1","Kansas-Nebraska Natural Gas Co.","Chesapeake Operating, LLC","Bradshaw Gas Area","22","S","40","W","6"," ","SW","SE","SE","NW","-2530","-3300","NE","-101.7550476","38.1683493","Hamilton","","09/07/1965","12/07/1965","09/27/2000","GAS-P&A","Plugged and Abandoned","2780","3595","KB"," "
"1002920001","15-075-30017","HCU","1821-B","Livingston Oil Co.","","Bradshaw Gas Area","22","S","41","W","18"," "," "," ","NE","NE","-660","-660","NE","-101.8559088","38.1442545","Hamilton","","12/12/1964","03/04/1965","10/30/1980","GAS-P&A","Plugged and Abandoned","2700","3616","DF"," "
"1006067358","15-071-20598","FLOYD 'A'","2-25","DERNICK RESOURCES","American Star Energy Services, LLC","Bradshaw Gas Area","19","S","40","W","25"," "," "," "," ","SE","1320","-1320","SE","-101.6822029","38.3678053","Greeley","05/28/1993","07/22/1993","09/08/1993","","GAS","Inactive Well","2980","3569","KB","Chase Group"
"1006068104","15-075-20303","Marshall","1","W. B. Osborn","","Bradshaw Gas Area","23","S","39","W","17","C"," "," ","E2","NE","3960","-660","SE","-101.6165998","38.0564747","Hamilton","","07/25/1979","08/12/1980","05/01/1985","GAS-P&A","Plugged and Abandoned","2645","3392","KB","Chase Group"
"1006068659","15-075-20641","George","1","Horseshoe Operating, Inc.","American Star Energy Services, LLC","Bradshaw Gas Area","22","S","42","W","1"," ","NW","NW","SW","SE","1282","-2483","SE","-101.8801953","38.164034","Hamilton","05/08/1997","10/01/1997","10/23/1997","","GAS","Producing","2739","3655","KB","Chase Group"
"1031431289","15-075-20811-0001","Gilcrease","1-33"," ","American Warrior, Inc.","Bradshaw Gas Area","21","S","40","W","33"," "," "," ","SW","SW","660","-4620","SE","-101.7229153","38.1772636","Hamilton","","","","","SWD","UIC Application Withdrawn","3153","3570","KB"," "
"1025813794","15-075-20792","Banbury","2","Horseshoe Operating, Inc.","American Star Energy Services, LLC","Bradshaw","21","S","40","W","31"," "," "," ","SW","SE","660","-1980","SE","-101.7506171","38.1771174","Hamilton","07/01/2002","07/10/2002","07/13/2002","","GAS","Inactive Well","2802","3592","GL","Winfield"
"1002919971","15-075-10122","BLANCHE SMITHERMAN UNIT","1","Texaco, Inc.","","Bradshaw Gas Area","22","S","42","W","13","C"," "," ","SW","NE","","","","-101.8784326","38.1406032","Hamilton","","09/08/1963","09/12/1963","11/19/1963","D&A","Plugged and Abandoned","2674","3600","KB"," "
"1004748574","15-075-34987","Keith Rosson","1-32","Hamilton Brothers, Inc.","","Bradshaw Gas Area","22","S","40","W","32","C"," "," "," ","NW","3960","-3960","SE","-101.7384439","38.0992171","Hamilton","","01/30/1961","02/05/1961","","GAS"," ","2630","3486","KB","Chase Group"
"1006173205","15-075-20152","Doyle","1","Gary C. Adams","Horseshoe Operating, Inc.","Bradshaw Gas Area","23","S","41","W","21"," "," "," "," ","SW","1330","-3986","SE","-101.8303041","38.0337457","Hamilton","","07/15/1976","08/08/1976","08/03/2016","GAS-P&A","Plugged and Abandoned","2525","3410","KB","Winfield"
"1025687338","15-071-20739","JOY","2","HORSESHOE OPERATING INC","Horseshoe Operating, Inc.","Bradshaw","20","S","39","W","6"," "," ","NW","NW","SW","2400","330","SW","-101.676411","38.3419052","Greeley","01/10/2001","01/23/2001","01/25/2001","01/26/2001","D&A","Plugged and Abandoned","2872","3544","GL","Winfield"
