KID,BARCODE,FACILITY,AISLE,COLUMN,ROW,TOP,BOTTOM,CORE_TYPE,COMMENTS
"1001276390","118252","North Lawrence","34","4","1","0","0","",""
"1001275814","133966","North Lawrence","37","2","1","3596","3602","",""
"1006116134","105186","North Lawrence","36","4","5","3780","3789","",""
"1006116134","105187","North Lawrence","36","4","5","3771","3780","",""
"1001275813","146482","North Lawrence","29","2","2","3596","3600","",""
"1001275811","108938","North Lawrence","26","2","2","3601","3605","",""
"1001276350","105072","North Lawrence","29","1","3","1948","1954","",""
"1001276350","105073","North Lawrence","29","1","3","1954","1961","",""
"1001276314","122278","North Lawrence","8","1","7","0","0","","THERE ARE NO DEPTHS FOR THIS BOX INSIDE OR OUT"
"1001276314","122279","North Lawrence","8","1","7","0","0","","THERE ARE NO DEPTHS FOR THIS BOX INSIDE OR OUT"
"1001276314","122280","North Lawrence","8","1","7","0","0","","THERE ARE NO DEPTHS FOR THIS BOX INSIDE OR OUT"
"1001276314","122281","North Lawrence","8","1","7","0","0","","THERE ARE NO DEPTHS FOR THIS BOX INSIDE OR OUT"
"1001276314","122282","North Lawrence","8","1","7","0","0","","THERE ARE NO DEPTHS FOR THIS BOX INSIDE OR OUT"
"1001275812","108936","North Lawrence","26","2","2","3590","3603","",""
"1001275812","108937","North Lawrence","26","2","2","3603","3608","",""
"1001276350","214107","North Lawrence","29","1","3","2516","2521","",""
"1001276350","214108","North Lawrence","29","1","3","2522","2523","",""
"1001276350","214109","North Lawrence","29","1","3","2510","2515","",""
"1001275810","108935","North Lawrence","26","2","2","3605","3612","",""
"1006116134","142346","North Lawrence","36","4","5","3637","3648","",""
"1006116134","142347","North Lawrence","36","4","5","3648","3658","",""
"1006116134","142348","North Lawrence","36","4","5","3658","3750","",""
"1006116134","142349","North Lawrence","36","4","5","3753","3762","",""
"1001276493","118709","North Lawrence","32","1","2","0","0","",""
"1006116134","142350","North Lawrence","36","4","5","3762","3771","",""
"1006116134","142351","North Lawrence","36","4","5","3631","3637","",""
