"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1001276403","G0558","3230","3365"
"1043953361","E3500","2300","3540"
"1043953361","E3501","3540","3798"
"1001276350","55717","2250","3379"
"1044026641","E4141","2720","3900"
"1044026641","E4139","2300","2720"
"1044119375","E4456","3450","4220"
"1006812130","08938","2200","3366"
"1002921148","08553","2200","3200"
"1002921110","40363","2000","3348"
"1002921112","45634","2200","2900"
"1002921113","45636","2700","3250"
"1002921114","45557","2390","3395"
"1002921116","45636","2325","2900"
"1002921117","45555","2300","3384"
"1002921121","45568","2270","3394"
"1002921122","45684","2330","3345"
"1006071580","70602","600","2150"
"1002921123","45633","2700","3369"
"1005783262","45626","2400","2700"
"1002921126","45548","2300","2875"
"1006071491","57608","2800","3350"
"1002921124","02719","1000","2500"
"1002921124","02718","2850","3680"
"1002921187","04202","0","2750"
"1002921187","04203","2750","3352"
"1002921183","04468","2500","3030"
"1002921183","04469","3030","3429"
"1002921186","45643","500","1400"
"1002921186","45644","1400","2800"
"1002921186","45645","2800","3381"
"1002921189","45534","2700","3341"
"1002921190","45526","2200","2950"
"1002921194","45538","2750","3372"
"1002921195","45559","3215","3369"
"1002921198","45569","3070","3388"
"1002921200","45532","2700","3050"
"1002921200","45533","3050","3376"
"1002921201","45530","2800","3384"
"1002921202","45524","2700","3260"
"1002921202","47362","3265","3379"
"1002921203","45541","2650","3300"
"1002921203","45542","3300","3373"
"1002921203","09554","2545","2745"
"1002921204","45533","2700","3250"
"1002921205","45527","2200","2600"
"1002921205","45528","2600","3235"
"1002921205","45529","3235","3380"
"1002921191","45536","2200","2700"
"1002921191","45537","2700","3377"
"1002921207","45540","2700","3370"
"1002921208","45663","2700","3377"
"1006071584","70092","500","2840"
"1006071584","70093","2840","3375"
"1006071720","A2509","3100","4548"
"1002921169","00401","3200","3287"
"1002920771","54261","2720","3240"
"1031535856","45640","3300","3436"
"1002921172","04640","3000","3380"
"1006071854","G3643","2100","3375"
"1001239013","04605","3000","3360"
"1001239011","05483","2600","3150"
"1001239009","07805","2500","3366"
"1002921174","12176","2400","3351"
"1002921094","00930","2650","3371"
"1002921097","62804","2800","3397"
"1002920620","08736","2500","3360"
"1002921059","04287","3270","3355"
"1028709461","01185","3292","3368"
"1006072242","B8589","2300","2700"
"1002921071","42378","3280","3380"
"1002921067","03960","3276","3372"
"1001239085","04350","3000","3200"
"1006071578","69527","807","3355"
"1001239082","C1221","3000","3085"
"1006072350","C8640","2110","3680"
"1002921083","07524","3274","3369"
"1002921073","56792","2230","3311"
"1002921084","04328","3100","3362"
"1002921078","07193","3200","3350"
"1002921082","07508","3235","3370"
"1002921024","02747","2820","3370"
"1002921053","54240","1510","3365"
"1002921051","37687","2400","3365"
"1002921042","44548","3254","3361"
"1002921522","40243","2500","3400"
"1002921014","C6166","2500","3100"
"1002921014","30567","3100","3483"
"1002921012","02739","3135","3361"
"1002921011","02739","3280","3330"
"1001275656","04181","2450","3000"
"1001275656","04182","3000","3375"
"1001275667","40368","2550","3350"
"1001275666","40365","2500","3367"
"1006116090","35152","2800","3228"
"1006116122","35368","2810","3330"
"1006116140","35594","2800","3339"
"1001275661","52931","3232","3353"
"1001275662","27701","2500","3388"
"1001275672","04248","2200","3383"
"1002939572","01752","1100","3550"
"1001275669","A9280","1000","2505"
"1001275657","16762","2500","3600"
"1001275678","02709","2500","3665"
"1001275679","44552","2500","3645"
"1001275704","44572","600","3560"
