KID,LASFILE
"1006117068","1043018564.las"
"1006116741","1043563744.las"
"1037343825","1043563749.las"
"1006117062","1044209100.las"
"1002939209","1044209140.las"
"1001275784","1044203991.las"
"1043953361","1044741331.las"
"1044172575","1044924882.las"
"1044582941","1045018874.las"
"1044994271","1046114726.las"
"1044994272","1046114684.las"
"1044879434","1045637770.las"
"1044923637","1046075670.las"
"1044863933","1045627816.las"
"1046244887","1047191268.las"
"1050391280","1051310988.las"
"1051694164","1051708617.las"
"1051682800","1051708623.las"
"1046834739","1047174920.las"
"1006072350","1043803729.las"
"1039400611","1044095325.las"
"1044584156","1044815140.las"
"1001275708","1044209099.las"
"1006117581","1044209103.las"
"1006116138","1044209112.las"
"1006116176","1044209114.las"
"1044152610","1044891528.las"
"1044119375","1044817011.las"
"1044026634","1044773161.las"
"1043973143","1044892328.las"
"1044582942","1045638571.las"
"1045052640","1046113974.las"
"1052086316","1053378526.las"
"1052050583","1053378540.las"
"1044582939","1044628215.las"
"1006116134","1044218893.las"
"1006116741","1044218894.las"
"1001275801","1043691103.las"
"1001275883","1043691108.las"
"1033973822","1044203992.las"
"1006072350","1044209089.las"
"1006117620","1044209104.las"
"1001276390","1044209111.las"
"1001276449","1044209118.las"
"1044582940","1045018879.las"
"1046769674","1046823182.las"
"1050474776","1051309886.las"
"1051682801","1051850865.las"
"1052698497","1053376457.las"
"1052708725","1053376900.las"
"1052708724","1053377049.las"
"1053412217","1053579809.las"
