KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1006072242","T23S R3W, Sec. 18,     E2 W2 NW","Howell Oil Company, Inc.","Howell Oil Company, Inc.","PIZINGER 3","15-079-20587","1480 KB","Alpha Wireline, Inc.          ","Gamma Ray Neutron                                                    ","2400","3392","","Unscanned","10/298/1984"
"1006117469","T23S R4W, Sec. 35,   E2 NW NW SW","HIEBERT LEWIS","Hiebert, D. O. Lewis","RUDICEL 1","15-155-20972","1466 KB","Cornish                       ","Induction Electric Log                                               ","3000","3625","","Unscanned","01/29/1984"
"1006117469","T23S R4W, Sec. 35,   E2 NW NW SW","HIEBERT LEWIS","Hiebert, D. O. Lewis","RUDICEL 1","15-155-20972","1466 KB","Cornish                       ","Compensated Density                                                  ","3000","3622","","Unscanned","01/29/1984"
"1006117620","T23S R4W, Sec. 12,     SW NW NE","PRODUCERS OIL CO.","Producers Oil Company","TETEN 'B' 13","15-155-21057","1498 KB","Dresser Atlas                 ","Dual Induction Focused Log Gamma Ray                                 ","248","3901","113","Scanned","06/162/1985"
"1006117581","T23S R4W, Sec. 12,     SE NE NW","Producers Oil Co.","Grasslands Petroleum Company, Inc","Neufeldt 5","15-155-21036","1496 KB","Dresser Atlas                 ","Dual Induction Focused Log Gamma Ray                                 ","262","3930","115","Scanned","02/50/1985"
"1006117581","T23S R4W, Sec. 12,     SE NE NW","Producers Oil Co.","Grasslands Petroleum Company, Inc","Neufeldt 5","15-155-21036","1496 KB","Dresser Atlas                 ","Minilog Gamma Ray                                                    ","3200","3853","115","Scanned","02/50/1985"
"1006117620","T23S R4W, Sec. 12,     SW NW NE","PRODUCERS OIL CO.","Producers Oil Company","TETEN 'B' 13","15-155-21057","1498 KB","Dresser Atlas                 ","Acoustic Cement Bond Log VDL Gamma Ray                               ","2420","3844","","Scanned","07/189/1985"
"1006117581","T23S R4W, Sec. 12,     SE NE NW","Producers Oil Co.","Grasslands Petroleum Company, Inc","Neufeldt 5","15-155-21036","1496 KB","Dresser Atlas                 ","Acoustic Cement Bond Log VDL Gamma Ray                               ","2290","3862","","Scanned","03/65/1985"
"1006117581","T23S R4W, Sec. 12,     SE NE NW","Producers Oil Co.","Grasslands Petroleum Company, Inc","Neufeldt 5","15-155-21036","1496 KB","Dresser Atlas                 ","Compensated Densilog Compensated Neutron Gamma Ray                   ","2200","3943","115","Scanned","02/50/1985"
"1006117620","T23S R4W, Sec. 12,     SW NW NE","PRODUCERS OIL CO.","Producers Oil Company","TETEN 'B' 13","15-155-21057","1498 KB","Dresser Atlas                 ","Compensated Densilog GR Compensated Neutron Minilog                  ","2200","3901","113","Scanned","06/162/1985"
"1006117620","T23S R4W, Sec. 12,     SW NW NE","PRODUCERS OIL CO.","Producers Oil Company","TETEN 'B' 13","15-155-21057","1498 KB","Dresser Atlas                 ","BHC Acoustic Fraclog Gamma Ray                                       ","3200","3890","113","Scanned","06/162/1985"
"1006117581","T23S R4W, Sec. 12,     SE NE NW","Producers Oil Co.","Grasslands Petroleum Company, Inc","Neufeldt 5","15-155-21036","1496 KB","Dresser Atlas                 ","BHC Acoustic Fraclog Gamma Ray                                       ","3200","3852","115","Scanned","02/50/1985"
"1046244887","T23S R4W, Sec. 14,   W2 SW SE NW","Blue Ridge Petroleum Corporation","BlueRidge Petroleum Corporation","MCMILLIAN 1-14","15-155-21744","1484 KB","Eli Wireline Services         ","Sonic Log                                                            ","200","3859","115","Scanned","03/73/2017"
"1051306151","T23S R4W, Sec. 2,   NE NW SE NE","Blue Ridge Petroleum Corp.","BlueRidge Petroleum Corporation","DEAN 1-2","15-155-21768","1471 KB","Eli Wireline Services         ","Sonic Log                                                            ","0","3865","115","Scanned","12/348/2019"
