KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1006115970","15-155-20067","-97.763003","38.0002964","1476","KB","Kansas City Group","2823","","","04/15/1999"
"1002939138","15-155-00149","-97.7373551","38.0347608","1472","DF","Lansing Group","2550","","","04/15/1999"
"1006072074","15-079-20490","-97.691696","38.0929979","1446","KB","Lansing Group","2509","","","04/15/1999"
"1001276309","15-155-02869","-97.7360362","37.9976186","1468","DF","Mississippian System","3280","","","04/15/1999"
"1001276314","15-155-02878","-97.7509243","37.99518","1471","DF","Mississippian System","3257","","","04/15/1999"
"1001276322","15-155-02885","-97.7509243","37.9933672","1470","DF","Mississippian System","3263","","","04/15/1999"
"1001276332","15-155-02887","-97.7417626","37.9987983","1471","DF","Simpson Group","3731","","","04/15/1999"
"1001276339","15-155-02899","-97.7509243","37.9879285","1470","DF","Simpson Group","3722","","","04/15/1999"
"1001276349","15-155-02889","-97.7532147","37.9915562","1471","DF","Kinderhookian Stage","3506","","","04/15/1999"
"1001276354","15-155-70740","-97.7682514","37.9870081","1481","KB","Mississippian System","3303","","","04/15/1999"
"1002939699","15-155-30153","-97.7693938","37.9879126","1477","KB","Kansas City Group","2811","","","04/15/1999"
"1002939786","15-155-30225","-97.7762441","37.9716047","1473","KB","Mississippian System","3290","","","04/15/1999"
"1001276373","15-155-70794","-97.764142","37.9725248","1476","KB","Mississippian System","3293","","","04/15/1999"
"1001276385","15-155-02921","-97.7636215","37.9725253","1472","DF","Mississippian System","3301","","","04/15/1999"
"1001276390","15-155-02910","-97.7613441","37.9779905","1472","DF","Simpson Group","3769","","","04/15/1999"
"1001276398","15-155-02926","-97.7451969","37.9761184","1468","DF","Mississippian System","3319","","","04/15/1999"
"1001276407","15-155-02938","-97.7543479","37.9688571","1469","DF","Lansing Group","2590","","","04/15/1999"
"1002939619","15-155-30018","-97.7497717","37.9697445","1468","KB","Kansas City Group","3024","","","04/15/1999"
"1001276416","15-155-70851","-97.7727767","37.9652012","1474","KB","Mississippian System","3293","","","04/15/1999"
"1001276423","15-155-02944","-97.7647664","37.962502","1468","DF","Mississippian System","3310","","","04/15/1999"
"1001276434","15-155-70821","-97.7570254","37.9672486","1471","KB","Lansing Group","2603","","","04/15/1999"
"1001276444","15-155-02960","-97.7830892","37.9588503","1468","DF","Mississippian System","3295","","","04/15/1999"
"1001276450","15-155-02962","-97.7853787","37.9588503","1469","DF","Lansing Group","2620","","","04/15/1999"
"1001276459","15-155-02957","-97.7923582","37.9606633","1473","DF","Lansing Group","2605","","","04/15/1999"
"1001276464","15-155-02974","-97.7796684","37.9651955","1478","DF","Mississippian System","3298","","","04/15/1999"
"1001276473","15-155-02984","-97.7946478","37.9606409","1472","DF","Mississippian System","3326","","","04/15/1999"
"1001276482","15-155-70911","-97.8014355","37.9475853","1469","DF","Kinderhookian Stage","3548","","","04/15/1999"
"1001276489","15-155-03019","-97.8002829","37.9559163","1472","DF","Mississippian System","3342","","","04/15/1999"
"1001276499","15-155-02995","-97.8085356","37.9476851","1474","DF","Mississippian System","3330","","","04/15/1999"
"1001276508","15-155-02998","-97.7968742","37.949406","1469","DF","Mississippian System","3324","","","04/15/1999"
"1002939698","15-155-30152","-97.7761797","37.951324","1467","KB","Mississippian System","3321","","","04/15/1999"
"1031431923","15-155-19034","-97.7850932","37.9534116","1468","DF","Mississippian System","3320","","","04/15/1999"
"1002939659","15-155-30111","-97.7739456","37.9540546","1467","KB","Cherokee Group","3176","","","04/15/1999"
"1001276537","15-155-03053","-97.8036507","37.9348834","1478","DF","Fort Riley Limestone Member","870","","","04/15/1999"
"1001276546","15-155-03045","-97.8040033","37.9403182","1473","DF","Lansing Group","2681","","","04/15/1999"
"1001276575","15-155-01995","-97.8125034","37.9430195","1480","DF","Mississippian System","3342","","","04/15/1999"
"1001276578","15-155-03063","-97.8182468","37.9347793","1489","DF","Mississippian System","3357","","","04/15/1999"
"1001276580","15-155-03062","-97.8125362","37.9330425","1485","DF","Viola Limestone Formation","3797","","","04/15/1999"
"1001275389","15-155-03110","-97.7083617","38.0920741","1445","DF","Mississippian System","3233","","","04/15/1999"
"1001275396","15-155-36186","-97.7117734","38.087525","1451","DF","Mississippian System","3225","","","04/15/1999"
"1006117491","15-155-20984","-97.713224","38.0639585","1495","KB","Mississippian System","3271","","","04/15/1999"
"1006117517","15-155-20997","-97.712098","37.9987798","1460","GL","Mississippian System","3309","","","04/15/1999"
"1006117630","15-155-21062","-97.7119514","38.0730672","1497","KB","Kinderhookian Stage","3530","","","04/15/1999"
"1006117668","15-155-21082","-97.7084529","38.0439634","1472","KB","Mississippian System","3253","","Completion Form","11/22/2021"
"1006117698","15-155-21097","-97.7084481","38.0421654","1470","KB","Cherokee Group","3114","","","04/15/1999"
"1044172575","15-155-21603","-97.7556255","37.9770551","1487","KB","Lansing","2597","","Completion Form","08/11/2022"
"1044172575","15-155-21603","-97.7556255","37.9770551","1487","KB","Mississippian","3296","","Completion Form","08/11/2022"
"1044172575","15-155-21603","-97.7556255","37.9770551","1487","KB","Kinderhook","3551","","Completion Form","08/11/2022"
"1044172575","15-155-21603","-97.7556255","37.9770551","1487","KB","Viola","3762","","Completion Form","08/11/2022"
"1044172575","15-155-21603","-97.7556255","37.9770551","1487","KB","Simpson","3776","","Completion Form","08/11/2022"
"1044582939","15-155-21664","-97.7533714","37.9752775","1474","KB","Lansing","2597","","Completion Form","08/11/2022"
"1044582939","15-155-21664","-97.7533714","37.9752775","1474","KB","Mississippian","3303","","Completion Form","08/11/2022"
"1044582939","15-155-21664","-97.7533714","37.9752775","1474","KB","Hunton","3660","","Completion Form","08/11/2022"
"1044582939","15-155-21664","-97.7533714","37.9752775","1474","KB","Viola","3768","","Completion Form","08/11/2022"
"1044582939","15-155-21664","-97.7533714","37.9752775","1474","KB","Simpson","3788","","Completion Form","08/11/2022"
"1052050582","15-155-21782","-97.707642","38.0710002","1502","KB","Arbuckle","3868","","Completion Form","02/22/2022"
"1052050583","15-155-21783","-97.7051214","38.0603999","1493","KB","Brown Lime","2533","","Completion Form","02/22/2022"
"1052050583","15-155-21783","-97.7051214","38.0603999","1493","KB","Lansing-Kansas City","2564","3015","Completion Form","02/22/2022"
"1052050583","15-155-21783","-97.7051214","38.0603999","1493","KB","Mississippian Limestone","3293","","Completion Form","02/22/2022"
"1006115944","15-155-20054","-97.7647841","37.9969846","1477","KB","Tarkio Lime","1698","","Drillers log","02/16/2022"
"1036118218","15-155-20009","-97.7670861","37.9933551","1482","KB","Lansing Mississippi","3306","","Drillers log","02/11/2022"
"1006116062","15-155-20114","-97.8037704","37.9931226","1491","KB","Cherokee Group","3244","","","04/15/1999"
"1006116132","15-155-20151","-97.7737806","37.9716105","1474","KB","Kansas City Group","3104","","","04/15/1999"
"1006116521","15-155-20381","-97.7888294","37.976085","1481","KB","Kansas City Group","2832","","","04/15/1999"
"1006117176","15-155-20814","-97.7140726","38.08842","1456","KB","Kinderhookian Stage","3469","","","04/15/1999"
"1006117400","15-155-20937","-97.7486614","38.0021225","1475","KB","Cherokee Group","3178","","","04/15/1999"
"1052116670","15-155-21024-0002","-97.7717409","37.9984784","1478","KB","Mississippi","3316","","Completion Form","02/11/2022"
"1052116670","15-155-21024-0002","-97.7717409","37.9984784","1478","KB","Mississippi Osage","3355","","Completion Form","02/11/2022"
"1006115958","15-155-20061","-97.7601152","38.014678","1482","KB","Osagean Stage","3357","","","04/15/1999"
"1006116019","15-155-20093","-97.7488131","38.0292404","1478","KB","Kansas City Group","3016","","","04/15/1999"
"1006116215","15-155-20194","-97.73964","38.03843","1475","KB","Cherokee Group","3139","","","04/15/1999"
"1006116523","15-155-20382","-97.7888372","37.9724592","1481","KB","Cherokee Group","3214","","","04/15/1999"
"1006116978","15-155-20697","-97.7761961","37.9942485","1480","KB","Mississippian System","3320","","","04/15/1999"
"1006117306","15-155-20890","-97.7647704","37.9588762","1473","KB","Osagean Stage","3347","","","04/15/1999"
"1006117362","15-155-20918","-97.7360366","37.9879221","1470","KB","Osagean Stage","3357","","","04/15/1999"
"1006118205","15-155-21367","-97.7337453","37.9947184","1468","KB","Mississippian System","3275","","","04/15/1999"
"1001275385","15-155-03109","-97.7118191","38.0947761","1447","DF","Mississippian System","3251","","","04/15/1999"
"1001275787","15-155-02543","-97.7304924","38.0493014","1473","DF","Mississippian System","3258","","","04/15/1999"
"1001275934","15-155-02683","-97.7463534","38.0003134","1473","DF","Mississippian System","3250","","","04/15/1999"
"1001276397","15-155-02925","-97.7497768","37.9725078","1467","DF","Mississippian System","3312","","","04/15/1999"
"1002939784","15-155-30224","-97.776236","37.9661019","1470","KB","Simpson Group","3757","","","04/15/1999"
"1006071630","15-079-20225","-97.6847863","38.0586435","1471","KB","Mississippian System","3275","","","04/15/1999"
"1001238952","15-079-00455","-97.6824915","38.0731564","1491","KB","Mississippian System","3292","","","04/15/1999"
"1002920620","15-079-00017","-97.6732549","38.0531855","1464","KB","Mississippian System","3258","","","04/15/1999"
"1001276407","15-155-02938","-97.7543479","37.9688571","1469","DF","Mississippian System","3308","","","04/15/1999"
"1002939619","15-155-30018","-97.7497717","37.9697445","1468","KB","Cherokee Group","3194","","","04/15/1999"
"1002939781","15-155-30223","-97.7739519","37.9697933","1474","KB","Mississippian System","3287","","","04/15/1999"
"1001276424","15-155-02945","-97.7739265","37.9606661","1475","DF","Mississippian System","3311","","","04/15/1999"
"1001276437","15-155-02981","-97.7853903","37.964289","1470","DF","Mississippian System","3293","","","04/15/1999"
"1001276445","15-155-02979","-97.7762244","37.9606632","1476","DF","Mississippian System","3303","","","04/15/1999"
"1001276450","15-155-02962","-97.7853787","37.9588503","1469","DF","Mississippian System","3306","","","04/15/1999"
"1001276456","15-155-02956","-97.7888188","37.9615697","1473","DF","Mississippian System","3309","","","04/15/1999"
"1001276467","15-155-02372","-97.7922589","37.964289","1474","KB","Lansing Group","2640","","","04/15/1999"
"1044580873","15-155-37976","-97.7997125","37.9624649","1478","KB","Mississippian System","3320","","","04/15/1999"
"1002939564","15-155-03192","-97.7992269","37.9641774","1477","KB","Lansing Group","2608","","","04/15/1999"
"1001276492","15-155-03004","-97.7945793","37.9524842","1471","DF","Mississippian System","3323","","","04/15/1999"
"1001276505","15-155-03020","-97.7969247","37.9548447","1470","DF","Mississippian System","3328","","","04/15/1999"
"1001276513","15-155-02329","-97.7903687","37.9514504","1472","DF","Lansing Group","2618","","","04/15/1999"
"1001276523","15-155-03030","-97.7898873","37.9476192","1468","DF","Mississippian System","3334","","","04/15/1999"
"1001276531","15-155-03033","-97.7875618","37.9495249","1467","DF","Mississippian System","3337","","","04/15/1999"
"1001276537","15-155-03053","-97.8036507","37.9348834","1478","DF","Lansing Group","2660","","","04/15/1999"
"1001276543","15-155-03052","-97.8059355","37.9330666","1483","DF","Mississippian System","3356","","","04/15/1999"
"1002939077","15-155-00093","-97.8171809","37.9589009","1476","DF","Mississippian System","3339","","","04/15/1999"
"1002939663","15-155-30115","-97.8125415","37.9466448","1482","KB","Kansas City Group","3072","","","04/15/1999"
"1001276577","15-155-19025","-97.812513","37.9439258","1486","KB","Mississippian System","3337","","","04/15/1999"
"1002939714","15-155-30170","-97.8124902","37.9402948","1483","KB","Osagean Stage","3350","","","04/15/1999"
"1006072350","15-079-20646","-97.6851269","38.0331983","1459","KB","Arbuckle Group","3878","","","04/15/1999"
"1006072350","15-079-20646","-97.6851269","38.0331983","1459","KB","Pawnee Limestone Formation","3068","","","04/15/1999"
