KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1001275748","15-155-02804","J. H. TETEN","1","TRANSWESTERN OIL CO","","Burrton","23","S","4","W","12"," "," ","NW","NW","SE","2310","-2310","SE","-97.7096953","38.0639877","Reno","","09/30/1937","10/16/1937","12/16/1970","OIL-P&A","Plugged and Abandoned","3410","1486","DF"," "
"1001275752","15-155-02800","MONTFORD 'A'","2","H. F. WILCOX OIL & GAS COMPANY","","Burrton","23","S","4","W","12"," "," ","SW","NW","SW","1650","-4950","SE","-97.7188719","38.0620988","Reno","","05/16/1937","06/09/1937","06/14/1951","OIL-P&A","Plugged and Abandoned","3424","1496","DF"," "
"1001275753","15-155-02797","F. F. NEUFELD 'A' ","1","H F WILCOX OIL","Kantor Oil Company, LLC","Burrton","23","S","4","W","12"," "," ","NW","SE","NW","3630","-3630","SE","-97.7143","38.06768","Reno","","11/26/1936","12/23/1936","12/02/2015","OIL-P&A","Plugged and Abandoned","3416","1491","DF"," "
"1001275756","15-155-02519","SABIN","1","COLORADO SYNDICATE","Howell Oil Company, Inc.","Burrton","23","S","4","W","13"," "," ","NE","NE","NW","4950","-2970","SE","-97.7119969","38.0566358","Reno","","06/29/1938","08/18/1938","09/29/1997","OIL-P&A","Plugged and Abandoned","3425","1481","DF"," "
"1001275388","15-155-03117","SIEMENS","2","MCBRIDE W C","","Burrton","22","S","4","W","36"," "," ","NE","SE","SE","990","-330","SE","-97.7026109","38.0893835","Reno","","08/08/1936","08/11/1936","11/20/1936","D&A","Plugged and Abandoned","3700","1455","DF"," "
"1001275762","15-155-02516","SABIN 'B'","2","OLSON OIL CO.","","Burrton","23","S","4","W","13"," "," "," ","SW","SW","660","-4620","SE","-97.7176289","38.0448245","Reno","","08/02/1934","10/18/1934","11/11/1943","GAS-P&A","Plugged and Abandoned","3404","1469","DF"," "
"1001275771","15-155-02528","DOWNIE","2","OLSON OIL","","Burrton","23","S","4","W","14"," "," ","SW","SE","NE","2970","-990","SE","-97.7236139","38.0511427","Reno","","10/28/1934","11/27/1934","12/10/1940","OIL-P&A","Plugged and Abandoned","3604","1472","DF"," "
"1001275782","15-155-02525","ACKLEY","2","DERBY OIL CO.","","Burrton","23","S","4","W","14"," "," ","NW","NW","SE","2310","-2310","SE","-97.7282002","38.0493109","Reno","","10/29/1934","01/02/1935","08/09/1946","OIL-P&A","Plugged and Abandoned","3597","1472","DF"," "
"1001275785","15-155-02538","HARNER","3","Sinclair Prairie Oil Co.","Kahan and Associates, Inc","Burrton","23","S","4","W","14"," "," ","SE","NE","SW","1650","-2970","SE","-97.7304943","38.0474885","Reno","","03/02/1935","04/06/1935","","OIL","Producing","3599","1472","DF"," "
"1001275787","15-155-02543","HARNER","1","Sinclair Prairie Oil Co.","","Burrton","23","S","4","W","14"," "," ","NE","NE","SW","2310","-2970","SE","-97.7304924","38.0493014","Reno","","11/30/1934","01/12/1935","08/01/1944","OIL-P&A","Plugged and Abandoned","3614","1473","DF"," "
"1001275789","15-155-02534","Downie","8","Olson Oil","","Burrton","23","S","4","W","14"," "," ","NE","NE","NE","","","","-97.7213219","38.0566387","Reno","","01/21/1935","03/08/1935","","OIL","Well Drilled","3619","1483","DF"," "
"1001275793","15-155-36833","ACKLEY","2-W","DERBY OIL CO.","","Burrton","23","S","4","W","14"," ","NW","SE","SW","SE","440","-1765","SE","-97.7263127","38.0441823","Reno","","07/07/1935","08/01/1935","","SWD"," ","475","",""," "
"1001275809","15-155-02553","BLAKE","4","OLSON & SHELL OIL","Kahan and Associates, Inc","Burrton","23","S","4","W","23"," "," ","SW","SE","SW","330","1650","SW","-97.7327714","38.0293375","Reno","","12/08/1934","02/08/1935","","OIL","Producing","3608","1471","DF"," "
"1001275810","15-155-02548","WILSON","4","AMERADA PETROLEUM CORP","","Burrton","23","S","4","W","23"," "," ","NE","NW","SW","2310","-4290","SE","-97.7350634","38.0347684","Reno","","02/21/1935","03/24/1935","05/03/1952","OIL-P&A","Plugged and Abandoned","3619","1471","DF"," "
"1001275769","15-155-02539","HARNER","3","Olson Oil and Shell Petroleum Corp.","","Burrton","23","S","4","W","14"," "," ","SE","NE","NW","4290","-2970","SE","-97.7304868","38.05474","Reno","","03/12/1935","04/24/1935","09/06/1940","OIL-P&A","Plugged and Abandoned","3620","1490","DF"," "
"1043953372","15-155-21575","Dole 'A'","1","Howell Oil Company, Inc.","Howell Oil Company, Inc.","Burrton","23","S","4","W","13"," "," ","NE","NW","SE","2310","-1650","SE","-97.7073522","38.0494074","Reno","08/02/2011","","","","LOC","Expired Intent to Drill (C-1)","","1466","GL","Arbuckle, Mississippi, Simpson"
"1044863934","15-079-20705","Pizinger","7","Howell Oil Company, Inc.","Howell Oil Company, Inc.","Burrton","23","S","3","W","18"," ","W2","SE","NE","NW","-990","2210","NW","-97.6939915","38.0550025","Harvey","06/30/2014","07/23/2014","09/02/2014","","OIL","Producing","3950","1478","KB","Mississippi"
"1006116303","15-155-20241","REGIER","1","TGT PETROLEUM CORP","TGT Petroleum Corporation","Burrton","23","S","4","W","22"," "," ","SE","SE","NW","2970","-2970","SE","-97.7488586","38.0364915","Reno","","11/12/1974","11/18/1974","11/18/1974","D&A","Plugged and Abandoned","3377","1479","KB"," "
