"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1043801552","F6507","3200","3960"
"1006124597","A4502","3400","3900"
"1001289183","08839","3770","3898"
"1001289192","18904","3200","3813"
"1001289193","16455","3200","3847"
"1036872613","15097","3200","3600"
"1002942287","09992","3100","3699"
"1002941435","29412","3300","3708"
"1006129448","66147","3000","3450"
"1002914213","29271","3800","3955"
"1001231527","44023","3800","3893"
"1037345252","23174","3900","4300"
"1031512500","44107","3500","3828"
"1001231550","50972","3300","3828"
"1041462488","08770","3750","3818"
"1006062370","C7156","3250","3900"
"1001231542","40174","800","3834"
"1001231545","40175","3200","3805"
"1001231536","F3598","3200","3900"
"1002914080","03824","3060","3843"
"1001231546","10485","1740","3881"
"1001231541","55059","3250","3911"
"1037349133","55058","3250","3799"
"1001231750","11031","3250","3750"
"1001231556","55058","3250","3903"
"1005729961","55062","3250","3800"
"1036281326","46794","3200","3852"
"1036281543","46941","3200","3905"
"1006596824","46958","3440","3824"
"1001231574","46994","3200","3865"
"1001231578","40189","3000","3860"
"1001231579","40172","2800","3852"
"1001231581","39846","3000","3830"
"1001231584","10634","3450","3635"
"1001231561","39956","3300","3826"
"1001231562","39768","3000","3870"
"1001231563","39824","3200","3847"
"1001231564","39956","3775","3942"
"1001231565","39851","3200","3835"
"1001231608","10657","3200","3855"
"1001231610","12459","3200","3854"
"1031315001","31804","3750","3855"
"1002915110","28954","3850","3876"
"1002914320","00146","3200","3939"
"1006060497","G1369","3400","4010"
"1001231618","12289","3300","3917"
"1001231620","08930","3250","3975"
"1002914235","39098","3200","3832"
"1001231622","09527","3200","3860"
"1001231612","08888","3300","3885"
"1002914839","39035","3000","3920"
"1002915091","09555","3200","3600"
"1001231649","66554","3300","3893"
"1001231657","66484","3742","3884"
"1001231651","66553","3087","3845"
"1002915050","46932","3650","3841"
"1001231654","A7299","110","2050"
"1001231654","E3803","2510","3820"
"1001231672","46928","3440","3724"
"1001231658","46898","3200","3853"
"1001231666","46933","3200","3826"
"1001231676","66304","3250","3851"
"1001231678","66323","3300","3780"
"1036548286","44162","3250","3826"
