KID,LASFILE
"1033764447","1043562756.las"
"1038699885","1043562988.las"
"1032491890","1043804626.las"
"1042438772","1044242090.las"
"1043453310","1044243599.las"
"1044003897","1044798839.las"
"1044003897","1044798297.las"
"1044026269","1044907811.las"
"1044178618","1044859400.las"
"1044183870","1044916215.las"
"1044565435","1045052901.las"
"1045038307","1046114200.las"
"1044880131","1045637749.las"
"1044877510","1045637768.las"
"1034969802","1043562793.las"
"1039145894","1043924733.las"
"1039253729","1043939258.las"
"1041874372","1043960058.las"
"1041104256","1044099827.las"
"1044099706","1044816659.las"
"1042438772","1044242085.las"
"1043950637","1044782652.las"
"1044178618","1044859383.las"
"1044099706","1044817445.las"
"1043982904","1044741231.las"
"1043982904","1044967058.las"
"1044223918","1045052325.las"
"1044774407","1045638195.las"
"1044778700","1045650176.las"
"1044245204","1045078934.las"
"1046791103","1051680472.las"
"1044155529","1044859477.las"
"1038338221","1044095000.las"
"1038705028","1044095035.las"
"1044236048","1045019118.las"
"1044236047","1045027106.las"
"1044578544","1045041722.las"
"1044155530","1044937556.las"
"1044581238","1045086590.las"
"1044595772","1045099274.las"
"1052044983","1053580129.las"
"1052044983","1053579987.las"
