KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1002914980","T10S R21W, Sec. 6,     NW NW NE","DEEP ROCK OIL","","BEECHER 1","15-065-01021","2298 GL","Strip/Sample Logs","Kansas Sample Log Service","3250","3882","","Scanned","09/267/1951"
"1002914698","T9S R21W, Sec. 29,     SW NE SE","K & E DRILLING CO","","FORD 1","15-065-00744","2353 KB","Strip/Sample Logs","Kansas Sample Log Service","3200","3956","","Scanned","01/23/1955"
"1002914114","T9S R21W, Sec. 32,     NW NW NW","Jones, Shelburne, and Farmer, Inc.","","EICHMAN 1","15-065-00196","2319 KB","Strip/Sample Logs","Kansas Sample Log Service","3200","3987","","Scanned","05/143/1951"
"1002914159","T9S R21W, Sec. 33,     NW SW SE","ANSCHUTZ DRILLING CO. & BROOKS HALL","","HOUSTON 1","15-065-00241","2305 KB","Strip/Sample Logs","Kansas Sample Log Service","3110","3969","","Scanned","10/293/1951"
"1002941317","T10S R20W, Sec. 7,     SE SE NW","John O. Farmer, Inc.","","HOLMES 1","15-163-00295","2267 KB","Strip/Sample Logs","Kansas Sample Log Service","3200","3864","","Scanned","10/289/1951"
"1043982904","T10S R21W, Sec. 2,     NW NW SW","Raney Oil Co., LLC","Gore Oil Company","Vera White 9","15-065-23778","2288 KB","Perforators LLC","Radiation Guard","3100","3837","114","Scanned","10/294/2011"
"1043982904","T10S R21W, Sec. 2,     NW NW SW","Raney Oil Co., LLC","Gore Oil Company","Vera White 9","15-065-23778","2288 KB","Perforators LLC","Radiation Guard","3100","3837","114","Scanned","10/294/2011"
"1044003897","T10S R21W, Sec. 10,   SE NW SE NW","Habit Petroleum, LLC","Gore Oil Company","Bartos 12","15-065-23782","2261 KB","Perforators LLC","Radiation Guard","3100","3847","114","Scanned","10/303/2011"
"1043982904","T10S R21W, Sec. 2,     NW NW SW","Raney Oil Co., LLC","Gore Oil Company","Vera White 9","15-065-23778","2288 KB","Perforators LLC","Computer Generated Interpretation","2900","3800","","Scanned","10/294/2011"
"1006060476","T10S R21W, Sec. 9,     NE SW SW","PETROLEUM INC","","GRECIAN 'B' 1","15-065-21443","2217 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","285","3840","120","Unscanned","06/169/1981"
"1006059528","T10S R21W, Sec. 4,     S2 NW SW","PETROLEUM","","TOWNS 'C' 1","15-065-20916","2304 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","0","3881","121","Unscanned","03/88/1977"
"1006125777","T10S R20W, Sec. 30,     SE SW NW","PETROLEUM INC.","","Teall 3","15-163-21321","2129 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","100","3773","112","Unscanned","05/147/1981"
"1026089850","T10S R21W, Sec. 4,     SE SW NW","WESTGATE GREENLAND","V & F Oil Company, a General Partnership","RUDMAN 'B' 1","15-065-01146-0001","2305 DF","Dresser Atlas                 ","Gamma Ray Neutron                                                    ","900","1583","","Scanned","10/292/1980"
"1036040699","T10S R21W, Sec. 14,     SE SE NW","PEEL-HARDMAN","","DRISCOLL 2","15-065-19114","2215 KB","Dresser Atlas                 ","Gamma Ray Neutron                                                    ","2750","3771","","Unscanned","09/270/1972"
"1036284361","T10S R21W, Sec. 3,   N2 N2 N2 SE","Elysium Energy, L.L.C.","Citation Oil & Gas Corp.","MOREL 9","15-065-23274","2307 KB","Petcom","Dual Induction","0","3960","","Scanned",""
"1006062464","T9S R21W, Sec. 34,     SW SE SE","Western Kansas Exploration","Noble Energy, Inc.","DeSair 'B' 2","15-065-22567","2302 KB","Electra Log Inc.              ","Radiation Guard Log                                                  ","3800","3899","119","Unscanned","04/99/1990"
"1006062370","T10S R21W, Sec. 2,     NE NW SE","WESTERN KANSAS EXPL","Elysium Energy, L.L.C.","MCCLELLAN 9","15-065-22515","2286 KB","Electra Log Inc.              ","Radiation Guard Log                                                  ","1700","3819","119","Unscanned","04/115/1989"
"1006062413","T10S R21W, Sec. 2,   NW SW NW SE","WESTERN KANSAS EXPLORATION INC.","Elysium Energy, L.L.C.","MCCLELLAN 10","15-065-22538","2281 KB","Electra Log Inc.              ","Radiation Guard Log                                                  ","2000","3881","119","Unscanned","09/267/1989"
"1006062397","T10S R21W, Sec. 14,     SE SW SE","WESTERN KANSAS EXPLORATION","West X, Inc.","ACHESON 1","15-065-22529","2177 KB","Electra Log Inc.              ","Radiation Guard Log                                                  ","1534","3809","","Unscanned","07/199/1989"
"1041462488","T10S R21W, Sec. 2,   NE SE NE SE","CRUDE RECOVERY CORP.","Production Drilling, Inc.","MCCLELLAN 6","15-065-19201-0001","2283 KB","Electra Log Inc.              ","Sonic Cement Bond Log                                                ","500","972","","Unscanned","02/57/1986"
"1001290478","T10S R20W, Sec. 30,   SW NW SE NW","PETROLEUM INC","Herman L. Loeb, LLC","Teall 1","15-163-19052","2106 KB","Electra Log Inc.              ","Radiation Accurlog                                                   ","0","3676","108","Unscanned","09/273/1964"
"1006129448","T10S R20W, Sec. 30,     W2 SW NW","PETROLEUM INC.","","Teall 2","15-163-30007","2143 KB","Electra Log Inc.              ","Radiation Accurlog                                                   ","0","3749","108","Unscanned","10/302/1964"
"1006062885","T10S R21W, Sec. 25, C     SE NE","Petroleum, Inc.","","Mincks 1","15-065-30020","2167 KB","Electra Log Inc.              ","Gamma Ray Neutron                                                    ","0","3430","","Scanned","03/66/1965"
"1006129597","T10S R20W, Sec. 7,     SE SW NW","Petroleum, Inc.","","Tucker 'G' 1","15-163-30148","2250 KB","Electra Log Inc.              ","Gamma Ray","0","2870","","Unscanned","11/326/1965"
