KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1001228044","15-065-21466","-99.6875628","39.2205555","2302","KB","Stone Corral Formation","1770","","ACO-1/Driller's Log","12/27/2005"
"1001228044","15-065-21466","-99.6875628","39.2205555","2302","KB","Topeka Limestone Formation","3275","","ACO-1/Driller's Log","12/27/2005"
"1001228044","15-065-21466","-99.6875628","39.2205555","2302","KB","Leavenworth Limestone Member","3484","","ACO-1/Driller's Log","12/27/2005"
"1001228044","15-065-21466","-99.6875628","39.2205555","2302","KB","Dodge","3502","","ACO-1/Driller's Log","12/27/2005"
"1001228044","15-065-21466","-99.6875628","39.2205555","2302","KB","Lansing Group","3520","","ACO-1/Driller's Log","12/27/2005"
"1001228044","15-065-21466","-99.6875628","39.2205555","2302","KB","Marmaton Group","3748","","ACO-1/Driller's Log","12/27/2005"
"1001228044","15-065-21466","-99.6875628","39.2205555","2302","KB","Base Morrowan Member","","3810","ACO-1/Driller's Log","12/27/2005"
"1001228044","15-065-21466","-99.6875628","39.2205555","2302","KB","Arbuckle Group","3856","","ACO-1/Driller's Log","12/27/2005"
"1001228044","15-065-21466","-99.6875628","39.2205555","2302","KB","Simpson Group","3848","","ACO-1/Driller's Log","12/29/2005"
"1001228044","15-065-21466","-99.6875628","39.2205555","2302","KB","Heebner Shale Member","3480","","ACO-1/Driller's Log","12/27/2005"
"1001228044","15-065-21466","-99.6875628","39.2205555","2302","KB","Kansas City Group","","3748","ACO-1/Driller's Log","12/27/2005"
"1001229803","15-065-19341","-99.6433227","39.2280013","2301","KB","Arbuckle Group","3888","","ACO-1","04/15/1999"
"1001229803","15-065-19341","-99.6433227","39.2280013","2301","KB","Kansas City Group","3868","","ACO-1","04/15/1999"
"1001229803","15-065-19341","-99.6433227","39.2280013","2301","KB","Lansing Group","3561","","ACO-1","04/15/1999"
"1001229803","15-065-19341","-99.6433227","39.2280013","2301","KB","Marmaton Group","3824","","ACO-1","04/15/1999"
"1001229803","15-065-19341","-99.6433227","39.2280013","2301","KB","Stone Corral Formation","1945","","ACO-1","04/15/1999"
"1001229803","15-065-19341","-99.6433227","39.2280013","2301","KB","Topeka Limestone Formation","3293","","ACO-1","04/15/1999"
"1001229803","15-065-19341","-99.6433227","39.2280013","2301","KB","Toronto Limestone Member","3544","","ACO-1","04/15/1999"
"1001229803","15-065-19341","-99.6433227","39.2280013","2301","KB","Heebner Shale Member","3519","","ACO-1","04/15/1999"
"1001230841","15-065-03423","-99.6898929","39.2205421","2273","KB","Lansing Group","3490","","ACO-1","04/15/1999"
"1001230841","15-065-03423","-99.6898929","39.2205421","2273","KB","Arbuckle Group","3828","","ACO-1","04/15/1999"
"1001230841","15-065-03423","-99.6898929","39.2205421","2273","KB","Heebner Shale Member","3450","","ACO-1","04/15/1999"
"1001230841","15-065-03423","-99.6898929","39.2205421","2273","KB","Kansas City Group","3717","","ACO-1","04/15/1999"
"1001230804","15-065-02448","-99.6782941","39.2370082","2344","DF","Base Morrowan Member","","3869","ACO-1/Driller's Log","12/21/2005"
"1001230829","15-065-02570","-99.7108795","39.2223298","2313","KB","Heebner Shale Member","3514","","ACO-1/Driller's Log","12/27/2005"
"1001230829","15-065-02570","-99.7108795","39.2223298","2313","KB","Toronto Limestone Member","3534","","ACO-1/Driller's Log","12/27/2005"
"1001230829","15-065-02570","-99.7108795","39.2223298","2313","KB","Kansas City Group","3552","3781","ACO-1/Driller's Log","12/27/2005"
"1001230829","15-065-02570","-99.7108795","39.2223298","2313","KB","Base Morrowan Member","","3892","ACO-1/Driller's Log","12/27/2005"
"1001230834","15-065-02404","-99.6969587","39.2277522","2306","KB","Lansing Group","3546","","ACO-1","04/15/1999"
"1001230838","15-065-02509","-99.680648","39.2278459","2344","DF","Arbuckle Group","3932","","ACO-1","04/15/1999"
"1001230838","15-065-02509","-99.680648","39.2278459","2344","DF","Lansing Group","3775","","ACO-1","12/27/2005"
"1001230838","15-065-02509","-99.680648","39.2278459","2344","DF","Stone Corral Formation","1817","","ACO-1","04/15/1999"
"1001230838","15-065-02509","-99.680648","39.2278459","2344","DF","Heebner Shale Member","3535","","ACO-1","04/15/1999"
"1001230841","15-065-03423","-99.6898929","39.2205421","2273","KB","Stone Corral Formation","1753","","ACO-1","04/15/1999"
"1001230841","15-065-03423","-99.6898929","39.2205421","2273","KB","Simpson Group","3811","","ACO-1","04/15/1999"
"1001230804","15-065-02448","-99.6782941","39.2370082","2344","DF","Heebner Shale Member","3539","","ACO-1","04/15/1999"
"1001230804","15-065-02448","-99.6782941","39.2370082","2344","DF","Lansing Group","3579","","ACO-1","04/15/1999"
"1001230804","15-065-02448","-99.6782941","39.2370082","2344","DF","Toronto Limestone Member","3564","","ACO-1","04/15/1999"
"1001230809","15-065-02449","-99.6677947","39.235247","2326","DF","Heebner Shale Member","3523","","ACO-1","04/15/1999"
"1001230809","15-065-02449","-99.6677947","39.235247","2326","DF","Lansing Group","3564","","ACO-1","04/15/1999"
"1001230809","15-065-02449","-99.6677947","39.235247","2326","DF","Toronto Limestone Member","3546","","ACO-1","04/15/1999"
"1001230804","15-065-02448","-99.6782941","39.2370082","2344","DF","Arbuckle Group","3941","","ACO-1","04/15/1999"
"1001230809","15-065-02449","-99.6677947","39.235247","2326","DF","Kansas City Group","","3788","ACO-1","12/28/2005"
"1001230804","15-065-02448","-99.6782941","39.2370082","2344","DF","Kansas City Group","","3808","ACO-1","12/21/2005"
"1001230834","15-065-02404","-99.6969587","39.2277522","2306","KB","Heebner Shale Member","3504","","ACO-1","04/15/1999"
"1001230809","15-065-02449","-99.6677947","39.235247","2326","DF","Base Morrowan Member","","3855","ACO-1/Driller's Log","12/21/2005"
"1001230834","15-065-02404","-99.6969587","39.2277522","2306","KB","Kansas City Group","","3769","ACO-1/Driller's Log","12/27/2005"
"1001230834","15-065-02404","-99.6969587","39.2277522","2306","KB","Base Morrowan Member","","3894","ACO-1/Driller's Log","12/27/2005"
"1001230838","15-065-02509","-99.680648","39.2278459","2344","DF","Toronto Limestone Member","3539","","ACO-1","04/15/1999"
"1001230838","15-065-02509","-99.680648","39.2278459","2344","DF","Dodge","3559","","ACO-1/Driller's Log","12/27/2005"
"1001230840","15-065-03424","-99.6945531","39.2205153","2305","KB","Arbuckle Group","3885","","ACO-1","04/15/1999"
"1001230840","15-065-03424","-99.6945531","39.2205153","2305","KB","Kansas City Group","3756","","ACO-1","04/15/1999"
"1001230840","15-065-03424","-99.6945531","39.2205153","2305","KB","Stone Corral Formation","1779","","ACO-1","04/15/1999"
"1001230840","15-065-03424","-99.6945531","39.2205153","2305","KB","Simpson Group","3869","","ACO-1","04/15/1999"
"1001230840","15-065-03424","-99.6945531","39.2205153","2305","KB","Lansing Group","3527","","ACO-1","04/15/1999"
"1001230840","15-065-03424","-99.6945531","39.2205153","2305","KB","Simpson Group","3867","","ACO-1/Driller's Log","12/27/2005"
"1001230840","15-065-03424","-99.6945531","39.2205153","2305","KB","Arbuckle Group","3883","","ACO-1/Driller's Log","12/27/2005"
