KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1043801552","15-065-23738","DeYoung","7","Tengasco, Inc.","Trans Pacific Oil Corporation","Cooper","10","S","21","W","4"," ","S2","NW","NW","NE","-566","-2310","NE","-99.6689821","39.2181841","Graham","05/16/2011","07/20/2011","08/04/2011","","OIL","Producing","3960","2308","KB","Arbuckle"
"1006061459","15-065-22004","ACHESON","10","John O. Farmer, Inc.","Farmer, John O., Inc.","Cooper","10","S","21","W","14"," "," ","NE","SE","NE","-1650","-333","NE","-99.6245843","39.1863552","Graham","06/06/1984","06/19/1984","06/26/1984","","EOR","Converted to SWD Well","3940","2268","KB","Lansing Kansas City"
"1001230863","15-065-01505","BRAGG","3","FRANCIS OIL & GAS CO","Great Eastern Energy & Dev. Corp.","Cooper","9","S","21","W","33"," "," ","E2","SW","NE","3300","-1650","SE","-99.6666344","39.2288117","Graham","","09/22/1954","10/01/1954","09/04/2003","OIL-P&A","Plugged and Abandoned","3858","2308","KB"," "
"1001229803","15-065-19341","BLAZIER","1","YOCKEY OIL CO","","Cooper","9","S","21","W","34","C"," ","SE","SE","NE","2970","-330","SE","-99.6433227","39.2280013","Graham","","04/26/1959","08/12/1987","","D&A"," ","3902","2301","KB"," "
"1031431219","15-065-22992","Allphin","3","Shelby Resources LLC","Pickrell Drilling Company, Inc.","Cooper","9","S","21","W","33"," ","NW","NE","SW","SW","1235","-4579","SE","-99.6769879","39.2230978","Graham","06/28/2004","09/22/2004","10/05/2004","","OIL","Producing","3974","2333","KB","Arbuckle"
"1002915073","15-065-01118","COX","5","EL DORADO REFINING COMPANY","","Cooper","9","S","21","W","33"," "," ","NW","NW","NW","4950","-4950","SE","-99.6782761","39.2332958","Graham","","05/12/1956","05/19/1956","05/23/1963","OIL-P&A","Plugged and Abandoned","3903","2335","KB"," "
"1002914235","15-065-00313","Smith","1","WESTGATE-GREENLAND OIL CO","","Cooper","10","S","21","W","5"," "," ","NE","NE","NW","-330","-2970","NE","-99.6898841","39.2187294","Graham","","03/15/1950","04/03/1950","","OIL","Recompleted","3822","2258","KB"," "
"1002914711","15-065-00757","BASS 'B'","1","Dane G. Hansen Trust","Hansen, Dane G. - Trust","Cooper","10","S","21","W","12"," "," ","SE","NW","NE","4290","-1650","SE","-99.6108493","39.2026279","Graham","","03/31/1955","04/10/1955","04/10/1955","D&A","Plugged and Abandoned","3806","2203","KB"," "
"1031881143","15-065-23015","DEYOUNG","5","Tengasco, Inc.","Trans Pacific Oil Corporation","Cooper","10","S","21","W","4"," "," ","NW","NE","NE","-330","-990","NE","-99.6643224","39.2188514","Graham","10/20/2004","02/02/2005","02/09/2005","","OIL","Producing","3910","2283","KB","Arbuckle"
"1001231574","15-065-01680","MILLER","11","ANDERSON-PRICHARD OIL","","Cooper","10","S","21","W","3"," "," ","NE","NW","SW","2310","-4290","SE","-99.657275","39.21162","Graham","","04/17/1953","04/27/1953","12/27/1973","OIL-P&A","Plugged and Abandoned","3865","2295","KB"," "
"1031996969","15-065-23031","CINDY & SUZANNE","1-13","American Warrior, Inc.","American Warrior, Inc.","Cooper","10","S","21","W","13"," "," "," ","N2","NW","-570","1430","NW","-99.6183746","39.1893047","Graham","01/11/2005","03/30/2005","04/21/2005","","OIL","Producing","3925","2287","KB","Arbuckle"
"1003082415","15-065-22741","RUSS","1","N B CO INC","N-B Company, Inc.","Cooper","10","S","21","W","6"," "," ","NW","NE","NW","4950","-3630","SE","-99.7108366","39.2186401","Graham","05/16/1994","","11/21/1994","","LOC","Expired Intent to Drill (C-1)","","2290","GL"," "
"1001231835","15-065-01773","Herrold","1","Anderson-Prichard Oil Co.","","Cooper","10","S","21","W","25"," "," ","SW","SW","NW","2939","-5115","SE","-99.6228874","39.1551975","Graham","","06/23/1952","07/11/1952","","OIL","Converted to SWD Well","3736","2148","KB"," "
"1006059945","15-065-21145","GRECIAN","1","F & M OIL","","Cooper","10","S","21","W","9"," "," ","W2","NE","SE","1980","-990","SE","-99.6643059","39.1962174","Graham","07/17/1979","11/16/1979","11/24/1979","11/24/1979","D&A","Plugged and Abandoned","3895","2286","KB"," "
"1001228044","15-065-21466","EARLY","1","DEEP ROCK OIL CORP.","","Cooper","9","S","21","W","32"," "," ","SW","SW","SE","330","-2310","SE","-99.6875628","39.2205555","Graham","","06/07/1950","08/23/1950","05/18/1960","OIL-P&A","Plugged and Abandoned","3860","2302","KB"," "
"1025715277","15-065-21466-0001","WIDENER","1","F & J OIL CO","Hrbek, R.L.","Cooper","9","S","21","W","32"," "," ","SW","SW","SE","330","-2310","SE","-99.6875628","39.2205555","Graham","08/05/1981","02/04/1982","02/05/1982","04/18/2001","OIL-P&A","Plugged and Abandoned","3860","2302","KB"," "
"1001231631","15-065-01127-0001","GERMANY","2","CENTURY OIL OF KANSAS, INC.","","Cooper","10","S","21","W","6"," "," ","SE","NE","NE","4290","-330","SE","-99.699177","39.216954","Graham","12/28/1977","12/21/1977","03/02/1978","04/26/2001","OIL-P&A","KCC Fee Fund Plugging","3890","2314","KB"," "
"1036281267","15-065-01004-0001","MILLER","9","JOHN B COLLINS","Raney Oil Company, LLC","Cooper","10","S","21","W","3"," "," ","SE","SW","SW","330","-4290","SE","-99.6572521","39.206182","Graham","07/20/1984","07/11/1984","07/30/1984","12/01/1973","OIL","Recompleted","3905","2242","KB"," "
"1032576850","15-065-23056","Rudman","1","John O. Farmer, Inc.","Farmer, John O., Inc.","Cooper","10","S","21","W","5"," "," ","SW","NW","SE","1775","-2275","SE","-99.6874286","39.2100861","Graham","04/14/2005","04/22/2005","07/12/2005","","OIL","Producing","3932","2273","KB","Arbuckle, Lansing Kansas City"
"1041111630","15-163-19430","Baldwin","4","Sinclair Oil and Gas Co.","L and F Oil Operators","Cooper","10","S","20","W","5"," "," ","NW","SE","SW","990","-3630","SE","-99.5807475","39.207943","Rooks","","09/14/1949","11/21/1950","11/17/1989","SWD-P&A","Plugged and Abandoned","4357","2274","KB"," "
"1030279121","15-065-22941","ALLPHIN","1","Shelby Resources LLC","Pickrell Drilling Company, Inc.","Cooper","9","S","21","W","33"," ","NW","NE","SE","SW","1102","-3089","SE","-99.6717279","39.222754","Graham","11/04/2003","11/28/2003","01/02/2004","","OIL","Producing","3920","2320","KB","Arbuckle"
"1006062518","15-065-22599","DEYOUNG","2","AFG ENERGY","Trans Pacific Oil Corporation","Cooper","10","S","21","W","4"," ","S2","SE","NE","NE","4120","-330","SE","-99.6621057","39.2164619","Graham","10/15/1990","10/16/1990","11/12/1990","04/04/2023","OIL-P&A","Plugged and Abandoned","3900","2278","KB","Arbuckle"
"1001290065","15-163-03075","WOLF","4","Dane G. Hansen Trust","","Cooper","10","S","20","W","6"," "," ","SW","NW","NW","4320","330","SW","-99.6039862","39.2174254","Rooks","06/18/1956","06/17/1956","06/26/1956","06/27/1956","D&A","Plugged and Abandoned","3871","2279","KB"," "
"1037031578","15-065-03428-0001","DESAIR","1","J & L OIL, INC.","","Cooper","9","S","21","W","34"," "," ","SE","SE","SE","330","-330","SE","-99.6433302","39.2207505","Graham","11/17/1977","11/28/1977","12/08/1977","","OIL","Well Drilled","3862","2291","KB"," "
"1037031581","15-065-19147","DESAIR","5","PHILLIPS PETROLEUM CO.","","Cooper","9","S","21","W","34"," "," ","E2","NW","SE","1980","-1650","SE","-99.6479861","39.2252631","Graham","","02/11/1952","03/04/1952","03/21/1952","D&A","Plugged and Abandoned","3890","2299","KB"," "
"1036548286","15-065-19122","JAMES BARTOS","7","SKELLY OIL COMPANY","","Cooper","10","S","21","W","10"," "," ","SW","SE","NW","2970","-3630","SE","-99.6549096","39.1989921","Graham","","07/24/1951","08/06/1951","11/01/1983","OIL","Recompleted","3826","2245","KB"," "
"1044003897","15-065-23782","Bartos","12","Habit Petroleum, LLC","Gore Oil Company","Cooper","10","S","21","W","10"," ","SE","NW","SE","NW","-1748","1691","NW","-99.6548428","39.2004847","Graham","10/17/2011","10/24/2011","11/04/2011","","OIL","Producing","3850","2261","KB","Arbuckle"
"1037038575","15-065-01007-0002","MILLER","4","Raney Oil Company, LLC","Raney Oil Company, LLC","Cooper","10","S","21","W","3"," ","W2","NE","SE","SW","992","-3105","SE","-99.6526675","39.208052","Graham","07/30/2007","08/21/2007","08/27/2007","08/27/2007","OTHER-P&A","Plugged and Abandoned","380","2298","KB","Arbuckle"
"1043970620","15-163-30151-0001","Temple","2","Meridian Energy Inc.","Meridian Energy Inc.","Cooper","10","S","20","W","7"," "," ","NW","NE","SW","2310","-3630","SE","-99.5993595","39.1973213","Rooks","08/29/2011","09/23/2011","10/11/2011","10/12/2011","OIL-P&A","Plugged and Abandoned","3316","2257","KB","Arbuckle"
"1044774407","15-065-24014","Kuehnl","3","Spiral Energy Corp","Gore Oil Company","Cooper","9","S","21","W","34"," ","NW","SW","NE","SW","1900","1640","SW","-99.6550265","39.2250143","Graham","02/19/2014","03/31/2014","04/18/2014","","OIL","Producing","3969","2335","KB","Arbuckle"
