KID,BARCODE,FACILITY,AISLE,COLUMN,ROW,TOP,BOTTOM,CORE_TYPE,COMMENTS
"1044138961","500112","Lawrence","B","A","6","6390.6","6393.1","BUTT","core 10 box 1"
"1044138961","500113","Lawrence","B","A","6","6393.1","6396.7","BUTT","core 11 box 2"
"1044138961","500592","Lawrence","A","A","4","5252","5261","SLAB",""
"1044138961","500593","Lawrence","A","A","4","5261","5270","SLAB",""
"1044138961","500349","Lawrence","B","A","4","7181","7183.7","BUTT","core 22 box 2"
"1044138961","500350","Lawrence","B","A","4","7183.7","7186.76","BUTT","core 22 box 3"
"1044138961","500351","Lawrence","B","A","4","7186.8","7189.5","BUTT","core 22 box 4"
"1044138961","500352","Lawrence","B","A","4","7189.5","7192.4","BUTT","core 22 box 5"
"1044138961","500353","Lawrence","B","A","4","7192.4","7195","BUTT","core 22 box 6"
"1044138961","500354","Lawrence","B","A","4","7195","7197","BUTT","core 22 box 7"
"1044138961","500355","Lawrence","B","A","4","7197","7200","BUTT","core 22 box 8"
"1044138961","500356","Lawrence","B","A","4","7200","7202.9","BUTT","core 22 box 9"
"1044138961","500357","Lawrence","B","A","4","7202.9","7205.7","BUTT","core 22 box 10"
"1044138961","500358","Lawrence","B","A","4","7205.7","7208.4","BUTT","core 22 box 11"
"1044138961","500359","Lawrence","B","A","4","7208.4","7211.3","BUTT","core 22 box 12"
"1044138961","500144","Lawrence","B","A","5","6515.7","6518.55","BUTT","core 14 box 6"
"1044138961","500145","Lawrence","B","A","5","6518.6","6520.95","BUTT","core 14 box 5"
"1044138961","500146","Lawrence","B","A","5","6521","6523.57","BUTT","core 14 box 4"
"1044138961","500147","Lawrence","B","A","5","6523.6","6526.1","BUTT","core 14 box 3"
"1044138961","500148","Lawrence","B","A","5","6526.1","6528.35","BUTT","core 14 box 2"
"1044138961","500293","Lawrence","B","A","7","5254.9","5258","BUTT","core 2 box 2"
"1044138961","500114","Lawrence","B","A","6","6396.7","6399","BUTT","core 11 box 1"
"1044138961","500115","Lawrence","B","A","6","6440","6442.5","BUTT","core 12 box 23"
"1044138961","500116","Lawrence","B","A","6","6442.5","6445","BUTT","core 12 box 22"
"1044138961","500117","Lawrence","B","A","6","6445","6447.65","BUTT","core 12 box 21"
"1044138961","500161","Lawrence","B","A","5","6684.1","6684.4","BUTT","core 15 box 12"
"1044138961","500675","Lawrence","A","A","3","7126","7135","SLAB",""
"1044138961","500676","Lawrence","A","A","3","7135","7144","SLAB",""
"1044138961","500677","Lawrence","A","A","3","7144","7150","SLAB",""
"1044138961","500674","Lawrence","A","A","3","7117","7126","SLAB",""
"1044138961","500084","Lawrence","B","A","6","5627.4","5629.8","BUTT","core 8 box 16"
"1044138961","500085","Lawrence","B","A","6","5629.8","5632.4","BUTT","core 8 box 15"
"1044138961","500652","Lawrence","A","A","4","6700","6709","SLAB",""
