"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1001240477","D4690","1677","4200"
"1001240477","D4691","4200","5771"
"1002921900","D4623","3600","5885"
"1002921901","D4689","3700","5400"
"1002921901","D4690","5400","5785"
"1002947432","48559","4610","5673"
"1002947431","59403","4000","5100"
"1002947431","59404","5100","5680"
"1002947432","48513","2800","4610"
"1002947470","60269","4090","5700"
"1002947472","48737","5610","5665"
"1002950515","21997","5970","6976"
"1002947479","22878","4000","5730"
"1002950515","21842","215","3000"
"1002950515","21843","3000","3670"
"1002950515","21995","3670","5197"
"1002950515","21996","5197","5970"
"1002950575","59398","4000","5000"
"1002950575","59399","5000","5780"
"1002950576","59384","2500","3700"
"1002950576","59385","3700","5100"
"1002950576","59386","4100","5735"
"1002950577","59426","4000","4900"
"1002950577","59427","4900","5645"
"1002950581","59397","4000","5672"
"1002950582","59383","2500","4900"
"1002950582","59384","4900","5770"
"1002950593","22928","4000","4750"
"1002950593","22929","4750","5615"
"1002950595","48658","4005","4900"
"1002950595","48659","4900","5575"
"1002950595","48660","5575","5690"
"1002950736","59391","4000","4800"
"1002950736","59392","4800","5745"
"1002950737","59418","4000","4200"
"1002950737","59419","4200","5200"
"1002950737","59420","5200","5552"
"1002950737","59421","5333","5348"
"1002950737","59422","5599","5635"
"1005451271","A9204","3500","5899"
"1006074577","D4223","3500","5480"
"1006142599","59386","4000","4250"
"1006142599","59387","4250","5100"
"1006142599","59388","5100","5780"
"1006142642","61720","4000","5200"
"1006142642","61721","5200","5550"
"1006142693","40393","3000","4430"
"1006142693","40394","4430","5680"
"1006142835","B7190","4000","5650"
"1006144763","C9664","2600","4100"
"1006144763","C9665","4100","5750"
"1006144799","C9906","2590","5000"
"1006144799","C9907","5000","5775"
"1006145094","D1565","3900","5850"
"1006145210","D3030","3700","5090"
"1006145210","D3033","5090","5800"
"1006145244","29102","3800","4930"
"1006145408","D3855","3700","5740"
"1006145455","D3918","3700","4500"
"1006145461","D3887","4000","5740"
"1006145471","D3925","3940","5850"
"1006156039","33298","3900","5700"
"1006156167","02950","4600","5700"
"1006157021","G0928","2250","5350"
"1006157021","G0929","5350","5900"
"1006157027","F7431","3000","5180"
"1006157027","F7432","5180","5950"
"1006157029","F8220","4000","5850"
"1006157059","B2022","3800","5900"
"1006157139","A7422","3500","5880"
"1006157277","B7462","4000","5850"
"1006158087","C7852","3900","5040"
"1006158087","C7853","5040","5903"
"1006158413","C7733","3670","4800"
"1006158413","C7734","4800","5890"
"1006158519","C8674","2600","4910"
"1006158519","C8675","4910","5900"
"1006158597","C9126","2600","5280"
"1006158597","C9127","5280","5900"
"1006159051","25663","2500","5200"
"1006159051","25686","5460","5846"
"1006159229","D3374","3300","4500"
"1006159229","D3375","4500","5810"
"1006159233","D3376","3300","5800"
"1030215586","59376","2500","3750"
"1030215586","59377","3750","5800"
"1044138961","E5084","3500","4570"
"1050371866","F4715","4250","5750"
"1002950583","59423","4000","4900"
"1002950583","59424","4900","5750"
"1006072524","68857","2500","3730"
"1006072524","68858","3730","5662"
"1006144945","38566","3900","4600"
"1006144945","38567","4600","5830"
"1006144999","D1137","3000","5310"
"1006144999","D1139","5310","5820"
"1006145027","D1326","3900","4850"
"1006145027","D1327","4850","5790"
"1006145078","D1537","3900","5850"
"1006158763","D1525","3690","5150"
"1006158763","D1526","5250","5750"
"1006145092","D1593","3500","4350"
"1006145092","D1594","4350","5725"
"1006145338","D3356","3690","5750"
"1006145455","D3919","4500","5729"
"1006158637","C9532","2600","5290"
"1006158637","C9533","5290","5900"
"1006158685","D0761","2500","4200"
"1006158685","D0762","4200","5875"
"1006159051","25655","5200","5460"
"1036127057","D8478","3600","5040"
"1036127057","D8480","5040","5750"
"1037029529","D9523","4700","5810"
"1037029529","D9522","3500","4700"
"1041106747","E1012","5560","5760"
"1041106747","E1010","3620","4520"
"1041106747","E1011","4520","5560"
"1044138961","E5086","4570","5900"
"1044138961","E5087","5900","7735"
"1050371866","F4713","3700","4200"
"1050371866","F4714","4200","5250"
