KID,LASFILE
"1002921900","1044913566.las"
"1002921900","1044913567.las"
"1002921900","1044913727.las"
"1002921900","1044913728.las"
"1002921900","1044913729.las"
"1002921901","1044913568.las"
"1002921901","1044913569.las"
"1002921901","1044913730.las"
"1002921901","1044913731.las"
"1002921901","1044913732.las"
"1002947431","1044084012.las"
"1002947432","1044080520.las"
"1002947470","1044084013.las"
"1002947472","1044080521.las"
"1002947479","1044080522.las"
"1002950582","1044084186.las"
"1002950515","1044084181.las"
"1002950575","1044084183.las"
"1002950576","1044084184.las"
"1002950577","1044084185.las"
"1002950515","1044209152.las"
"1002950583","1044084187.las"
"1002950593","1044084018.las"
"1002950595","1044084188.las"
"1005451252","1044084190.las"
"1006072500","1044913701.las"
"1006072500","1044913702.las"
"1006072502","1044080518.las"
"1006072524","1044913703.las"
"1006072524","1044913704.las"
"1006074577","1044913563.las"
"1006074577","1044913564.las"
"1006074577","1044913715.las"
"1006074577","1044913716.las"
"1006074577","1044913717.las"
"1006074577","1044913718.las"
"1006074595","1044913565.las"
"1006074595","1044913719.las"
"1006074595","1044913720.las"
"1006142599","1044080519.las"
"1006142642","1044080523.las"
"1006142693","1044084014.las"
"1006142835","1044080524.las"
"1006144763","1044084015.las"
"1006144799","1044084016.las"
"1006144945","1044913548.las"
"1006144945","1044913549.las"
"1006144945","1044913772.las"
"1006144945","1044913773.las"
"1006145027","1044913550.las"
"1006145027","1044913551.las"
"1006145092","1044080525.las"
"1006145094","1044913552.las"
"1006145210","1044913788.las"
"1002950736","1044091126.las"
"1002950737","1044091127.las"
"1005451271","1044085166.las"
"1006144945","1023927697.las"
"1006144945","1023927696.las"
"1006145027","1023927701.las"
"1006145094","1023927704.las"
"1006145094","1023927705.las"
"1006145210","1023927706.las"
"1006144945","1044913774.las"
"1006144999","1044913775.las"
"1006144999","1044913776.las"
"1006145027","1044913777.las"
"1006145027","1044913778.las"
"1006145027","1023927700.las"
"1006145027","1044913779.las"
"1006145078","1044913780.las"
"1006145078","1044913781.las"
"1006145094","1044913782.las"
"1006145094","1044913783.las"
"1006145094","1044913784.las"
"1006145210","1044913787.las"
"1006145078","1023927702.las"
"1006145210","1001178984.las"
"1006145210","1023927707.las"
"1006145210","1044913789.las"
"1006145244","1003561235.las"
"1006145244","1044084017.las"
"1006145338","1044913792.las"
"1006145338","1044913793.las"
"1006145338","1044913794.las"
"1006145338","1044913553.las"
"1006145338","1044913554.las"
"1006145408","1044913795.las"
"1006145408","1044913796.las"
"1006145408","1044913797.las"
"1006145408","1044913555.las"
"1006145408","1044913556.las"
"1006145455","1044913798.las"
"1006145455","1044913799.las"
"1006145455","1044913800.las"
"1006145455","1044913557.las"
"1006145455","1044913558.las"
"1006145461","1044913801.las"
"1006145461","1044913802.las"
"1006145471","1023927720.las"
"1006145471","1044913803.las"
"1006145471","1044913804.las"
"1006145550","1044913805.las"
"1006145550","1044913806.las"
"1006145550","1044913807.las"
"1006145550","1044913559.las"
"1006145550","1044913560.las"
"1006156039","1044084019.las"
"1006156159","1044084189.las"
"1006156167","1044084020.las"
"1006157019","1044085158.las"
"1006157021","1044085159.las"
"1006157029","1044085163.las"
"1006157059","1044085164.las"
"1006157139","1044085165.las"
"1006157319","1044085167.las"
"1006158519","1044085168.las"
"1006158597","1003561188.las"
"1006158597","1044085169.las"
"1006158637","1044085170.las"
"1006158685","1044091119.las"
"1006158763","1044091120.las"
"1006159051","1003561151.las"
"1006158519","1003561152.las"
"1006158685","1003561149.las"
"1006159051","1003561150.las"
"1006159051","1044091121.las"
"1006159229","1044091122.las"
"1006159231","1044091124.las"
"1006159233","1044091125.las"
"1030215586","1044084182.las"
"1036127057","1043562753.las"
"1044138961","1044891383.las"
"1030215586","1044223531.las"
"1037029529","1043562754.las"
"1041106747","1044071052.las"
"1044138961","1044176974.las"
"1044138961","1044176975.las"
"1044138961","1044174999.las"
"1044138961","1044175000.las"
"1044138961","1044891388.las"
"1044138961","1044891389.las"
"1044138961","1044891391.las"
"1044138961","1044891356.las"
"1044138961","1044891358.las"
"1044138961","1044891359.las"
"1044138961","1044891385.las"
"1044138961","1044891386.las"
"1044138961","1044891390.las"
"1044138961","1044891357.las"
"1044138961","1044891384.las"
"1044138961","1044891387.las"
"1050371866","1052104020.las"
"1050371866","1052103902.las"
