KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1002950515","T31S R35W, Sec. 1,       SW SE","Socony Mobil Oil Co.","","William Cutter 1","15-189-00026","2980 KB","Strip/Sample Logs","Kansas Sample Log Service","215","6978","","Scanned","01/23/1961"
"1006072524","T30S R34W, Sec. 33, C     SE SE","SERVICE DRLG","","FEEDLOT (ELSIE  33) 1","15-081-20032","2814 KB","Strip/Sample Logs","Kansas Sample Log Service","2500","5662","","Scanned","07/198/1973"
"1006159229","T31S R35W, Sec. 11,     E2 SE SW","Anadarko Production Co.","BEREXCO LLC","LAMBERT 'B' 1","15-189-22020","3004 KB","Atlas Wireline Services       ","Segmented Bond Log Gamma Ray CCL                                     ","2780","5716","","Scanned","02/34/1996"
"1006159233","T31S R35W, Sec. 12,       SW SW","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","Davis 'K' 1","15-189-22022","2981 KB","Atlas Wireline Services       ","Segmented Bond Log Gamma Ray CCL                                     ","2400","5712","","Scanned","01/24/1996"
"1006159231","T31S R35W, Sec. 11,   NE SW SW NE","Anadarko Petroleum Corp.","Bear Petroleum, LLC","Young 'C' 1","15-189-22021","3003 KB","Atlas Wireline Services       ","High Resolution Dual Induction Focused Log Gamma Ray                 ","0","5791","131","Scanned","01/01/1996"
"1006159233","T31S R35W, Sec. 12,       SW SW","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","Davis 'K' 1","15-189-22022","2981 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","3200","5775","121","Scanned","01/24/1996"
"1006159233","T31S R35W, Sec. 12,       SW SW","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","Davis 'K' 1","15-189-22022","2981 KB","BPB Instruments               ","Compensated Long Spaced Sonic Integrated Transit Time Log            ","1782","5756","121","Scanned","01/24/1996"
"1006159233","T31S R35W, Sec. 12,       SW SW","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","Davis 'K' 1","15-189-22022","2981 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","0","5801","121","Scanned","01/24/1996"
"1006159233","T31S R35W, Sec. 12,       SW SW","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","Davis 'K' 1","15-189-22022","2981 KB","BPB Instruments               ","Compensated Neutron Compensated Photo-Density Log                    ","3200","5800","121","Scanned","01/24/1996"
"1034870836","T31S R35W, Sec. 2,     SW NE SE","FLYNN ENERGY","Continental Resources, Inc.","FNO or FLYNN ENERGY 1","15-189-20376-0002","3000 KB","Chapparal Perforators         ","Micro Seismogram Bond Nuclear Log Cased Hole                         ","4200","5719","125","Scanned","02/60/1984"
