KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1024011837","15-189-20021-0001","WILLIAM CUTTER","4","BEREXCO LLC","BEREXCO LLC","Cutter","31","S","35","W","1"," "," "," ","NE","NE","4620","-660","SE","-101.0699839","37.385846","Stevens","","10/29/2001","11/01/2001","","OIL","Producing","5700","2970","GL","Marmaton A And B"
"1044199238","15-175-21521-0001","MLP Young Trust 'A'","2","Oxy USA, Inc.","","Cutter","31","S","34","W","5","C"," ","W2","NW","SE","1980","-2310","SE","-101.0398898","37.3781153","Seward","","02/26/1996","02/27/1996","","GAS"," ","5750","2874","GL","Chester"
"1002950632","15-189-10076","GEORGE B. STRONG UNIT","1","MOBIL OIL","","Cutter","31","S","35","W","12","C"," "," "," ","SW","","","","-101.0813149","37.3621164","Stevens","","07/07/1961","12/31/1961","07/31/1961","D&A"," ","3718","2969","GL"," "
"1002950577","15-189-10022","WILLIAM CUTTER","3","MOBIL OIL","BEREXCO LLC","Cutter","31","S","35","W","1"," "," "," ","NE","SE","1980","-660","SE","-101.0700223","37.3785954","Stevens","","07/03/1962","08/14/1962","","OIL","Inactive Well","5858","2936","KB","Mrw U"
"1002950583","15-189-10029","CARRIE YOUNG UNIT","1","MOBIL OIL","","Cutter","31","S","35","W","11"," "," "," ","NE","NE","4620","-660","SE","-101.0881785","37.3711531","Stevens","","06/06/1962","07/07/1962","07/08/1974","GAS-P&A","Plugged and Abandoned","5750","2995","KB","Chst Sd"
"1026604405","15-189-22022-0001","Davis 'K'","1","ANADARKO PETROLEUM CORP.","Enterra Resources, LLC","Cutter","31","S","35","W","12"," "," "," ","SW","SW","673","668","SW","-101.0835247","37.3603054","Stevens","","09/09/1998","10/07/1998","","OIL","Producing","5800","2969","GL","Lansing, Chester, And Marmaton"
"1002950581","15-189-10026","SANTA FE","1","MOBIL OIL","","Cutter","31","S","35","W","1"," "," "," ","SW","NW","3300","-4620","SE","-101.0836299","37.3821516","Stevens","","12/05/1961","12/25/1961","12/25/1961","D&A","Plugged and Abandoned","5672","2936","GL"," "
"1002950575","15-189-10020","DOROTHY CULLISON","1","MOBIL OIL","","Cutter","31","S","35","W","2"," "," "," ","SW","SE","660","-1980","SE","-101.0927443","37.3748199","Stevens","11/13/1961","11/22/1961","12/18/1961","12/18/1961","D&A","Plugged and Abandoned","5777","2999","DF"," "
"1006157139","15-189-20611","Cullison 'B'","2-2","FLYNN ENERGY CORP.","Flynn Energy Corp.","Cutter","31","S","35","W","2"," ","S2","N2","SE","SW","810","1980","SW","-101.0970793","37.3751875","Stevens","06/17/1982","07/01/1982","07/13/1982","07/13/1982","D&A","Plugged and Abandoned","5880","3004","KB"," "
"1006159233","15-189-22022","Davis 'K'","1","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","Cutter","31","S","35","W","12"," "," "," ","SW","SW","660","660","SW","-101.0835576","37.3602697","Stevens","11/14/1995","01/15/1996","03/11/1996","","OIL","Recompleted","5800","2981","KB","Chester"
"1006157277","15-189-20697","CULLISON 'C'","2-3","FLYNN ENERGY CORP","Flynn Energy Corp.","Cutter","31","S","35","W","2"," "," ","NW","SW","NE","3307","-2024","SE","-101.0929337","37.3820875","Stevens","12/29/1983","01/29/1984","02/12/1984","02/12/1984","D&A","Plugged and Abandoned","5850","3004","KB"," "
"1006158413","15-189-21385","Cullison","3-7","Avalon Energy","Avalon Corporation","Cutter","31","S","35","W","3"," "," ","SE","SW","NE","2970","-1650","SE","-101.1097129","37.3809959","Stevens","09/22/1989","11/01/1989","11/11/1990","11/30/1989","D&A","Plugged and Abandoned","5890","3004","KB"," "
