"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1002888069","20317","1400","2500"
"1004862943","19980","1800","2400"
"1002888216","14198","2450","2612"
"1002889138","G0682","2350","2430"
"1002889136","21840","2000","2528"
"1002889873","68085","1600","2550"
"1005424908","50680","1905","2447"
"1002891922","B0403","1900","2551"
"1002891969","A7124","2600","3500"
"1036122190","A9258","1800","2050"
"1002890922","A3811","600","1910"
"1005456845","61454","1300","2229"
"1002890160","A2328","200","600"
"1002890160","A2329","600","2469"
"1002890257","A3570","600","2396"
"1002891030","A5868","1800","2000"
"1002891030","A5869","2000","2600"
"1002892126","37888","2150","2600"
"1002891489","A9310","2600","3246"
"1002889373","50383","2550","2650"
"1002892958","C4828","250","950"
"1002889972","70779","2600","3164"
"1002891073","04253","1000","2490"
"1002889978","70936","1850","2559"
"1002891079","J5740","1600","2460"
"1002891079","J8454","2400","2500"
"1002891611","F8556","1500","2465"
"1002891499","F1830","2602","3356"
"1002889378","05545","130","1400"
"1002889378","05546","1400","2501"
"1002889385","C5860","500","1000"
"1002889363","27633","720","1425"
"1002889363","49397","1425","1800"
"1002889364","49495","690","2150"
"1002889364","49496","2150","2550"
"1002890996","A4946","600","2500"
"1002888228","48975","620","737"
"1002891222","F8978","2450","2553"
"1002891078","J5583","2300","2620"
"1002891749","G1544","600","2650"
"1034047776","F1349","2577","2890"
"1002892067","B1169","2700","3347"
"1002891305","F6199","1200","2400"
"1002892883","F3427","500","2050"
"1002889814","58016","2450","2571"
"1002892202","B3363","1500","2478"
"1002889711","51152","600","2050"
"1002890055","71364","1300","2565"
"1002891019","J5658","1850","2140"
"1002890240","A3398","500","2150"
"1002890188","A2550","2750","3220"
"1002891750","G1770","500","2580"
"1002893606","50171","2470","2626"
"1002889890","68385","1300","2508"
"1002890205","A2675","500","2150"
"1002890949","A4450","500","2150"
"1002890957","G3754","1350","2150"
"1002891807","G2640","1500","2487"
"1002891947","A6958","1500","2472"
"1002892076","B1477","1500","2489"
"1002892315","A7140","790","2563"
"1002892670","B9277","1650","2578"
"1002889784","56974","650","2595"
"1002889796","57954","1300","2510"
"1002889804","58146","1300","2565"
"1002889836","67379","1510","2010"
"1002889861","47485","1300","2518"
"1002892180","B3389","1600","2470"
"1002889907","69221","1300","2390"
"1002890989","A5103","1700","2970"
"1002892100","B1621","1900","2585"
"1002889892","68385","1850","2474"
"1002891708","G0915","1600","2515"
"1002889887","68390","1300","2565"
"1002889880","68229","1300","2578"
"1002891338","F6376","1500","2510"
"1002889849","67606","1800","2575"
"1002890956","F0904","1350","2150"
"1002890995","A5286","1350","2150"
"1002891049","J5666","1350","2130"
"1002891128","G4140","1300","2400"
"1002891210","J7137","1500","1900"
"1002891211","J8794","1500","2150"
"1002891307","G0484","1500","2150"
"1002890126","A1569","2220","2750"
"1002890157","A2219","2650","2830"
"1002890202","A2623","2430","2625"
"1002891512","65930","0","607"
"1002889076","41124","2565","2603"
