"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1044589973","E6812","3600","4260"
"1044589973","E6813","4260","4810"
"1044595811","E6975","4060","4520"
"1044595811","E6971","3500","4060"
"1044622849","E6975","3500","4000"
"1044622849","E6978","4000","4720"
"1044623276","E7044","3500","4300"
"1044623276","E7046","4300","5108"
"1044623749","E7042","3500","4240"
"1044623749","E7044","4240","4475"
"1044628079","E7658","3500","4020"
"1044628079","E7663","4020","4450"
"1044629408","E7359","3500","4600"
"1044629409","E7080","3480","4200"
"1044629409","E7085","4200","4510"
"1044631666","E7237","3510","4170"
"1044631666","E7238","4170","4545"
"1044633744","E7364","3500","4525"
"1044636013","E7153","3540","4230"
"1044636013","E7156","4230","4760"
"1044636433","E7218","3500","4030"
"1044636433","E7222","4030","4540"
"1044653801","E7294","3490","4490"
"1044724179","E7365","3500","4450"
"1044726367","E7350","3530","4560"
"1044730920","E7354","3490","4140"
"1044730920","E7358","4140","4505"
"1044757056","E7484","3520","4550"
"1044767459","E7805","3500","4540"
"1044767460","E7617","3500","4140"
"1044767460","E7620","4140","4520"
"1044772339","E7878","4000","4560"
"1044772339","E7875","3500","4000"
"1044781703","E7799","3500","4550"
"1044800326","E7895","4200","4605"
"1044800326","E7894","3590","4200"
"1044802196","E7985","4300","4480"
"1044821085","E8106","3640","3900"
"1044821085","E8111","3900","5100"
"1044826800","57224","3550","4150"
"1044826800","57226","4150","4580"
"1044832429","57110","3570","4300"
"1044832429","57115","4300","4580"
"1044837762","57255","3530","4200"
"1044837762","57256","4200","4537"
"1044844216","57484","3500","4650"
"1044844216","57485","4650","5060"
"1044849530","57480","3520","4525"
"1044863941","57586","3640","4180"
"1044863941","57588","4180","4580"
"1044906170","E8809","4420","4621"
"1044906170","E8813","3600","4420"
"1044994269","E9400","3500","4400"
