KID,LASFILE
"1044589973","1045400617.las"
"1044595811","1044756574.las"
"1044622849","1045140124.las"
"1044623276","1045113776.las"
"1044623749","1045113801.las"
"1044628079","1045663274.las"
"1044629408","1045063034.las"
"1044629409","1045387616.las"
"1044631666","1045400453.las"
"1044633744","1045387558.las"
"1044636433","1045387513.las"
"1044653801","1045400259.las"
"1044724179","1045628623.las"
"1044726367","1044839029.las"
"1044730920","1045638546.las"
"1044757056","1045650412.las"
"1044767459","1046076925.las"
"1044767460","1045098692.las"
"1044772339","1045663271.las"
"1044781703","1045663258.las"
"1044800326","1046076917.las"
"1044802196","1046089677.las"
"1044821085","1046103888.las"
"1044826800","1046103839.las"
"1044832429","1046103868.las"
"1044837762","1052604418.las"
"1044844216","1046103786.las"
"1044849530","1046111219.las"
"1044863941","1046111162.las"
"1044906170","1046411739.las"
"1044951938","1046452292.las"
"1044951939","1046462391.las"
"1044972505","1046467306.las"
"1044972505","1046467307.las"
"1044972505","1046467398.las"
"1044994269","1052604121.las"
"1045015807","1046517572.las"
