KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1044589973","T1S R36W, Sec. 22,   NE SW SE NE","Berexco, LLC","BEREXCO LLC","Michael 1-22","15-153-20936","3158 KB","Pioneer Energy Services","Sonic Cement Bond","0","4617","124","Scanned","08/239/2013"
"1044589973","T1S R36W, Sec. 22,   NE SW SE NE","Berexco, LLC","BEREXCO LLC","Michael 1-22","15-153-20936","3158 KB","Pioneer Energy Services","Sonic Cement Bond","0","4617","124","Scanned","08/239/2013"
"1044589973","T1S R36W, Sec. 22,   NE SW SE NE","Berexco, LLC","BEREXCO LLC","Michael 1-22","15-153-20936","3158 KB","Pioneer Energy Services","Microresistivity","3500","4813","124","Scanned","08/235/2013"
"1044589973","T1S R36W, Sec. 22,   NE SW SE NE","Berexco, LLC","BEREXCO LLC","Michael 1-22","15-153-20936","3158 KB","Pioneer Energy Services","Microresistivity","3500","4813","124","Scanned","08/235/2013"
"1044595811","T1S R36W, Sec. 23,   N2 SW SW NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Burk Trust 'A' 1-23","15-153-20942","3225 KB","Pioneer Energy Services","Microresistivity","3500","4519","121","Scanned","09/249/2013"
"1044595811","T1S R36W, Sec. 23,   N2 SW SW NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Burk Trust 'A' 1-23","15-153-20942","3225 KB","Pioneer Energy Services","Microresistivity","3500","4519","121","Scanned","09/249/2013"
"1044622849","T1S R36W, Sec. 22,       NE SE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Burk Trust 'C' 1-22","15-153-20945","3225 KB","Pioneer Energy Services","Microresistivity","3500","4718","125","Scanned","09/263/2013"
"1044622849","T1S R36W, Sec. 22,       NE SE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Burk Trust 'C' 1-22","15-153-20945","3225 KB","Pioneer Energy Services","Microresistivity","3500","4718","125","Scanned","09/263/2013"
"1044623276","T1S R36W, Sec. 22,   NW NE SE SW","Berexco, LLC","BEREXCO LLC","Michael 3-22","15-153-20946","3141 KB","Pioneer Energy Services","Microresistivity","3500","5114","127","Scanned","10/277/2013"
"1044623276","T1S R36W, Sec. 22,   NW NE SE SW","Berexco, LLC","BEREXCO LLC","Michael 3-22","15-153-20946","3141 KB","Pioneer Energy Services","Microresistivity","3500","5114","127","Scanned","10/277/2013"
"1044623749","T1S R36W, Sec. 22,   NE SW SW NE","Berexco, LLC","BEREXCO LLC","Michael 2-22","15-153-20947","3142 KB","Pioneer Energy Services","Microresistivity","3500","4547","121","Scanned","09/262/2013"
"1044623749","T1S R36W, Sec. 22,   NE SW SW NE","Berexco, LLC","BEREXCO LLC","Michael 2-22","15-153-20947","3142 KB","Pioneer Energy Services","Microresistivity","3500","4547","121","Scanned","09/262/2013"
"1044628079","T1S R36W, Sec. 22,   SW SE SE NW","Berexco, LLC","BEREXCO LLC","Michael 4-22","15-153-20950","3186 KB","Pioneer Energy Services","Microresistivity","3500","4445","121","Scanned","03/64/2014"
"1044628079","T1S R36W, Sec. 22,   SW SE SE NW","Berexco, LLC","BEREXCO LLC","Michael 4-22","15-153-20950","3186 KB","Pioneer Energy Services","Microresistivity","3500","4445","121","Scanned","03/64/2014"
"1044629408","T1S R36W, Sec. 27,   SW NE NE NE","Berexco LLC","BEREXCO LLC","Bernita 1-27","15-153-20951","3229 KB","Pioneer Energy Services","Microresistivity","3500","4598","122","Scanned","10/290/2013"
"1044629408","T1S R36W, Sec. 27,   SW NE NE NE","Berexco LLC","BEREXCO LLC","Bernita 1-27","15-153-20951","3229 KB","Pioneer Energy Services","Microresistivity","3500","4598","122","Scanned","10/290/2013"
"1044629409","T1S R36W, Sec. 22,   SW NE NW SE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Burk Trust 'C' 2-22","15-153-20952","3213 KB","Pioneer Energy Services","Microresistivity","3500","4509","123","Scanned","10/289/2013"
"1044629409","T1S R36W, Sec. 22,   SW NE NW SE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Burk Trust 'C' 2-22","15-153-20952","3213 KB","Pioneer Energy Services","Microresistivity","3500","4509","123","Scanned","10/289/2013"
"1044631666","T1S R36W, Sec. 22,   W2 SE SE SE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Burk Trust 'C' 3-22","15-153-20954","3240 KB","Pioneer Energy Services","Microresistivity","3500","4546","121","Scanned","10/299/2013"
"1044631666","T1S R36W, Sec. 22,   W2 SE SE SE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Burk Trust 'C' 3-22","15-153-20954","3240 KB","Pioneer Energy Services","Microresistivity","3500","4546","121","Scanned","10/299/2013"
"1044633744","T1S R36W, Sec. 22,     NE SE NE","BEREXCO LLC","BEREXCO LLC","Michael 5-22","15-153-20955","3265 KB","Pioneer Energy Services","Microresistivity","3000","4515","121","Scanned","11/306/2013"
"1044633744","T1S R36W, Sec. 22,     NE SE NE","BEREXCO LLC","BEREXCO LLC","Michael 5-22","15-153-20955","3265 KB","Pioneer Energy Services","Microresistivity","3000","4515","121","Scanned","11/306/2013"
"1044636013","T1S R36W, Sec. 23,     S2 SW SW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Burk Trust 'D' 2-23","15-153-20957","3263 KB","Pioneer Energy Services","Microresistivity","3500","4764","124","Scanned","11/312/2013"
"1044636013","T1S R36W, Sec. 23,     S2 SW SW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Burk Trust 'D' 2-23","15-153-20957","3263 KB","Pioneer Energy Services","Microresistivity","3500","4764","124","Scanned","11/312/2013"
"1044636433","T1S R36W, Sec. 26,   E2 NW NW NW","Berexco, LLC","BEREXCO LLC","Lillie 1-26","15-153-20958","3264 KB","Pioneer Energy Services","Microresistivity","3100","4532","121","Scanned","11/322/2013"
"1044636433","T1S R36W, Sec. 26,   E2 NW NW NW","Berexco, LLC","BEREXCO LLC","Lillie 1-26","15-153-20958","3264 KB","Pioneer Energy Services","Microresistivity","3100","4532","121","Scanned","11/322/2013"
