KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1044589973","15-153-20936","-101.339","39.95315","3158","KB","Anhydrite","3060","3090","Completion Form","10/02/2021"
"1044589973","15-153-20936","-101.339","39.95315","3158","KB","Foraker","3636","","Completion Form","10/02/2021"
"1044589973","15-153-20936","-101.339","39.95315","3158","KB","Topeka","3870","","Completion Form","10/02/2021"
"1044589973","15-153-20936","-101.339","39.95315","3158","KB","Oread","3970","","Completion Form","10/02/2021"
"1044589973","15-153-20936","-101.339","39.95315","3158","KB","Lansing","4074","","Completion Form","10/02/2021"
"1044589973","15-153-20936","-101.339","39.95315","3158","KB","LKC B","4126","","Completion Form","10/02/2021"
"1044589973","15-153-20936","-101.339","39.95315","3158","KB","LKC C","4184","","Completion Form","10/02/2021"
"1044589973","15-153-20936","-101.339","39.95315","3158","KB","LKC D","4230","","Completion Form","10/02/2021"
"1044589973","15-153-20936","-101.339","39.95315","3158","KB","LKC E","4247","","Completion Form","10/02/2021"
"1044589973","15-153-20936","-101.339","39.95315","3158","KB","LKC F","4314","","Completion Form","10/02/2021"
"1044589973","15-153-20936","-101.339","39.95315","3158","KB","Pawnee","4450","","Completion Form","10/02/2021"
"1044589973","15-153-20936","-101.339","39.95315","3158","KB","Mississippian","4758","","Completion Form","10/02/2021"
"1044595811","15-153-20942","-101.334635","39.9529594","3225","KB","Oread","4042","","Geological Report","09/30/2021"
"1044595811","15-153-20942","-101.334635","39.9529594","3225","KB","Lansing-Kansas City","4144","4415","Geological Report","09/30/2021"
"1044595811","15-153-20942","-101.334635","39.9529594","3225","KB","Foraker","3717","","Geological Report","09/30/2021"
"1044595811","15-153-20942","-101.334635","39.9529594","3225","KB","Anhydrite","3127","3160","Geological Report","09/30/2021"
"1044595811","15-153-20942","-101.334635","39.9529594","3225","KB","Neva","3608","","Geological Report","09/30/2021"
"1044595811","15-153-20942","-101.334635","39.9529594","3225","KB","Red Eagle","3667","","Geological Report","09/30/2021"
"1044595811","15-153-20942","-101.334635","39.9529594","3225","KB","Topeka","3934","","Geological Report","09/30/2021"
"1044622849","15-153-20945","-101.3381347","39.9500084","3225","KB","Foraker","3715","","Geological Report","10/01/2021"
"1044622849","15-153-20945","-101.3381347","39.9500084","3225","KB","Anhydrite","3122","3154","Geological Report","10/01/2021"
"1044622849","15-153-20945","-101.3381347","39.9500084","3225","KB","Neva","3606","","Geological Report","10/01/2021"
"1044622849","15-153-20945","-101.3381347","39.9500084","3225","KB","Red Eagle","3675","","Geological Report","10/01/2021"
"1044622849","15-153-20945","-101.3381347","39.9500084","3225","KB","Topeka","3930","","Geological Report","10/01/2021"
"1044622849","15-153-20945","-101.3381347","39.9500084","3225","KB","Oread","4041","","Geological Report","10/01/2021"
"1044622849","15-153-20945","-101.3381347","39.9500084","3225","KB","Lansing-Kansas City","4148","4414","Geological Report","10/01/2021"
"1044622849","15-153-20945","-101.3381347","39.9500084","3225","KB","Pawnee","4534","","Geological Report","10/01/2021"
"1044622849","15-153-20945","-101.3381347","39.9500084","3225","KB","Cherokee","4620","","Geological Report","10/01/2021"
"1044623276","15-153-20946","-101.3465157","39.9480421","3141","KB","Mississippian","4780","","Completion Form","10/02/2021"
"1044623276","15-153-20946","-101.3465157","39.9480421","3141","KB","LKC E","4292","","Completion Form","10/02/2021"
"1044623276","15-153-20946","-101.3465157","39.9480421","3141","KB","LKC F","4335","","Completion Form","10/02/2021"
"1044623276","15-153-20946","-101.3465157","39.9480421","3141","KB","Pawnee","4480","","Completion Form","10/02/2021"
"1044623276","15-153-20946","-101.3465157","39.9480421","3141","KB","Arbuckle","4850","","Completion Form","10/02/2021"
"1044623276","15-153-20946","-101.3465157","39.9480421","3141","KB","Oread","3990","","Completion Form","10/02/2021"
"1044623276","15-153-20946","-101.3465157","39.9480421","3141","KB","Lansing","4085","","Completion Form","10/02/2021"
"1044623276","15-153-20946","-101.3465157","39.9480421","3141","KB","LKC B","4143","","Completion Form","10/02/2021"
"1044623276","15-153-20946","-101.3465157","39.9480421","3141","KB","LKC C","4206","","Completion Form","10/02/2021"
"1044623276","15-153-20946","-101.3465157","39.9480421","3141","KB","LKC D","4250","","Completion Form","10/02/2021"
"1044623276","15-153-20946","-101.3465157","39.9480421","3141","KB","Reagan","5056","","Completion Form","10/02/2021"
