KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1044951938","15-153-21088","Michael","9-22","BEREXCO LLC","BEREXCO LLC","East Fork","1","S","36","W","22"," ","NE","NW","SE","NW","-1400","1970","NW","-101.347883","39.955178","Rawlins","12/08/2014","12/19/2014","03/31/2015","","OIL","Inactive Well","4396","3114","KB","Lansing-Kansas City"
"1044951939","15-153-21089","Michael","10-22","BEREXCO LLC","BEREXCO LLC","East Fork","1","S","36","W","22"," ","NE","SE","NW","SW","1830","1070","SW","-101.3508588","39.9497202","Rawlins","12/08/2014","01/16/2015","01/26/2015","01/26/2015","D&A","Plugged and Abandoned","4400","3120","KB"," "
"1044849530","15-153-21024","Burk Trust 'D'","3-23","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","East Fork","1","S","36","W","23"," "," ","W2","W2","SW","1320","330","SW","-101.3345851","39.9481696","Rawlins","05/27/2014","06/18/2014","07/08/2014","","OIL","Producing","4526","3226","KB","Lansing-Kansas City"
"1044767459","15-153-20983","Michael","2-23","Berexco, LLC","BEREXCO LLC","East Fork","1","S","36","W","23"," "," ","NE","NW","NW","-330","990","NW","-101.33228","39.95811","Rawlins","02/03/2014","03/21/2014","05/16/2014","","OIL","Producing","4536","3302","KB"," "
"1044767460","15-153-20984","Michael","1-23","Berexco, LLC","BEREXCO LLC","East Fork","1","S","36","W","23"," "," ","SW","NW","NW","-990","330","NW","-101.33448","39.95638","Rawlins","02/03/2014","02/09/2014","03/20/2014","","OIL","Producing","4520","3284","KB"," "
"1044863941","15-153-21030","Lillie","3-26","BEREXCO LLC","BEREXCO LLC","East Fork","1","S","36","W","26"," ","E2","NW","NE","NW","-330","1880","NW","-101.32893","39.94357","Rawlins","06/30/2014","07/02/2014","08/20/2014","","OIL","Producing","4580","3307","KB","Lansing-Kansas City, Oread"
"1044772339","15-153-20987","Lillie","2-26","Berexco, LLC","BEREXCO LLC","East Fork","1","S","36","W","26"," ","E2","NE","NW","NW","-330","1175","NW","-101.33149","39.94369","Rawlins","02/14/2014","02/23/2014","04/24/2014","","OIL","Producing","4560","3285","KB"," "
"1044781703","15-153-20993","Michael","3-23","Berexco, LLC","BEREXCO LLC","East Fork","1","S","36","W","23"," "," ","SE","NW","NW","-990","990","NW","-101.33227","39.95636","Rawlins","03/04/2014","03/09/2014","05/21/2014","","OIL","Producing","4550","3272","KB"," "
"1044802196","15-153-21002","Michael","8-22","BEREXCO LLC","BEREXCO LLC","East Fork","1","S","36","W","22"," "," ","SE","NE","NE","-990","-330","NE","-101.33686","39.95636","Rawlins","03/31/2014","04/08/2014","06/16/2014","","OIL","Producing","4480","3256","KB","Lansing-Kansas City"
"1044623276","15-153-20946","Michael","3-22","Berexco, LLC","BEREXCO LLC","Unnamed - Rawlins","1","S","36","W","22"," ","NW","NE","SE","SW","1234","-3016","SE","-101.3465157","39.9480421","Rawlins","09/05/2013","09/22/2013","10/31/2013","","SWD","Converted to SWD Well","5230","3141","KB","Lansing"
"1044844216","15-153-21019","Burk Trust 'D'","1-SWD","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Unnamed","1","S","36","W","23"," ","N2","SW","NE","SW","1760","-3568","SE","-101.3298384","39.9493619","Rawlins","05/16/2014","06/06/2014","07/21/2014","","SWD","Authorized Injection Well","5064","3221","KB","Reagan"
"1044589973","15-153-20936","Michael","1-22","Berexco, LLC","BEREXCO LLC","East Fork","1","S","36","W","22"," ","NE","SW","SE","NE","-2200","-880","NE","-101.339","39.95315","Rawlins","07/30/2013","08/10/2013","09/09/2013","","OIL","Producing","4810","3158","KB","Lansing"
"1044623749","15-153-20947","Michael","2-22","Berexco, LLC","BEREXCO LLC","East Fork","1","S","36","W","22"," ","NE","SW","SW","NE","-2300","-2050","NE","-101.34325","39.95284","Rawlins","09/06/2013","09/07/2013","10/15/2013","","OIL","Producing","4548","3142","KB","Lansing"
"1044629408","15-153-20951","Bernita","1-27","Berexco LLC","BEREXCO LLC","East Fork","1","S","36","W","27"," ","SW","NE","NE","NE","-440","-340","NE","-101.33687","39.94335","Rawlins","10/01/2013","10/09/2013","01/07/2014","","OIL","Producing","4600","3229","KB","Lansing-Kansas City"
"1044633744","15-153-20955","Michael","5-22","BEREXCO LLC","BEREXCO LLC","East Fork","1","S","36","W","22"," "," ","NE","SE","NE","-1650","-330","NE","-101.33696","39.95457","Rawlins","10/17/2013","10/22/2013","01/01/2014","","OIL","Producing","4525","3265","KB","Lansing"
"1044972505","15-153-21100","SDMS","1-23","BEREXCO LLC","BEREXCO LLC","East Fork","1","S","36","W","23"," "," ","SW","SW","SE","330","-2310","SE","-101.3250096","39.9454319","Rawlins","01/22/2015","01/31/2015","05/18/2015","09/29/2022","OIL-P&A","Plugged and Abandoned","4605","3313","KB","Lansing-Kansas City, Oread"
"1044994269","15-153-21121","Theresa","1-27","Berexco LLC","BEREXCO LLC","East Fork","1","S","36","W","27"," ","W2","NE","NE","NW","-330","2280","NW","-101.346408","39.943748","Rawlins","03/11/2015","03/17/2015","03/24/2015","03/25/2015","D&A","Plugged and Abandoned","4402","3133","KB"," "
"1044595811","15-153-20942","Burk Trust 'A'","1-23","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","East Fork","1","S","36","W","23"," ","N2","SW","SW","NW","-2225","330","NW","-101.334635","39.9529594","Rawlins","08/23/2013","08/30/2013","09/18/2013","","OIL","Producing","4520","3225","KB","Lansing"
"1044724179","15-153-20969","Michael","7-22","BEREXCO LLC","BEREXCO LLC","East Fork","1","S","36","W","22"," "," ","SE","SE","NE","-2310","-330","NE","-101.33694","39.95276","Rawlins","12/11/2013","12/26/2013","03/03/2014","","OIL","Producing","4450","3188","KB","Lansing-Kansas City And Oread"
"1044653801","15-153-20963","Michael","6-22","BEREXCO LLC","BEREXCO LLC","East Fork","1","S","36","W","22"," ","NE","NE","SW","NE","-1630","-1500","NE","-101.34113","39.95461","Rawlins","11/14/2013","11/21/2013","02/11/2014","","OIL","Producing","4490","3230","KB","Lansing-Kansas City, Oread"
"1044628079","15-153-20950","Michael","4-22","Berexco, LLC","BEREXCO LLC","East Fork","1","S","36","W","22"," ","SW","SE","SE","NW","-2450","2160","NW","-101.3470353","39.9523956","Rawlins","09/27/2013","02/23/2014","05/06/2014","","OIL","Producing","4446","3186","KB"," "
"1044631666","15-153-20954","Burk Trust 'C'","3-22","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","East Fork","1","S","36","W","22"," ","W2","SE","SE","SE","330","-400","SE","-101.33716","39.9454698","Rawlins","10/09/2013","10/18/2013","11/18/2013","","OIL","Producing","4545","3240","KB","Lansing"
"1044622849","15-153-20945","Burk Trust 'C'","1-22","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","East Fork","1","S","36","W","22"," "," "," ","NE","SE","1980","-660","SE","-101.3381347","39.9500084","Rawlins","09/04/2013","09/10/2013","10/10/2013","","OIL","Producing","4720","3225","KB","Lansing"
"1044636433","15-153-20958","Lillie","1-26","Berexco, LLC","BEREXCO LLC","East Fork","1","S","36","W","26"," ","E2","NW","NW","NW","-330","420","NW","-101.33415","39.94363","Rawlins","10/28/2013","11/08/2013","02/07/2014","","OIL","Producing","4540","3264","KB"," "
"1044757056","15-153-20978","Burk Trust 'A'","3-23","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","East Fork","1","S","36","W","23"," "," ","NW","SW","NW","-1650","330","NW","-101.3346515","39.9545379","Rawlins","01/14/2014","01/18/2014","02/13/2014","","OIL","Producing","4552","3254","KB","Lansing-Kansas City"
"1044800326","15-153-21000","Burk Trust 'A'","6-23","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","East Fork","1","S","36","W","23"," "," ","NW","NE","NW","-330","1650","NW","-101.3299808","39.9581267","Rawlins","03/26/2014","03/28/2014","04/18/2014","","OIL","Producing","4605","3302","KB","Lansing-Kansas City"
"1045015807","15-153-21134","Lillie","4-26","BEREXCO LLC","BEREXCO LLC","East Fork","1","S","36","W","26"," ","SE","SW","NW","NW","-1030","360","NW","-101.334345","39.9417","Rawlins","04/24/2015","06/04/2015","08/07/2015","","OIL","Producing","4525","3236","KB","Lansing-Kansas City"
"1044837762","15-153-21017","Burk Trust 'C'","4-22","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","East Fork","1","S","36","W","22"," ","NW","NE","SE","SE","1100","-470","SE","-101.3374318","39.947586","Rawlins","05/09/2014","05/26/2014","06/30/2014","","OIL","Producing","4540","3249","KB","Lansing-Kansas City"
"1044629409","15-153-20952","Burk Trust 'C'","2-22","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","East Fork","1","S","36","W","22"," ","SW","NE","NW","SE","2190","-1750","SE","-101.3420281","39.9506226","Rawlins","10/01/2013","10/07/2013","11/04/2013","","OIL","Producing","4510","3213","KB","Lansing"
"1044826800","15-153-21013","Burk Trust 'A'","4-23","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","East Fork","1","S","36","W","23"," "," ","SW","SE","NW","-2310","1650","NW","-101.329924","39.9526913","Rawlins","04/23/2014","05/16/2014","06/17/2014","","OIL","Producing","4580","3276","KB","Lansing-Kansas City"
"1044906170","15-153-21061","Burk Trust 'D'","5-23","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","East Fork","1","S","36","W","23"," "," ","SE","SE","SW","330","2310","SW","-101.3274956","39.945429","Rawlins","09/18/2014","10/21/2014","12/10/2014","","OIL","Producing","4623","3318","KB","Lansing-Kansas City"
"1044832429","15-153-21015","Burk Trust 'D'","4-23","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","East Fork","1","S","36","W","23"," ","W2","SW","SE","SW","330","1440","SW","-101.3305982","39.9454391","Rawlins","04/28/2014","05/03/2014","06/26/2014","","OIL","Producing","4580","3287","KB","Lansing-Kansas City"
"1044726367","15-153-20971","Burk Trust 'A'","2-23","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","East Fork","1","S","36","W","23"," ","S2","N2","S2","NW","-1800","1320","NW","-101.3311158","39.9541","Rawlins","12/13/2013","12/16/2013","01/13/2014","","OIL","Producing","4560","3268","KB","Lansing-Kansas City"
"1044636013","15-153-20957","Burk Trust 'D'","2-23","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","East Fork","1","S","36","W","23"," "," ","S2","SW","SW","330","660","SW","-101.3333798","39.9454482","Rawlins","10/25/2013","10/29/2013","11/25/2013","","OIL","Producing","4760","3263","KB","Lansing-Kansas City"
