KID,BARCODE,FACILITY,AISLE,COLUMN,ROW,TOP,BOTTOM,CORE_TYPE,COMMENTS
"1005461197","116308","North Lawrence","30","1","1","2510.8","2513.7","",""
"1005461197","116309","North Lawrence","30","1","1","2514.6","2519.4","",""
"1005461197","116310","North Lawrence","30","1","1","0","0","","S-2  S-28, No Depths, Cores in Cans"
"1005461197","116311","North Lawrence","30","1","1","0","0","","S-1  S-7, No depths, Cans in cores."
"1005461197","116312","North Lawrence","30","1","1","2465","2469","",""
"1005461197","116313","North Lawrence","30","1","1","0","0","","S-8  S-14, No depth.  Cores in cans."
"1002893733","148489","North Lawrence","28","1","1","528","530.9","",""
"1002893733","148490","North Lawrence","28","1","1","541.5","544.4","",""
"1002893733","148491","North Lawrence","28","1","1","544.4","547.2","",""
"1002893733","148492","North Lawrence","28","1","1","530.9","533.8","",""
"1002889863","512363","Lawrence","0","0","0","0","0","CUTTINGS","Basement cuttings collection sample ID: KSBU-033; stored in Parker 17, drawer KSBU3; no indication of depth"
"1005461197","116314","North Lawrence","30","1","1","2508.3","2510.8","",""
"1005461197","116315","North Lawrence","30","1","1","2491.6","2496.5","",""
"1006759388","132326","North Lawrence","29","4","6","2541","2547","",""
"1006759388","132327","North Lawrence","29","4","6","2536.6","2541","",""
"1002893779","116489","North Lawrence","30","2","2","2459","2462","",""
"1002893779","116490","North Lawrence","30","2","2","2447","2451","",""
"1002891592","116261","North Lawrence","28","1","1","663","664","",""
"1002891592","116262","North Lawrence","28","1","1","660","663","",""
"1002890013","106668","North Lawrence","26","3","7","661","670","",""
"1002890013","106669","North Lawrence","26","3","7","670","676","",""
"1002890013","106670","North Lawrence","26","3","7","676","678","",""
"1002890013","106671","North Lawrence","26","3","7","655","665","",""
"1002890013","106672","North Lawrence","26","3","7","665","676","",""
"1002890013","106673","North Lawrence","26","3","7","676","678","",""
"1002890025","108332","North Lawrence","27","1","1","664","673.6","",""
"1002890025","108333","North Lawrence","27","1","1","673.6","683.4","",""
"1002890025","108334","North Lawrence","27","1","1","683.4","685.4","",""
"1002892134","108343","North Lawrence","27","1","1","659","662","",""
"1002892134","108344","North Lawrence","27","1","1","662","669.5","",""
"1002892134","108345","North Lawrence","27","1","1","669.5","667.5","",""
"1006759388","132354","North Lawrence","29","4","6","2572","2588","",""
"1002889990","108390","North Lawrence","5","1","6","634","637.5","",""
"1002889990","108391","North Lawrence","5","1","6","637.5","640","",""
"1002889990","108392","North Lawrence","5","1","6","640","641","",""
"1002889990","108393","North Lawrence","5","1","6","641","643","",""
"1002889990","108394","North Lawrence","5","1","6","643","648","",""
"1002889990","108395","North Lawrence","5","1","6","648","650.8","",""
"1002889990","108396","North Lawrence","5","1","6","650.8","652","",""
"1002889990","108397","North Lawrence","5","1","6","652","656.5","",""
"1002889947","107780","North Lawrence","5","1","2","6655.5","6661.6","",""
"1002889947","107781","North Lawrence","5","1","2","6661.6","6665.4","",""
"1002889947","107782","North Lawrence","5","1","2","6665.4","6670.7","",""
"1002889948","107783","North Lawrence","5","1","2","614","623","",""
"1002889948","107784","North Lawrence","5","1","2","623","631","",""
"1002889948","107785","North Lawrence","5","1","2","631","640","",""
"1002889948","107786","North Lawrence","5","1","2","640","642","",""
"1002889982","107787","North Lawrence","5","1","1","642","645","",""
"1002889982","107788","North Lawrence","5","1","1","645","648","",""
"1002889982","107789","North Lawrence","5","1","1","648","651","",""
"1002889982","107790","North Lawrence","5","1","1","651","654","",""
"1002889982","107791","North Lawrence","5","1","1","654","657.5","",""
"1002893386","140704","North Lawrence","10","3","7","1403","1405.5","",""
"1002893386","140705","North Lawrence","10","3","7","1405.5","1408.2","",""
"1002893386","140706","North Lawrence","10","3","7","1408.2","1411.2","",""
"1002893386","140707","North Lawrence","10","3","7","1411.2","1413.9","",""
"1002893386","140708","North Lawrence","10","3","7","1413.9","1416.5","",""
"1002893386","140709","North Lawrence","10","3","7","1416.5","1419.5","",""
"1002893386","140710","North Lawrence","10","3","7","1419.5","1422.3","",""
"1002889784","111530","North Lawrence","33","3","3","2062","2064","",""
"1002889784","111531","North Lawrence","33","3","3","1990","1993","",""
