KID,LASFILE
"1042082381","1043562238.las"
"1002891617","1043563713.las"
"1042082397","1043562243.las"
"1005461194","1042553262.las"
"1006759388","1004755993.las"
"1002893112","1043800133.las"
"1002893021","1043456570.las"
"1040659000","1044094518.las"
"1002890126","1044077662.las"
"1042763311","1044223085.las"
"1043454093","1044580142.las"
"1043454760","1044619160.las"
"1044634487","1044756564.las"
"1044078218","1044817963.las"
"1005461194","1044909733.las"
"1045666328","1046123392.las"
"1045664110","1046112736.las"
"1002893124","1003561129.las"
"1002889972","1043018530.las"
"1042093943","1043960054.las"
"1002888981","1043685692.las"
"1002889863","1042553261.las"
"1038695297","1044095826.las"
"1038695418","1044095948.las"
"1042763314","1044223136.las"
"1042763312","1044223152.las"
"1044066634","1044818489.las"
"1043454761","1044597756.las"
"1044013537","1044762004.las"
"1043995023","1044762030.las"
"1044787350","1045113109.las"
"1044799590","1045139238.las"
"1044794051","1045139242.las"
"1052851309","1053376752.las"
"1043454759","1044597736.las"
"1043454092","1044597783.las"
"1043995024","1044762054.las"
"1002892610","1043695539.las"
"1038695418","1044095824.las"
"1002891935","1043684696.las"
"1002892067","1043684697.las"
"1002893337","1044078840.las"
"1044634486","1045041633.las"
"1044238321","1044944685.las"
"1044241610","1044955903.las"
"1044792812","1045112937.las"
"1045059299","1046549557.las"
