KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1002889947","T25S R5E, Sec. 21,     SE SE SW","CITIES SERVICE CO","OXY USA Inc.","CHESNEY-HEGBERG MP UNIT 104","15-015-20604","1404 KB","Associated Wireline Service   ","Injection Profile                                                    ","500","721","","Scanned","12/353/1974"
"1002889947","T25S R5E, Sec. 21,     SE SE SW","CITIES SERVICE CO","OXY USA Inc.","CHESNEY-HEGBERG MP UNIT 104","15-015-20604","1404 KB","Associated Wireline Service   ","Injection Profile                                                    ","500","721","","Scanned","12/353/1974"
"1002893219","T26S R4E, Sec. 2,     SW NE SE","Oxy USA, Inc.","OXY USA Inc.","PAULSON 125-A","15-015-23338","1408 KB","Atlas Wireline Services       ","Compensated Neutron Gamma Ray                                        ","230","2517","99","Unscanned","07/196/1993"
"1002893186","T26S R4E, Sec. 1,     NE SW NW","Oxy USA, Inc.","Vess Oil Corporation","PORTER 'D' 86","15-015-23307","1400 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","262","2423","100","Unscanned","01/09/1993"
"1002892958","T25S R5E, Sec. 7,     E2 SE NE","CITIES SERVICE CO","Vess Oil Corporation","WILSON 411-A","15-015-23073","1404 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","410","2552","102","Scanned","04/114/1988"
"1002893139","T25S R5E, Sec. 8,     NW NW SE","Oxy USA, Inc.","Vess Oil Corporation","WILSON 'A' 413-SWD","15-015-23259","1395 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","270","3082","106","Scanned","11/323/1991"
"1002893152","T25S R5E, Sec. 9,     NE SW SW","Oxy USA, Inc.","Vess Oil Corporation","WILSON 414-A","15-015-23273","1386 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","250","2521","99","Scanned","07/184/1992"
"1002893108","T25S R5E, Sec. 32,     SE SE NE","Oxy USA, Inc.","Vess Oil Corporation","PIERPOINT 119-A","15-015-23229","1365 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","266","2568","102","Scanned","02/44/1991"
"1002893170","T26S R4E, Sec. 2,     NE NE NE","Oxy USA, Inc.","Vess Oil Corporation","PAULSON 110-A","15-015-23291","1380 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","256","2404","100","Unscanned","08/240/1992"
"1002893187","T26S R4E, Sec. 2,     NW SE NW","Oxy USA, Inc.","Vess Oil Corporation","PAULSON 115-A","15-015-23308","1375 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","1810","2407","99","Unscanned","02/38/1993"
"1002893197","T26S R5E, Sec. 6,     SE SW SW","Oxy USA, Inc.","OXY USA Inc.","BARNHILL 'A' 28","15-015-23318","1385 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","280","2548","100","Unscanned","03/60/1993"
"1002893225","T26S R4E, Sec. 12,     SE NE NW","Oxy USA, Inc.","Vess Oil Corporation","Enyart 105-A","15-015-23344","1380 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","262","2479","99","Unscanned","08/226/1993"
"1002893209","T25S R5E, Sec. 8,     NW NW SW","Oxy USA, Inc.","Vess Oil Corporation","WILSON 'A' 419","15-015-23329","1393 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","250","2522","99","Scanned","05/139/1993"
"1002893203","T25S R5E, Sec. 9,     NE SW SW","Oxy USA, Inc.","Vess Oil Corporation","WILSON 418-A","15-015-23324","1383 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","278","2513","99","Scanned","05/145/1993"
"1002893216","T25S R5E, Sec. 21,       NW SE","Oxy USA, Inc.","Vess Oil Corporation","CHESNEY 'A' 227","15-015-23335","1388 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","270","2353","97","Scanned","05/150/1993"
"1002893222","T26S R4E, Sec. 11,     SW SW NW","Oxy USA, Inc.","Vess Oil Corporation","GREEN-TRAPSHOOTER 1-A","15-015-23341","1366 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","240","2386","99","Scanned","07/188/1993"
"1002893226","T25S R5E, Sec. 33,     NW NW SW","Oxy USA, Inc.","Vess Oil Corporation","Pierpoint 'A' 121","15-015-23345","1358 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","238","2552","99","Scanned","08/243/1993"
