KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1027929863","15-015-23636","-96.8986388","37.8755216","1384","KB","Cherokee Group","2407","","ACO-1","11/17/2003"
"1027929861","15-015-23635","-96.90587","37.87356","1385","KB","Admire Group","694","","ACO-1","11/17/2003"
"1050371857","15-015-24125","-96.9049306","37.8836563","1385","KB","Ardmore","2423","","Geological Report","12/05/2021"
"1050371857","15-015-24125","-96.9049306","37.8836563","1385","KB","Viola","2477","","Geological Report","12/05/2021"
"1044575293","15-015-23984","-96.9125058","37.8307902","1389","KB","Kansas City","2014","2175","Geological Report","12/05/2021"
"1044575293","15-015-23984","-96.9125058","37.8307902","1389","KB","Swope","2118","","Geological Report","12/05/2021"
"1044575293","15-015-23984","-96.9125058","37.8307902","1389","KB","Fort Scott","2326","","Geological Report","12/05/2021"
"1044575293","15-015-23984","-96.9125058","37.8307902","1389","KB","Cherokee","2388","","Geological Report","12/05/2021"
"1044575293","15-015-23984","-96.9125058","37.8307902","1389","KB","Ardmore","2436","","Geological Report","12/05/2021"
"1044575293","15-015-23984","-96.9125058","37.8307902","1389","KB","Simpson Sand","2467","","Geological Report","12/05/2021"
"1002893297","15-015-23420","-96.8666989","37.9067391","1372","KB","Viola Limestone Formation","2428","","Geological Report","03/19/2007"
"1002893297","15-015-23420","-96.8666989","37.9067391","1372","KB","Simpson Sanstone","2443","","Geological Report","03/19/2007"
"1002893297","15-015-23420","-96.8666989","37.9067391","1372","KB","Arbuckle Group","2511","","Geological Report","03/19/2007"
"1002893015","15-015-23131","-96.8526698","37.9012102","1355","KB","Marmaton Group","2204","","Geological Report","03/19/2007"
"1002893015","15-015-23131","-96.8526698","37.9012102","1355","KB","Englevale Sandstone Member","2220","","Geological Report","03/19/2007"
"1002893015","15-015-23131","-96.8526698","37.9012102","1355","KB","Hunton Group","2517","","Geological Report","03/19/2007"
"1002892615","15-015-22725","-96.96489","37.63489","1318","KB","Lansing Group","1817","","Drillers log","06/14/2010"
"1002892615","15-015-22725","-96.96489","37.63489","1318","KB","Kansas City","2178","","Drillers log","06/14/2010"
"1002892615","15-015-22725","-96.96489","37.63489","1318","KB","Kinderhook","2521","","Drillers log","06/14/2010"
"1002892615","15-015-22725","-96.96489","37.63489","1318","KB","Simpson","2564","","Drillers log","06/14/2010"
"1002892615","15-015-22725","-96.96489","37.63489","1318","KB","Arbuckle Group","2705","","Drillers log","06/14/2010"
"1002891882","15-015-21964","-96.878951","37.8159012","1319","KB","Simpson","2934","","ACO-1/Driller's Log","08/03/2010"
"1002891882","15-015-21964","-96.878951","37.8159012","1319","KB","Arbuckle Group","3038","","ACO-1/Driller's Log","08/03/2010"
"1002890997","15-015-21012","-96.90518","37.80363","1362","KB","Arbuckle Group","2409","","ACO-1/Driller's Log","06/09/2010"
"1002890997","15-015-21012","-96.90518","37.80363","1362","KB","Reagan","2950","","ACO-1/Driller's Log","06/09/2010"
"1002890997","15-015-21012","-96.90518","37.80363","1362","KB","Granite Wash","2968","","ACO-1/Driller's Log","06/09/2010"
"1002890997","15-015-21012","-96.90518","37.80363","1362","KB","Granite","2982","","ACO-1/Driller's Log","06/09/2010"
"1005461194","15-015-75446","-96.9028352","37.7799535","1324","KB","Oread LS","1358","1428","ACO-1/Driller's Log","06/09/2010"
"1005461194","15-015-75446","-96.9028352","37.7799535","1324","KB","Douglas Sand","1446","1512","ACO-1/Driller's Log","06/09/2010"
"1005461194","15-015-75446","-96.9028352","37.7799535","1324","KB","Iatan","1582","1621","ACO-1/Driller's Log","06/09/2010"
"1005461194","15-015-75446","-96.9028352","37.7799535","1324","KB","Kansas City LS","1982","2152","ACO-1/Driller's Log","06/09/2010"
"1005461194","15-015-75446","-96.9028352","37.7799535","1324","KB","Pawnee Ls.","2230","2245","ACO-1/Driller's Log","06/09/2010"
"1005461194","15-015-75446","-96.9028352","37.7799535","1324","KB","Lower Simpson Sand","2575","2580","ACO-1/Driller's Log","06/09/2010"
"1005461194","15-015-75446","-96.9028352","37.7799535","1324","KB","Arbuckle Group","2580","3249","ACO-1/Driller's Log","06/09/2010"
"1005461194","15-015-75446","-96.9028352","37.7799535","1324","KB","Reagan Sand","3249","3271","ACO-1/Driller's Log","06/09/2010"
"1005461194","15-015-75446","-96.9028352","37.7799535","1324","KB","Granite","3271","","ACO-1/Driller's Log","06/09/2010"
"1002891969","15-015-22054","-96.84851","37.90824","1377","KB","Kansas City","2023","2185","ACO-1/Driller's Log","06/09/2010"
"1002891969","15-015-22054","-96.84851","37.90824","1377","KB","Marmaton","2265","","ACO-1/Driller's Log","06/09/2010"
"1002891969","15-015-22054","-96.84851","37.90824","1377","KB","Cherokee","2413","","ACO-1/Driller's Log","06/09/2010"
"1002891969","15-015-22054","-96.84851","37.90824","1377","KB","Ardmore","2484","","ACO-1/Driller's Log","06/09/2010"
"1002891969","15-015-22054","-96.84851","37.90824","1377","KB","Mississippi Chat","2543","","ACO-1/Driller's Log","06/09/2010"
"1034869629","15-015-19561-0001","-96.9003183","37.8925005","1392","KB","White Cloud","931","","ACO-1","05/29/2008"
"1002891882","15-015-21964","-96.878951","37.8159012","1319","KB","Lansing","1694","","ACO-1/Driller's Log","08/03/2010"
"1002891882","15-015-21964","-96.878951","37.8159012","1319","KB","Kansas City","2088","","ACO-1/Driller's Log","08/03/2010"
"1002891882","15-015-21964","-96.878951","37.8159012","1319","KB","Hertha","2219","","ACO-1/Driller's Log","08/03/2010"
"1002891882","15-015-21964","-96.878951","37.8159012","1319","KB","Mississippi","2616","","ACO-1/Driller's Log","08/03/2010"
"1002891882","15-015-21964","-96.878951","37.8159012","1319","KB","Kinderhook","2824","","ACO-1/Driller's Log","08/03/2010"
"1002893233","15-015-23352","-96.9399782","37.8656115","1398","KB","Verdigris Limestone Member","2532","","Drillers log","03/07/2007"
"1002893233","15-015-23352","-96.9399782","37.8656115","1398","KB","Mississippian System","2543","","Drillers log","03/07/2007"
"1002893233","15-015-23352","-96.9399782","37.8656115","1398","KB","Mississippian System","2614","","Drillers log","03/07/2007"
"1033706810","15-015-23674","-96.8698003","37.8527903","1343","KB","Oread","1357","","ACO-1","05/29/2008"
"1033706810","15-015-23674","-96.8698003","37.8527903","1343","KB","Heebner","1396","","ACO-1","05/29/2008"
"1033706810","15-015-23674","-96.8698003","37.8527903","1343","KB","Douglas","1426","","ACO-1","05/29/2008"
"1033706810","15-015-23674","-96.8698003","37.8527903","1343","KB","Lansing","1667","1814","ACO-1","05/29/2008"
"1033706810","15-015-23674","-96.8698003","37.8527903","1343","KB","Kansas City","1966","2124","ACO-1","05/29/2008"
"1002892126","15-015-22219","-96.8410947","37.8992108","1355","KB","Lansing","1688","","ACO-1/Driller's Log","05/19/2010"
"1002891969","15-015-22054","-96.84851","37.90824","1377","KB","Arbuckle Group","2893","","ACO-1/Driller's Log","06/09/2010"
"1002891969","15-015-22054","-96.84851","37.90824","1377","KB","Granite","3487","","ACO-1/Driller's Log","06/09/2010"
"1002891969","15-015-22054","-96.84851","37.90824","1377","KB","Kinderhook","2666","","ACO-1/Driller's Log","06/09/2010"
