KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1044857472","15-015-40454","KOOGLER, M. A.","86","Magnolia Petroleum Co.","","El Dorado","26","S","5","E","21"," "," ","SW","NW","NW","-990","330","NW","-96.8971139","37.7781634","Butler","","11/25/1950","12/11/1950","","OIL","Recompleted","2535","1323","DF"," "
"1002893159","15-015-23280","FRANK ROBISON","43","Crawford Oil Company","Crown Energy Company","El Dorado","25","S","5","E","3"," "," ","SE","NE","NW","4500","-2900","SE","-96.8688371","37.9094688","Butler","07/21/1992","07/27/1992","08/18/1992","","OIL","Inactive Well","2610","1372","KB"," "
"1027929769","15-015-19175","L. W. ROBISON SOUTH","5","Crown Energy Company","Crown Energy Company","El Dorado","25","S","5","E","17"," ","N2","NW","NE","SE","2540","-990","SE","-96.8988445","37.8751667","Butler","","","","","LOC","Cancelled API Number","","",""," "
"1002893002","15-015-23116","KIRKPATRICK","2-14","Oxy USA, Inc.","Vess Oil Corporation","El Dorado","26","S","5","E","16"," "," "," ","W2","NW","3960","-4620","SE","-96.8960608","37.7917549","Butler","","01/19/1989","03/01/1989","","OIL","Recompleted","2519","1355","KB"," "
"1002892428","15-015-22532","ALLEN MEMORIAL HOSPITAL","1-32","HAWKINS OIL & GAS INC","Hawkins Oil, LLC","El Dorado","25","S","5","E","32"," "," ","SE","SW","SW","330","-4290","SE","-96.9100815","37.8256742","Butler","","05/08/1984","07/11/1984","","OIL","Inactive Well","2530","1386","KB"," "
"1002893369","15-015-23504","LADD","24-A","Oxy USA, Inc.","Vess Oil Corporation","El Dorado","26","S","4","E","11"," "," ","NE","SE","SW","1050","2310","SW","-96.9627518","37.7984897","Butler","01/27/1997","02/25/1997","03/15/1997","","OIL","Producing","2350","1382","KB"," "
"1002890016","15-015-20677","CHESNEY-HEGBERG MP UNIT","210-W","CITIES SERVICE CO","OXY USA Inc.","El Dorado","25","S","5","E","28"," "," ","NE","NE","NW","-264","2112","NW","-96.8879306","37.8529311","Butler","11/21/1974","04/05/1975","04/28/1975","07/09/1992","OTHER-P&A","Plugged and Abandoned","696","1391","KB"," "
"1002890088","15-015-20751","ROBISON","14-A","WRIGHT OIL CO","Hawkins Oil, LLC","El Dorado","25","S","5","E","17"," ","S2","NW","SW","SE","825","-2183","SE","-96.90295","37.8704","Butler","","09/03/1975","10/20/1975","","OIL","Converted to EOR Well","2565","1379","GL"," "
"1031430410","15-015-21152-0001","PIERPOINT","114","Oxy USA, Inc.","Vess Oil Corporation","El Dorado","25","S","5","E","33","C"," ","NW","SW","NW","3926","-4727","SE","-96.8932984","37.8355491","Butler","","05/18/1996","06/09/1996","","OIL"," ","2150","1372","GL"," "
"1031430417","15-015-21634-0001","BATMAN 'A'","27","Oxy USA, Inc.","Vess Oil Corporation","El Dorado","26","S","5","E","8"," "," ","S2","SW","SW","330","-4620","SE","-96.9142931","37.7963792","Butler","","07/03/1991","07/13/1991","","OIL","Producing","2457","1371","KB"," "
"1031430414","15-015-21378-0001","MOLER","33","Oxy USA, Inc.","Vess Oil Corporation","El Dorado","25","S","5","E","32"," ","NW","SW","SE","NW","3296","-3665","SE","-96.90792","37.83382","Butler","","07/03/1996","07/13/1996","10/28/2020","OIL-P&A","Plugged and Abandoned","2510","1377","KB"," "
