KID,LASFILE
"1043683676","1044596618.las"
"1044184463","1044235752.las"
"1044065849","1044230169.las"
"1044228784","1044596607.las"
"1043683658","1044619063.las"
"1044076161","1044243233.las"
"1044228783","1044830999.las"
"1044066232","1044818369.las"
"1044076163","1044818389.las"
"1044008642","1044907529.las"
"1044065851","1044907683.las"
"1044065846","1044907681.las"
"1044065847","1044907686.las"
"1044065851","1044907232.las"
"1044076166","1044907678.las"
"1044065845","1044907685.las"
"1044065847","1044907688.las"
"1044080605","1044859511.las"
"1044080608","1044860016.las"
"1044080607","1044860011.las"
"1044140004","1044937543.las"
"1044140007","1044916523.las"
"1044090604","1044916101.las"
"1044066223","1044907126.las"
"1044065857","1044907230.las"
"1044177948","1044994988.las"
"1044177941","1044966772.las"
"1044177946","1045027782.las"
"1044177954","1044966775.las"
"1044177937","1045027789.las"
"1044177518","1045027791.las"
"1044179126","1044974068.las"
"1044119346","1044944919.las"
"1044119346","1044945002.las"
"1044228776","1045051823.las"
"1044066218","1044924754.las"
"1044228775","1045018530.las"
"1044228782","1045018535.las"
"1044177951","1044956273.las"
"1044177950","1044956275.las"
"1044177934","1044966800.las"
"1044177952","1044956278.las"
"1044177940","1044956253.las"
"1044177944","1044249359.las"
"1044139991","1044937581.las"
"1044177942","1044956254.las"
"1044177932","1044966406.las"
"1044856100","1046103224.las"
"1044729579","1045638017.las"
"1044729580","1045637954.las"
"1044632066","1045638024.las"
"1044851692","1046110415.las"
"1044853594","1046110488.las"
"1044853590","1046123420.las"
"1044853589","1046123421.las"
"1044853587","1046123426.las"
"1044595215","1045062433.las"
"1044663204","1045627867.las"
"1044595216","1045076236.las"
"1044228785","1045052460.las"
"1044853592","1046817260.las"
"1044910021","1046523983.las"
"1044853593","1046801267.las"
"1044080618","1044165147.las"
"1044065854","1044230164.las"
"1043986683","1044798811.las"
"1044065855","1044230166.las"
"1044065856","1044230168.las"
"1044065853","1044230172.las"
"1044065856","1044230174.las"
"1044080616","1044243376.las"
"1044066220","1044815236.las"
"1044177949","1044235754.las"
"1043981326","1044782519.las"
"1044090562","1044243222.las"
"1044076130","1044243228.las"
"1044066224","1044243230.las"
"1044076131","1044243231.las"
"1044057969","1044819036.las"
"1044058509","1044819039.las"
"1044080606","1044860008.las"
"1044080609","1044860022.las"
"1044080605","1044860007.las"
"1044066225","1044818363.las"
"1044076162","1044818142.las"
"1044632321","1044880403.las"
"1044066226","1044818364.las"
"1044066235","1044818367.las"
"1044066231","1044818370.las"
"1043981327","1044818378.las"
"1044066229","1044818381.las"
"1044066230","1044818382.las"
"1044066233","1044818384.las"
"1044066234","1044818387.las"
"1044076164","1044818391.las"
"1044066227","1044818392.las"
"1044066228","1044818395.las"
"1044068580","1044818399.las"
"1043683685","1044782033.las"
"1044228783","1044596605.las"
"1043683659","1044596616.las"
"1044228789","1045052461.las"
"1044119347","1044944916.las"
"1044177943","1044956257.las"
"1044228786","1045063840.las"
"1044066221","1044907113.las"
"1044162566","1044966989.las"
"1044179128","1045027454.las"
"1044851694","1046110410.las"
"1044851693","1046110419.las"
"1044632064","1045638014.las"
"1044851695","1046110495.las"
"1044654290","1045638019.las"
"1044654289","1045638020.las"
"1044654286","1045638023.las"
"1044632065","1045638026.las"
"1044140006","1044916525.las"
"1044065848","1044916542.las"
"1044856101","1046103222.las"
"1044856099","1046103226.las"
"1044856098","1046103228.las"
"1044855081","1046103230.las"
"1044855082","1046103231.las"
"1044855080","1046103234.las"
"1044855083","1046103237.las"
"1044852483","1046801271.las"
"1044927152","1046801273.las"
"1044845011","1046139920.las"
"1044910022","1046139922.las"
"1044853596","1046817251.las"
"1044853595","1046817252.las"
"1044851708","1046817254.las"
"1044851707","1046817257.las"
"1044851691","1046817258.las"
"1044853586","1046817262.las"
"1044852482","1046801259.las"
"1044853591","1046801269.las"
"1046104826","1047026845.las"
"1044852480","1046123429.las"
"1044852479","1046123431.las"
"1044851698","1046123434.las"
"1044851710","1046123435.las"
"1044851689","1046123438.las"
"1044066222","1044907129.las"
"1044066236","1044907131.las"
"1043683674","1044619059.las"
"1043683675","1044619061.las"
"1043683657","1044761717.las"
"1044080603","1044859519.las"
"1044080603","1044860042.las"
"1044065852","1044207889.las"
"1044065850","1044207892.las"
"1044228777","1045008671.las"
"1044065858","1044916467.las"
"1044177931","1044966262.las"
"1044177936","1044966263.las"
"1044177935","1044966265.las"
"1044177945","1044966398.las"
"1044177939","1044966399.las"
"1044177938","1044966402.las"
"1044177933","1044966403.las"
"1044177953","1044966795.las"
"1044177947","1045027785.las"
"1044595217","1045098467.las"
"1044595214","1045098468.las"
"1044179125","1044974066.las"
"1044153877","1044974071.las"
"1044175157","1044974072.las"
"1044179124","1044974075.las"
"1044595218","1045062434.las"
"1044592254","1045078796.las"
"1044228781","1045018531.las"
"1044228773","1045018533.las"
"1044851696","1046817198.las"
"1044853588","1046123424.las"
"1044852481","1046123427.las"
"1045118562","1046790529.las"
"1045118559","1046790531.las"
"1045118558","1046790535.las"
"1045118556","1046790537.las"
"1045118555","1046790542.las"
"1044851697","1046790629.las"
"1044117565","1044925048.las"
