KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Mulberry Coal Bed","663.22","664.41","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Pawnee Limestone Formation","668.66","","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Anna Shale Member","694.13","","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Lexington Coal Bed","696.17","696.33","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Englevale Sandstone Member","702.96","709.07","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Fort Scott Limestone Formation","713.89","","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Summit Coal Bed","755.09","755.77","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Blackjack Creek Limestone Member","758.95","","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Excello Shale Member","765.37","","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Mulky Coal Bed","768.72","769.8","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Bevier Coal Bed","837.75","839.14","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Verdigris Limestone Member","848.82","","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","VSHALE","857.01","","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Croweburg Coal Bed","859.93","861.04","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","FLEMING","879.34","880.74","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Mineral Coal Bed","887.49","888.92","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Scammon Coal Bed","902.28","903.71","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Chelsea Sandstone Member","912.62","916.64","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Tebo Coal Bed","931.43","933.87","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Weir-Pittsburg Coal Bed","939.32","941.19","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","BLUEJACKET_BARTLESVILLE","968.44","975.15","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Dry Wood Coal Bed","1065","1065","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Rowe Coal Bed","1065.3","1067.02","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Neutral Coal Bed","1077.59","1079.01","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","AW","1099.3","1099.47","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Warner Sandstone Member","1103.11","1106.52","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Riverton Coal Bed","1111.81","1113.62","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","MCLOUTH_SS","1140.68","1144.1","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Mississippian System","1164.8","","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Little Osage Shale Member","748.51","","TROY JOHNSON THESIS","12/02/2004"
"1002883654","15-003-20237","-95.2848233","38.2729127","1070","KB","Bartlesville Sandstone Bed","1032.79","1065","TROY JOHNSON THESIS","12/02/2004"
"1002883662","15-003-20245","-95.1884465","38.2956594","942","GL","Mulberry Coal Bed","539.9","542.09","TROY JOHNSON THESIS","12/02/2004"
"1002883662","15-003-20245","-95.1884465","38.2956594","942","GL","Pawnee Limestone Formation","544.43","","TROY JOHNSON THESIS","12/02/2004"
"1002883662","15-003-20245","-95.1884465","38.2956594","942","GL","Anna Shale Member","570","","TROY JOHNSON THESIS","12/02/2004"
