KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1044786641","15-003-26105","Banks","17","Hunt Oil, LLC","Hunt Oil, LLC","Garnett Shoestring","20","S","20","E","22"," ","SE","SE","SW","NE","2860","-1502","SE","-95.1808248","38.2958341","Anderson","03/07/2014","","","","LOC","Expired Intent to Drill (C-1)","","937","GL","Squirrel"
"1044786642","15-003-26106","Banks","19","Hunt Oil, LLC","Hunt Oil, LLC","Garnett Shoestring","20","S","20","E","22"," ","NW","SE","SW","NE","3135","3465","SW","-95.1820082","38.2965999","Anderson","03/07/2014","05/30/2014","06/02/2014","","OIL","Producing","938","944","GL","Squirrel"
"1044226099","15-003-25777","P. Winfrey","2-T","Tailwater, Inc.","Tailwater, Inc.","Garnett Shoestring","20","S","20","E","27"," "," ","NW","NW","SW","2491","-4642","SE","-95.1917118","38.2803635","Anderson","02/13/2013","03/11/2013","03/15/2013","","OIL","Inactive Well","854","958","GL","Squirrel"
"1044786643","15-003-26110","Banks","40","Hunt Oil, LLC","Hunt Oil, LLC","Garnett Shoestring","20","S","20","E","23"," ","NE","SE","SW","NE","3189","-1502","SE","-95.1626214","38.2966464","Anderson","03/07/2014","06/04/2014","06/06/2014","","LOC","Cancelled API Number","842","975","GL","Squirrel"
"1044226101","15-003-25781","P. Winfrey","6-T","Tailwater, Inc.","Tailwater, Inc.","Garnett Shoestring","20","S","20","E","27"," "," ","NW","NW","SW","2075","-4809","SE","-95.1922898","38.2792227","Anderson","02/13/2013","03/06/2013","05/16/2013","","OIL","Inactive Well","850","955","GL","Squirrel"
"1044226102","15-003-25779","P. Winfrey","4-T","Tailwater, Inc.","Tailwater, Inc.","Garnett Shoestring","20","S","20","E","27"," "," ","NW","NW","SW","2356","-5086","SE","-95.193257","38.2799967","Anderson","02/13/2013","03/14/2013","05/16/2013","","OIL","Inactive Well","860","955","GL","Squirrel"
"1044853584","15-003-26245","SETTER","P-9","Prairie Oil, LLC","Prairie Oil, LLC","Garnett Shoestring","20","S","20","E","2"," ","SE","NE","NE","NW","-495","2475","NW","-95.1671495","38.3449993","Anderson","06/06/2014","","","","LOC","Expired Intent to Drill (C-1)","","927","GL","Cattleman"
"1044853585","15-003-26246","SETTER","P-18","Prairie Oil, LLC","Prairie Oil, LLC","Garnett Shoestring","20","S","20","E","2"," ","NW","SE","NE","NW","-825","2145","NW","-95.1683084","38.3440912","Anderson","06/06/2014","","","","LOC","Expired Intent to Drill (C-1)","","925","GL","Cattleman"
"1044855082","15-003-26260","North Kempnich","52-T","Tailwater, Inc.","SAG Oil Company LLC","Garnett Shoestring","20","S","20","E","22"," "," ","NE","SE","NW","3462","-2993","SE","-95.1860242","38.2975318","Anderson","06/11/2014","08/05/2014","08/06/2014","","OIL","Producing","652","960","GL"," "
"1044855083","15-003-26261","North Kempnich","50-T","Tailwater, Inc.","SAG Oil Company LLC","Garnett Shoestring","20","S","20","E","22"," "," ","SE","NE","NW","4213","-3162","SE","-95.1866193","38.2996021","Anderson","06/11/2014","07/31/2014","08/05/2014","","OIL","Producing","821","953","GL"," "
"1044855080","15-003-26258","North Kempnich","51-T","Tailwater, Inc.","SAG Oil Company LLC","Garnett Shoestring","20","S","20","E","22"," "," ","SW","NE","NW","4257","-3476","SE","-95.1877136","38.299733","Anderson","06/11/2014","08/04/2014","08/20/2014","","OIL","Producing","736","955","GL"," "
"1044863897","15-003-26276","South Kempnich","10-IWL","Tailwater, Inc.","Tailwater, Inc.","Garnett Shoestring","20","S","20","E","22"," "," ","SE","NW","SW","1650","990","SW","-95.1905714","38.2926007","Anderson","06/30/2014","","","","LOC","Expired Intent to Drill (C-1)","","968","GL"," "
"1044863898","15-003-26277","South Kempnich","11-IWL","Tailwater, Inc.","Tailwater, Inc.","Garnett Shoestring","20","S","20","E","22"," "," ","S2","N2","SW","1650","1320","SW","-95.1894216","38.2925902","Anderson","06/30/2014","","","","LOC","Expired Intent to Drill (C-1)","","967","GL"," "
"1044863902","15-003-26273","South Kempnich","7-IWL","Tailwater, Inc.","Tailwater, Inc.","Garnett Shoestring","20","S","20","E","22"," "," ","E2","NE","SW","1980","2310","SW","-95.1859857","38.2934649","Anderson","06/30/2014","","","","LOC","Expired Intent to Drill (C-1)","","962","GL"," "
"1044863904","15-003-26275","South Kempnich","9-IWL","Tailwater, Inc.","Tailwater, Inc.","Garnett Shoestring","20","S","20","E","22"," "," ","S2","NW","SW","1650","660","SW","-95.1917212","38.2926112","Anderson","06/30/2014","","","","LOC","Expired Intent to Drill (C-1)","","968","GL"," "
"1044863905","15-003-26278","South Kempnich","12-IWL","Tailwater, Inc.","Tailwater, Inc.","Garnett Shoestring","20","S","20","E","22"," "," ","SW","NE","SW","1650","1650","SW","-95.1882719","38.2925797","Anderson","06/30/2014","","","","LOC","Expired Intent to Drill (C-1)","","963","GL"," "
