KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1002884077","T20S R20E, Sec. 13,     SE SE NW","R C OIL","Bauer Oil Investment, LLC","MORGAN 2","15-003-22072","970 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","30","775","","Scanned","10/291/1982"
"1002884108","T20S R20E, Sec. 13,     SW SE NW","R & C CO","Bauer Oil Investment, LLC","MORGAN 4","15-003-22186","960 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","250","778","","Scanned","05/136/1983"
"1002884112","T20S R20E, Sec. 13,     SW SE NW","R & C CO","Bauer Oil Investment, LLC","MORGAN 5","15-003-22205","965 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","200","803","","Scanned","08/227/1983"
"1002884085","T20S R20E, Sec. 13,   SW SE SW NW","R C OIL","Ballou Oil Well Service","ZASTROW 3","15-003-22096","950 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","200","780","","Scanned","11/317/1982"
"1002884790","T20S R20E, Sec. 15,     E2 SE NW","CALDWELL ENTERPRISES","King Oil, Inc.","FREY 5","15-003-23540","950 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","250","739","","Unscanned","10/298/1991"
"1002884801","T20S R20E, Sec. 15,     SE NE NE","CALDWELL ENTERPRISES","King Oil, Inc.","FREY 6","15-003-23561","935 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","200","700","","Unscanned","10/298/1991"
"1002884837","T20S R20E, Sec. 15,     S2 N2 NE","CALDWELL ENTERPRISES","King Oil, Inc.","FREY 8","15-003-23614","950 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","200","677","","Unscanned","03/77/1992"
"1002884838","T20S R20E, Sec. 15,     SE NW NE","CALDWELL ENTERPRISES","King Oil, Inc.","FREY 9","15-003-23615","950 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","200","678","","Unscanned","03/74/1992"
"1002884105","T20S R20E, Sec. 21,     SE NW NE","R.C. Oil Company","B & B Oil Recovery","Wittman 1","15-003-22169","1030 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","300","793","","Scanned","05/136/1983"
"1002884119","T20S R20E, Sec. 21,     SW NE NE","R.C. Oil Company","B & B Oil Recovery","Wittman 2","15-003-22220","1040 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","350","822","","Scanned","08/227/1983"
"1002884539","T20S R20E, Sec. 31,     SW SW SE","CALDWELL ENTERPRISES","Caldwell Enterprises, Inc.","CALDWELL 2","15-003-23177","975 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","300","739","","Unscanned","11/307/1990"
"1002884548","T20S R20E, Sec. 31,       SW SE","CALDWELL ENTERPRISES","Caldwell Enterprises, Inc.","CALDWELL 6","15-003-23186","985 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","300","726","","Unscanned","11/310/1990"
"1002884551","T20S R20E, Sec. 31,     NE SW SE","CALDWELL ENTERPRISES","Caldwell Enterprises, Inc.","CALDWELL 7","15-003-23190","1000 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","300","721","","Unscanned","12/335/1990"
"1002884314","T20S R20E, Sec. 31,   SW NE SE SE","CALDWELL ENTERPRISES","Caldwell Enterprises, Inc.","CALDWELL ENTERPRISES 1","15-003-22870","967 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","250","696","","Scanned","01/04/1988"
"1002884133","T20S R20E, Sec. 21,     SE NW NE","R.C. Oil Company","B & B Oil Recovery","Wittman 3","15-003-22260","1040 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","240","796","","Scanned","08/227/1983"
"1002884836","T20S R20E, Sec. 15,     NW SE NW","CALDWELL ENTERPRISES","Caldwell Enterprises, Inc.","FREY 7","15-003-23612","950 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","250","684","","Unscanned","03/74/1992"
"1002884076","T20S R20E, Sec. 13,     SE SE NW","R C OIL","Bauer Oil Investment, LLC","MORGAN 1","15-003-22066","970 GL","Adams Jetwell Service, Inc.   ","Gamma Ray Neutron                                                    ","200","778","","Scanned","10/286/1982"
