"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1043973550","F6643","2750","3144"
"1043689748","E3223","2090","2500"
"1043124001","F4942","2300","2500"
"1044068193","E4163","2200","2900"
"1044068193","E4164","2900","3295"
"1044044355","E3635","2420","3220"
"1043973550","F6641","2200","2750"
"1044044355","E3633","2250","2420"
"1001296812","43602","2800","3150"
"1001297342","10385","1400","2889"
"1002943144","10264","2900","3180"
"1001297718","11167","2100","2650"
"1001301131","16241","2500","2853"
"1001298831","29933","2643","3164"
"1001299658","17480","1425","3165"
"1001299659","07930","2000","3180"
"1001301211","03035","2000","3118"
"1001302834","11242","2100","3185"
"1001301132","10217","1900","3161"
"1001302835","49489","2950","3166"
"1001298996","50644","2500","3167"
"1031003298","49552","3100","3189"
"1001299664","62433","1501","1800"
"1001297201","27157","2400","3096"
"1001299665","49492","2550","3105"
"1001304881","26272","2749","3146"
"1001304882","49493","2915","3117"
"1001299162","25457","3002","3140"
"1001301899","55377","3100","3199"
"1001301106","55400","2550","3150"
"1001301106","55401","3150","3161"
"1001301898","55431","2500","2900"
"1001301891","55298","2630","3178"
"1006822542","55303","2500","3195"
"1001301900","55008","2500","2975"
"1001301900","55009","2975","3207"
"1001301689","25253","1600","3000"
"1001298114","49420","2800","3160"
"1001301081","42643","2300","3108"
"1001301893","26339","2500","2900"
"1044195186","42278","2900","3165"
"1002944172","40217","2150","3167"
"1032577342","38285","2800","3211"
"1006139007","64691","2000","2250"
"1001304884","54137","2360","2974"
"1001299673","50493","2600","3183"
"1001302839","49702","2820","3206"
"1001296812","50379","2800","3168"
"1001295379","50493","3000","3167"
"1001302030","52611","2700","3180"
"1001301700","49302","2427","3208"
"1006135459","G4033","2150","3220"
"1001297016","02344","2880","2978"
"1002943375","29437","300","1090"
"1002943116","C1242","2200","3353"
"1002943208","03715","2005","3350"
"1008333741","10510","2351","2434"
"1006136315","27261","2010","2525"
"1006136637","B0061","2200","2490"
"1002942967","C1080","2200","2860"
"1002943145","08891","2100","2346"
"1002943168","09724","2100","2371"
"1002943396","45864","2300","3395"
"1006137469","B7898","2200","3435"
"1002943031","09632","2310","2357"
"1001299689","09678","2100","2340"
"1001298463","09627","2150","2318"
"1001299693","09636","2150","2590"
"1002943019","08140","2150","2461"
"1001302046","09234","2170","2330"
"1001302047","09513","2100","2342"
"1001297176","10368","2000","2331"
"1005741635","09032","2100","2290"
"1006135548","J8827","2000","2730"
"1001299701","54508","2250","2420"
"1002943335","01217","1950","2434"
"1005741643","09582","2100","2392"
"1001299690","10983","2100","2382"
"1002943526","05798","2400","3370"
"1001301355","09753","2100","2405"
"1001299713","10956","2100","2392"
"1006139197","53530","2800","3281"
"1001299706","54500","2200","2395"
"1008406154","54720","2250","2354"
"1001301860","54956","2168","2355"
"1001298514","54786","2200","2397"
"1001299699","54330","2332","3450"
"1001299698","09698","2100","2394"
"1006136177","G1771","2200","3296"
"1001299721","00177","2000","3337"
"1006135594","J8532","2300","2780"
"1006135594","J8533","2780","3300"
"1001302850","54495","2248","2337"
"1001295591","54426","2250","2407"
"1001297479","54470","2250","2347"
"1001299717","55069","2250","2365"
"1001302847","54323","2250","2354"
"1001302848","54386","2200","3180"
"1001302848","54387","2314","3288"
"1001302848","53983","3288","3309"
"1001302115","07895","2000","2320"
"1001296651","54601","2250","2410"
"1001302113","54388","2229","2425"
"1001301519","06758","10","500"
"1001301519","06759","500","2100"
"1001301519","06760","2100","3230"
"1001299754","45749","2600","2994"
"1001299753","45758","2620","2982"
"1001301579","32913","2650","3140"
"1039145071","02286","2600","2996"
"1001299756","45748","2480","2942"
"1001299752","45761","2600","2985"
"1001302852","45729","2655","3196"
"1001302855","46285","2330","3220"
"1039145085","45788","0","1850"
"1039145085","45789","1850","3050"
"1039145085","45790","3050","3234"
"1001299744","46160","1600","2000"
"1001299744","46161","2000","2150"
"1001304897","46379","1600","2309"
"1001302856","46395","1850","2305"
"1001298387","46392","1600","2329"
"1001299749","46403","1600","2295"
"1006138942","64834","2200","3275"
"1001299757","25452","2805","3276"
"1001301808","46282","1600","2294"
"1001299740","46299","1600","2275"
"1001299767","46395","1900","2323"
"1001299747","43729","2600","3232"
"1041109954","54093","2800","3153"
"1037043109","54683","2285","2354"
"1001299741","45875","2288","2348"
"1041460887","02407","2100","2410"
"1001300912","07808","1995","2338"
"1001299770","14517","2000","2350"
"1001301583","54970","2595","3236"
"1001295960","54969","2795","3212"
"1001298323","54718","2250","2372"
"1001299771","49153","2100","3242"
"1001299776","53644","2850","3266"
"1001297759","45707","2500","3000"
"1001302863","10432","2100","3262"
"1001298477","12432","2100","2352"
"1008502501","07595","2240","2289"
"1001299778","48967","3231","3265"
"1001299785","07916","2000","2278"
"1006139011","64832","2400","3223"
"1002944157","40344","2100","3271"
"1001302033","56126","1200","2600"
"1002942955","07375","2100","2283"
"1006139345","08161","2100","2395"
"1001299797","15855","2150","2400"
"1001300700","08182","2100","2330"
"1001299792","07869","2100","2332"
"1001299746","07268","2100","2252"
"1001299809","07517","2050","2285"
"1001301500","12287","2500","3232"
"1002943557","07259","2698","3196"
"1006446905","12004","2100","3219"
"1001298481","06764","2500","3113"
"1001299823","54320","2450","3104"
"1002944187","49024","2000","2415"
"1001299832","50991","2000","3270"
"1006135272","J5593","2180","3170"
"1001302197","34742","2400","3314"
"1001302197","A8772","2800","3317"
"1005741793","54520","2100","2868"
"1001299840","54504","2100","2500"
"1001299840","54391","2500","2908"
"1001299821","54616","2000","2330"
"1001296769","02012","2700","3035"
"1001299818","49276","2100","2900"
"1001299818","29743","3149","3166"
"1002942957","04899","3097","3161"
"1005741800","50320","2500","2888"
"1005741801","52292","2000","3112"
"1002942957","46740","3150","3154"
