KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1043940906","15-167-30164-0002","MAIER","1","Mai Oil Operations, Inc.","Mai Oil Operations, Inc.","Hall-Gurney","15","S","14","W","3"," "," ","NW","NW","NW","4949","-4931","SE","-98.8719837","38.7828462","Russell","","","01/26/1999","","EOR","Converted to SWD Well","","1758","KB"," "
"1043969697","15-167-30164-0003","MAIER","1","Mai Oil Operations, Inc.","Mai Oil Operations, Inc.","Hall-Gurney","15","S","14","W","3"," "," ","NW","NW","NW","4949","-4931","SE","-98.8720735","38.7828981","Russell","","","07/05/2011","","SWD","Authorized Injection Well","3365","1758","KB"," "
"1043926017","15-167-07050-0003","A. J. Olson 'C'","3"," ","Fossil Creek Energy, LLC","Hall-Gurney","14","S","14","W","27"," "," ","SE","SE","NW","3297","-2917","SE","-98.8650353","38.8073058","Russell","","","","","EOR","Authorized Injection Well","3015","",""," "
"1001300772","15-167-02656","BOXBERGER TWIN","5","HAYNES, FRED J.","Owen's Pumping Service","Hall-Gurney","14","S","14","W","14"," "," ","SE","SE","SE","330","-330","SE","-98.8370789","38.8283248","Russell","","04/06/1952","05/09/1952","","OIL","Producing","2575","1816","KB"," "
"1006135907","15-167-21573","KEPKA","2","SOUTHERN STATES OIL CO.","","Hall-Gurney","14","S","12","W","33"," "," ","SE","NW","NW","4290","-4290","SE","-98.665825","38.7959822","Russell","","11/25/1980","12/02/1980","","OIL","Converted to EOR Well","3218","1703","KB"," "
"1006136226","15-167-21750","KRUG 'B'","11","ENERGY RESERVES GROUP","Energy Reserves Group, Inc.","Hall-Gurney","14","S","14","W","27"," "," ","SE","SW","SE","330","-1650","SE","-98.8605197","38.7991821","Russell","","07/07/1981","07/17/1981","07/17/1981","D&A","Plugged and Abandoned","3342","1799","KB"," "
"1044856111","15-167-23980","Klusener","28-10","Bennett and Schulte Oil Co.","Bennett & Schulte Oil Co., A General Partnership","Hall-Gurney","15","S","12","W","28"," ","SE","SW","NW","SW","1640","390","SW","-98.6694774","38.715825","Russell","06/13/2014","07/03/2014","07/21/2014","","OIL","Producing","3377","1847","KB","Arbuckle"
"1005741944","15-167-02445","SCHAFFER","2","LOUIS M MAI","Younger Energy Company","Hall-Gurney","14","S","13","W","26"," "," ","SW","NE","NE","-990","-990","NE","-98.7283847","38.8101761","Russell","","08/05/1954","08/15/1954","04/23/2002","OIL-P&A","Plugged and Abandoned","3149","1722","KB"," "
"1028478023"," ","Zeman D","1","Cities Service Oil Company","","Hall-Gurney","15","S","12","W","16"," "," "," "," "," ","","","","-98.6610033","38.7477035","Russell","","","","","OTHER"," ","3076","",""," "
"1028478024"," ","Zeman D","4","Cities Services Oil Company","","Hall-Gurney","15","S","12","W","16"," "," "," "," "," ","","","","-98.6610033","38.7477035","Russell","","","","","OTHER"," ","3112","",""," "
