KID,BARCODE,FACILITY,AISLE,COLUMN,ROW,TOP,BOTTOM,CORE_TYPE,COMMENTS
"1028179704","136453","North Lawrence","21","2","3","2944.6","2946.5","",""
"1006133366","113478","North Lawrence","1","4","5","3264","3267","CORE",""
"1001195241","512331","Lawrence","0","0","0","0","0","CUTTINGS","Basement cuttings collection sample ID: KSBT-091 (2 samples); stored in Parker 17, drawerr KSBT3; no indication of depth; granite"
"1006133396","103138","North Lawrence","1","4","5","3130","3133","","Box 11"
"1006133396","103139","North Lawrence","1","4","5","3339","3342","","14"
"1006133396","103140","North Lawrence","1","4","5","3335","3338","",""
"1006133396","103141","North Lawrence","1","4","5","3332","3335","",""
"1006133396","103142","North Lawrence","1","4","5","3303","3306","",""
"1006133396","103143","North Lawrence","1","4","5","3144","3156","",""
"1006133396","103144","North Lawrence","1","4","5","3180","3187","",""
"1006133396","103145","North Lawrence","1","4","5","3194","3102","",""
"1006133396","103146","North Lawrence","1","4","5","3260","3263","",""
"1006133396","103147","North Lawrence","1","4","5","3341","3343","",""
"1006133396","103148","North Lawrence","1","4","5","3338","3341","",""
"1006133396","103149","North Lawrence","1","4","5","3309","3312","",""
"1006133396","103150","North Lawrence","1","4","5","3133","3136","",""
"1006133366","113432","North Lawrence","1","4","5","3149","3154","BUTT",""
"1006133366","113433","North Lawrence","1","4","5","3236","3239","CORE",""
"1006133366","113434","North Lawrence","1","4","5","3178","3182","BUTT",""
"1006133366","113435","North Lawrence","1","4","5","3235","3236","CORE",""
"1006133396","103155","North Lawrence","1","4","7","3321","3322","",""
"1006133419","119492","North Lawrence","31","1","1","3273","3276","",""
"1006133570","104925","North Lawrence","35","3","3","2231","2236","",""
"1039408552","123202","North Lawrence","28","2","3","2268.5","2272","",""
"1039408552","123203","North Lawrence","28","2","3","1","2","",""
"1039408552","123204","North Lawrence","28","2","3","59","60","",""
"1039408552","123205","North Lawrence","27","2","6","2294","2297.6","",""
"1039408552","123206","North Lawrence","28","2","3","17","18","",""
"1039408552","123207","North Lawrence","27","2","6","2272","2275.8","",""
"1020066130","133637","North Lawrence","12","3","5","2878.8","2881.7","BUTT",""
"1020066130","133638","North Lawrence","12","3","5","2876","2878.8","BUTT",""
"1020066130","133639","North Lawrence","12","3","5","2873","2876","BUTT",""
"1020066130","133640","North Lawrence","12","3","5","2870","2873","BUTT",""
"1020066130","133641","North Lawrence","12","3","5","2890.2","2893.5","BUTT",""
"1039408552","123209","North Lawrence","27","2","6","0","0","",""
"1001303161","124795","North Lawrence","27","2","7","0","0","","S-66   S-67"
"1001303161","124796","North Lawrence","27","2","7","3938","0","",""
"1001303161","124797","North Lawrence","27","2","7","0","0","",""
"1001303161","124798","North Lawrence","27","2","7","0","0","",""
"1001303161","124799","North Lawrence","27","2","7","0","0","",""
"1001303161","124800","North Lawrence","27","2","7","0","0","",""
"1001303161","124801","North Lawrence","27","2","7","3938","0","",""
"1001303161","124802","North Lawrence","27","2","7","0","0","",""
"1001303161","124803","North Lawrence","27","2","7","0","0","",""
