KID,LASFILE
"1030571736","1001178983.las"
"1020066130","1020420938.las"
"1020066130","1020420950.las"
"1006135395","1028091281.las"
"1006137975","1039146449.las"
"1043689748","1043994558.las"
"1042193593","1044597853.las"
"1043564382","1044628889.las"
"1044010696","1044762039.las"
"1043982114","1044741272.las"
"1044015528","1044798845.las"
"1044093262","1044876386.las"
"1044115393","1044859614.las"
"1044636422","1045141775.las"
"1044171341","1044974512.las"
"1044221414","1045008943.las"
"1044221415","1045019177.las"
"1044236073","1044930974.las"
"1044222051","1045019181.las"
"1044592236","1045018766.las"
"1044582616","1045018767.las"
"1044626707","1045387131.las"
"1044593687","1045139693.las"
"1044562523","1045099406.las"
"1044578970","1046089564.las"
"1044578970","1046089599.las"
"1044576528","1045063712.las"
"1044833284","1045112913.las"
"1044916988","1046088607.las"
"1051676551","1051694606.las"
"1047019498","1051972438.las"
"1046444369","1046461951.las"
"1046813516","1051704705.las"
"1044976414","1046437758.las"
"1020066130","1020420935.las"
"1020066130","1020420936.las"
"1020066130","1020420937.las"
"1006137975","1039146450.las"
"1006137975","1039146451.las"
"1030577295","1028405759.las"
"1028308167","1028405760.las"
"1039253882","1043924684.las"
"1037891226","1044096009.las"
"1041103405","1044094610.las"
"1038772477","1044096016.las"
"1038695362","1044096144.las"
"1044041027","1044229291.las"
"1044068193","1044152352.las"
"1044059649","1044819131.las"
"1044044355","1044819407.las"
"1044076553","1044860177.las"
"1044089972","1044818076.las"
"1042907686","1044571135.las"
"1043685897","1044639150.las"
"1042907686","1044571635.las"
"1044248413","1044642775.las"
"1043973550","1044662781.las"
"1044740541","1045113170.las"
"1044093459","1044892118.las"
"1044825596","1045637538.las"
"1044236073","1044930929.las"
"1044236073","1044930992.las"
"1044768461","1045628443.las"
"1044856111","1045637797.las"
"1044562856","1045052906.las"
"1037034739","1046922193.las"
"1046223650","1050377799.las"
"1045143485","1046805144.las"
"1045143485","1046805143.las"
"1045141105","1046801190.las"
"1045141105","1046801199.las"
"1028179704","1028405758.las"
"1001301843","1028091280.las"
"1020066130","1020420939.las"
"1020066130","1020420940.las"
"1020066130","1020420941.las"
"1020066130","1020420942.las"
"1020066130","1020420943.las"
"1020066130","1020420944.las"
"1020066130","1020420945.las"
"1020066130","1020420946.las"
"1020066130","1020420947.las"
"1020066130","1020420948.las"
"1020066130","1020420949.las"
"1020066130","1020420951.las"
"1020066130","1020420952.las"
"1020066130","1020420953.las"
"1020066130","1020420954.las"
"1044093262","1044875634.las"
"1044182464","1044875838.las"
"1044592235","1044761711.las"
"1039147783","1044095502.las"
"1046329142","1046461946.las"
"1044562523","1045099411.las"
"1044920061","1046139791.las"
"1046918618","1046943533.las"
"1045105362","1046530916.las"
"1044724187","1045400147.las"
"1045572134","1046805190.las"
"1044895050","1046111012.las"
