KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1006136895","T14S R14W, Sec. 35,     SW NE NW","Jolly J, Inc.","Col-Kan Development, Inc.","Krug 1","15-167-22103","1771 KB","Rosel                         ","Radiation Guard Log                                                  ","2250","3175","102","Scanned","05/127/1983"
"1031536510","T15S R12W, Sec. 3,     NW SW SE","Gilbert-Stewart Operating LLC","Rama Operating Co., Inc.","LHG 1","15-167-23265","1787 KB","Log-Tech                      ","Dual Induction Log                                                   ","707","3299","111","Scanned","09/259/2004"
"1031536510","T15S R12W, Sec. 3,     NW SW SE","Gilbert-Stewart Operating LLC","Rama Operating Co., Inc.","LHG 1","15-167-23265","1787 KB","Log-Tech                      ","Dual Compensated Porosity Log                                        ","3500","3279","111","Scanned","09/261/2005"
"1031536510","T15S R12W, Sec. 3,     NW SW SE","Gilbert-Stewart Operating LLC","Rama Operating Co., Inc.","LHG 1","15-167-23265","1787 KB","Log-Tech                      ","Sonic Cement Bond Log                                                ","2200","3283","111","Scanned","09/268/2004"
"1031536510","T15S R12W, Sec. 3,     NW SW SE","Gilbert-Stewart Operating LLC","Rama Operating Co., Inc.","LHG 1","15-167-23265","1787 KB","Geologist's Report            ","Well Report                                                          ","720","3300","","Scanned","09/268/2004"
"1044768461","T15S R12W, Sec. 10,   SE NW NW SW","Rama Operating Co., Inc.","Rama Operating Co., Inc.","Beran 1-10","15-167-23949","1822 KB","Pioneer Energy Services","Microresistivity","2700","3373","110","Scanned","02/48/2014"
"1044768461","T15S R12W, Sec. 10,   SE NW NW SW","Rama Operating Co., Inc.","Rama Operating Co., Inc.","Beran 1-10","15-167-23949","1822 KB","Pioneer Energy Services","Microresistivity","2700","3373","110","Scanned","02/48/2014"
"1044768461","T15S R12W, Sec. 10,   SE NW NW SW","Rama Operating Co., Inc.","Rama Operating Co., Inc.","Beran 1-10","15-167-23949","1822 KB","Pioneer Energy Services","Dual Compensated Porosity","2700","3353","110","Scanned","02/48/2014"
"1044768461","T15S R12W, Sec. 10,   SE NW NW SW","Rama Operating Co., Inc.","Rama Operating Co., Inc.","Beran 1-10","15-167-23949","1822 KB","Pioneer Energy Services","Dual Compensated Porosity","2700","3353","110","Scanned","02/48/2014"
"1044768461","T15S R12W, Sec. 10,   SE NW NW SW","Rama Operating Co., Inc.","Rama Operating Co., Inc.","Beran 1-10","15-167-23949","1822 KB","Pioneer Energy Services","Dual Induction","700","3373","110","Scanned","02/48/2014"
"1044768461","T15S R12W, Sec. 10,   SE NW NW SW","Rama Operating Co., Inc.","Rama Operating Co., Inc.","Beran 1-10","15-167-23949","1822 KB","Pioneer Energy Services","Dual Induction","700","3373","110","Scanned","02/48/2014"
"1006138454","T15S R12W, Sec. 17,     NE SW SW","ASHER ASSOCIATES INC","G L M Company","Anschutz 5","15-167-22939","1860 KB","Wire-Tech                     ","Radiation Guard Log                                                  ","760","830","107","Unscanned","01/16/1991"
"1006134989","T14S R14W, Sec. 13,     SW NE SW","STAAB & DREILING OIL CO.","G L M Company","MCCLAIN-WEIDLE 1","15-167-21088","1790 KB","LK Wireline                   ","RA Log                                                               ","200","800","","Unscanned","08/239/1980"
"1001298734","T14S R14W, Sec. 11, C   SW SW NW","Braden & McClure Drilling","G L M Company","BLEHM 1","15-167-06858","1850 DF","Lane-Wells                    ","Radioactivity Log                                                    ","2270","2389","","Unscanned","01/06/1953"
"1001303033","T14S R14W, Sec. 11,       SE NW","Wally's Oilfield Service Co.","G L M Company","BLEHM 2","15-167-02632","1849 KB","Lane-Wells                    ","Gamma Ray Neutron                                                    ","2200","2333","","Unscanned","11/328/1961"
"1006139377","T14S R14W, Sec. 22,     W2 SE SE","Texas Co.","G L M Company","George Boxberger 'A' 2","15-167-30514","1829 KB","Lane-Wells                    ","Gamma Ray Neutron                                                    ","0","3182","","Scanned","11/332/1956"
"1001298667","T14S R14W, Sec. 11,       NE NW","Wally's Oilfield Service Co.","G L M Company","BLEHM 5","15-167-02634","1839 KB","Lane-Wells                    ","Gamma Ray Neutron                                                    ","2200","2432","","Unscanned","12/354/1961"
"1001302399","T14S R14W, Sec. 22,     E2 NE SE","Texas Co.","G L M Company","George Boxberger 'A' 5","15-167-06041","1820 KB","Schlumberger                  ","Electrical Log                                                       ","810","2987","92","Scanned","02/39/1950"
"1006138406","T14S R13W, Sec. 33,     SE SE SE","Prospect Oil & Gas Co.","G L M Company","MICHEL B 1","15-167-22915","1731 KB","L-K Wireline, Inc.            ","Gamma Ray Correlation Bond Log                                       ","2150","3191","","Scanned","08/215/1990"
"1006138406","T14S R13W, Sec. 33,     SE SE SE","Prospect Oil & Gas Co.","G L M Company","MICHEL B 1","15-167-22915","1731 KB","Wire-Tech                     ","Radiation Guard Log                                                  ","2200","3249","105","Scanned","07/191/1990"
"1042436140","T14S R13W, Sec. 33,     S2 NW SE","Smokey Hill Oil Co","G L M Company","Michel 8","15-167-19351","1720 KB","Lane-Wells                    ","Radioactivity Log                                                    ","2100","3171","","Scanned","01/12/1960"
"1001295357","T14S R13W, Sec. 21,     SE SW SE","El Capitan Oil Co Inc","G L M Company","GRAHAM 2","15-167-05858","1757 DF","Lane-Wells                    ","Radioactivity Log                                                    ","2200","2949","","Scanned","11/319/1947"
"1001302861","T14S R13W, Sec. 21,     NE SW SE","JAYHAWK WELL SERVICING CO","G L M Company","GRAHAM B 2","15-167-02328","1765 KB","Lane-Wells                    ","Radioactivity Log                                                    ","2200","2308","","Scanned","08/218/1952"
"1033938063","T14S R13W, Sec. 10,     SW SW SW","YOST OIL OPERATIONS INC","G L M Company","DUMLER 'D' 1","15-167-00193-0001","1798 DF","LK Wireline                   ","Gamma Ray Collar                                                     ","120","565","","Unscanned","06/152/1982"
"1006136525","T14S R13W, Sec. 10,     NW SW SW","YOST OIL OPERATIONS","G L M Company","DUMLER 'D' 1","15-167-21902","1807 KB","LK Wireline                   ","RA Log                                                               ","2100","2395","","Unscanned","04/114/1982"
"1001304470","T15S R12W, Sec. 29,     N2 NW NE","CENTRAL PETROLEUM","G L M Company","STEINLE 1","15-167-08446","1865 DF","Dresser Atlas                 ","Gamma Ray Neutron                                                    ","2250","3322","","Unscanned","08/236/1971"
"1002944003","T15S R12W, Sec. 20,     SE SE SW","SOHIO PETROLEUM CO.","G L M Company","ANSCHUTZ A 1","15-167-08420-0001","1864 KB","Lane-Wells                    ","Radioactivity Log                                                    ","2600","3310","","Unscanned","03/67/1955"
"1001300202","T15S R12W, Sec. 8,     SE NW NE","BENNETT & ROBERTS DRILLING CO.","G L M Company","MAJOR 1","15-167-03091","1812 KB","Lane-Wells                    ","Radioactivity Log                                                    ","2200","3200","","Scanned","03/74/1959"
"1044193108","T15S R12W, Sec. 5,     NW NW SE"," ","G L M Company","MAJOR 1 or 3","15-167-45729","1818 KB","Schlumberger                  ","Laterolog Gamma Ray                                                  ","333","3299","100","Unscanned","06/158/1960"
"1044193108","T15S R12W, Sec. 5,     NW NW SE"," ","G L M Company","MAJOR 1 or 3","15-167-45729","1818 KB","Schlumberger                  ","Microlaterolog                                                       ","2900","3301","100","Unscanned","06/158/1960"
"1001304416","T15S R12W, Sec. 5,     NE NW NW","SHELL OIL CO.","G L M Company","VEJL, F.  5","15-167-08383","1824 DF","Lane-Wells                    ","Radioactivity Log                                                    ","0","3172","","Unscanned","09/252/1956"
"1001304416","T15S R12W, Sec. 5,     NE NW NW","SHELL OIL CO.","G L M Company","VEJL, F.  5","15-167-08383","1824 DF","Schlumberger                  ","Electrical Log                                                       ","741","3278","","Unscanned","04/117/1948"
"1001304414","T15S R12W, Sec. 5,     NW NW NW","SHELL OIL CO.","G L M Company","VEJL, F.  9","15-167-08381","1831 DF","Lane-Wells                    ","Radioactivity Log                                                    ","0","3097","","Unscanned","11/306/1956"
"1001304413","T15S R12W, Sec. 5,   W2 NE NE NW","SHELL OIL CO.","G L M Company","VEJL, F.  10","15-167-08380","1766 KB","Lane-Wells                    ","Radioactivity Log                                                    ","0","3049","","Unscanned","11/312/1956"
"1001300198","T15S R12W, Sec. 6,     S2 NE NW","TEXAS CO.","G L M Company","STEINERT, S. K.  1","15-167-03087","1743 DF","Lane-Wells                    ","Radioactivity Log                                                    ","2100","3178","","Scanned","07/200/1952"
"1044190857","T15S R12W, Sec. 6,   W2 NE NE NW","TEXAS CO.","G L M Company","STEINERT, S. K.  3","15-167-37369","1736 KB","Lane-Wells                    ","Radioactivity Log                                                    ","0","3014","","Scanned","08/241/1952"
"1044190857","T15S R12W, Sec. 6,   W2 NE NE NW","TEXAS CO.","G L M Company","STEINERT, S. K.  3","15-167-37369","1736 KB","Schlumberger                  ","Laterolog Survey                                                     ","690","3194","101","Scanned","08/234/1952"
"1006136295","T14S R12W, Sec. 33,   E2 SE NE NW","SOUTHERN STATES OIL CO.","G L M Company","WEINHOLD, G.  2","15-167-21783","1711 KB","L-K Wireline, Inc.            ","RA Log                                                               ","2100","3200","","Scanned","11/316/1981"
"1006135459","T14S R12W, Sec. 33,     NE NW NW","Icer Addis Oil Operations","G L M Company","KEPKA 1","15-167-21334","1712 KB","Petro-Log                     ","Gamma Ray Neutron                                                    ","2100","3174","","Scanned","08/215/1979"
"1006136976","T14S R12W, Sec. 29,     E2 NW SE","Great Bend Oil Producers","G L M Company","Kepka Heirs A-1","15-167-22147","1695 KB","Electra Log Inc.              ","Radiation Guard Log                                                  ","2150","3049","109","Unscanned","06/174/1983"
"1006136976","T14S R12W, Sec. 29,     E2 NW SE","Great Bend Oil Producers","G L M Company","Kepka Heirs A-1","15-167-22147","1695 KB","Electra Log Inc.              ","Correlation Log Sonic Cement Bond Log                                ","2000","2265","","Unscanned","07/182/1983"
"1006137070","T14S R12W, Sec. 29,     N2 N2 SE","Great Bend Oil Producers","G L M Company","Kepka Heirs A-2","15-167-22196","1672 KB","Electra Log Inc.              ","Radiation Guard Log                                                  ","1800","2242","110","Unscanned","09/248/1983"
"1006136293","T14S R12W, Sec. 28,     SW SE SW","Sothern States Oil Co.","G L M Company","Weinhold, E.  2","15-167-21782","1693 KB","L-K Wireline, Inc.            ","RA Log                                                               ","2100","3194","","Unscanned","11/316/1981"
"1006137070","T14S R12W, Sec. 29,     N2 N2 SE","Great Bend Oil Producers","G L M Company","Kepka Heirs A-2","15-167-22196","1672 KB","Electra Log Inc.              ","Correlation Log Sonic Cement Bond Log                                ","1800","2207","","Unscanned","09/262/1983"
"1036871639","T15S R12W, Sec. 24,     SW NE NW","G L M Company","G L M Company","Brown 5","15-167-23428","1859 KB","Log-Tech                      ","Dual Compensated Porosity Log                                        ","2500","3267","108","Scanned","05/146/2007"
"1036871639","T15S R12W, Sec. 24,     SW NE NW","G L M Company","G L M Company","Brown 5","15-167-23428","1859 KB","Log-Tech                      ","Microresistivity Log                                                 ","2500","3286","108","Scanned","05/146/2007"
"1036871639","T15S R12W, Sec. 24,     SW NE NW","G L M Company","G L M Company","Brown 5","15-167-23428","1859 KB","Log-Tech                      ","Sonic Cement Bond Log                                                ","2000","3209","108","Scanned","06/162/2007"
"1036871639","T15S R12W, Sec. 24,     SW NE NW","G L M Company","G L M Company","Brown 5","15-167-23428","1859 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2500","3290","","Scanned","05/146/2007"
"1036871639","T15S R12W, Sec. 24,     SW NE NW","G L M Company","G L M Company","Brown 5","15-167-23428","1859 KB","Log-Tech                      ","Dual Induction Log                                                   ","400","3286","108","Scanned","05/146/2007"
"1044576528","T15S R12W, Sec. 4,   SW NE NE NE","G L M Company","G L M Company","Major 5","15-167-23888","1752 KB","Gemini Wireline","Dual Induction","300","3254","112","Scanned","07/184/2013"
"1044576528","T15S R12W, Sec. 4,   SW NE NE NE","G L M Company","G L M Company","Major 5","15-167-23888","1752 KB","Gemini Wireline","Dual Induction","300","3254","112","Scanned","07/184/2013"
"1044576528","T15S R12W, Sec. 4,   SW NE NE NE","G L M Company","G L M Company","Major 5","15-167-23888","1752 KB","Gemini Wireline","Micro Resistivity","1900","3254","112","Scanned","07/184/2013"
"1044576528","T15S R12W, Sec. 4,   SW NE NE NE","G L M Company","G L M Company","Major 5","15-167-23888","1752 KB","Gemini Wireline","Micro Resistivity","1900","3254","112","Scanned","07/184/2013"
"1044576528","T15S R12W, Sec. 4,   SW NE NE NE","G L M Company","G L M Company","Major 5","15-167-23888","1752 KB","Gemini Wireline","Compensated Density Neutron","1900","3233","112","Scanned","07/184/2013"
"1044576528","T15S R12W, Sec. 4,   SW NE NE NE","G L M Company","G L M Company","Major 5","15-167-23888","1752 KB","Gemini Wireline","Compensated Density Neutron","1900","3233","112","Scanned","07/184/2013"
"1035119535","T14S R13W, Sec. 23,     S2 SW SE","STANOLIND OIL & GAS CO","Tri United, Inc","BOND, JAMES  'B' 1","15-167-37872","1734 KB","Lane-Wells                    ","Radioactivity Log                                                    ","2000","2933","","Scanned","02/47/1950"
"1008405071","T14S R14W, Sec. 2, C     NW NW","KEYSTONE PETROLEUM CO.","Sloan Operations","Boxberger 3","15-167-02582","1835 KB","Great Guns                    ","Electric Log                                                         ","2900","3092","","Unscanned","01/10/1961"
"1032491940","T15S R12W, Sec. 27,     W2 W2 SW","Norstar Petroleum, Inc.","Russell Oil, Inc.","Pfister-Kaufman Unit 1-27","15-167-23281","1776 KB","Log-Tech                      ","Dual Induction Log                                                   ","238","3213","110","Scanned","04/117/2005"
"1032491940","T15S R12W, Sec. 27,     W2 W2 SW","Norstar Petroleum, Inc.","Russell Oil, Inc.","Pfister-Kaufman Unit 1-27","15-167-23281","1776 KB","Log-Tech                      ","Dual Compensated Porosity Log                                        ","2500","3193","110","Scanned","04/117/2005"
