"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1044142459","E4961","3500","4700"
"1044188982","H0152","3500","4050"
"1044188982","H0157","4050","4750"
"1044223366","E5942","3490","3700"
"1044223366","E5943","3700","4740"
"1044243826","E6024","3480","3610"
"1044243826","E6025","3610","3985"
"1044243826","E6027","3985","4680"
"1044246635","E6129","3770","4735"
"1044246635","E6125","3490","3770"
"1044261978","E6233","3450","4010"
"1044261978","E6240","4010","4650"
"1044563789","E6307","3450","4300"
"1044563789","E6310","4300","4900"
"1044703500","E7381","3560","4840"
"1044755357","E7468","3570","4850"
"1044774405","E7681","3410","4180"
"1044774405","E7683","4180","4660"
"1044787604","E7789","3400","4060"
"1044787604","E7804","4060","4610"
"1044826773","57264","3500","4480"
"1044826773","57265","4480","4720"
"1044834316","57217","3510","4100"
"1044834316","57223","4100","4740"
"1044844199","57270","3390","4210"
"1044844199","57272","4210","4620"
"1044872255","E8259","4450","4735"
"1044872255","E8258","3490","4450"
"1044881425","E8447","3600","3940"
"1044881425","E8463","3940","4650"
"1044901569","E8629","3590","4220"
"1044901569","E8625","4220","4600"
"1044975922","E9342","3490","4470"
"1044975922","E9344","4470","4730"
"1044982963","E9281","3530","4410"
"1044982963","E9282","4410","4760"
"1044994062","E9428","3510","4110"
"1044994062","E9429","4110","4760"
"1044994063","E9344","4200","4675"
"1044994063","E9341","3450","4200"
"1044998914","E9445","3500","3840"
"1044998914","E9433","3840","4740"
