KID,LASFILE
"1044142459","1044230161.las"
"1044188982","1044241791.las"
"1044223366","1045064160.las"
"1044243826","1045086786.las"
"1044246635","1045064008.las"
"1044261978","1045086674.las"
"1044563789","1045117636.las"
"1044583521","1044891035.las"
"1044583876","1046076991.las"
"1044703500","1044839019.las"
"1044755357","1045650391.las"
"1044774405","1046077050.las"
"1044787604","1046076972.las"
"1044797743","1046089586.las"
"1044826773","1046103813.las"
"1044834316","1046103848.las"
"1044844199","1046103806.las"
"1044872255","1046123855.las"
"1044881425","1046140078.las"
"1044901569","1046139995.las"
"1044982963","1046473149.las"
"1044994062","1046473106.las"
"1044994063","1046473125.las"
"1044998914","1046480368.las"
