KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1044142459","T1S R37W, Sec. 9,   SW NE SE NE","Berexco, LLC","BEREXCO LLC","Mears 'A' 1-9","15-023-21354","3140 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","3000","5142","","Scanned","08/223/2012"
"1044142459","T1S R37W, Sec. 9,   SW NE SE NE","Berexco, LLC","BEREXCO LLC","Mears 'A' 1-9","15-023-21354","3140 KB","Pioneer Energy Services","Microresistivity","3300","5083","127","Scanned","09/253/2012"
"1044188982","T1S R37W, Sec. 9,   NW SE NE SE","Berexco, LLC","BEREXCO LLC","Mears 'A' 2-9","15-023-21356","3254 KB","Pioneer Energy Services","Microresistivity","3500","4759","124","Scanned","11/334/2012"
"1044188982","T1S R37W, Sec. 9,   NW SE NE SE","Berexco, LLC","BEREXCO LLC","Mears 'A' 2-9","15-023-21356","3254 KB","Pioneer Energy Services","Microresistivity","3500","4759","124","Scanned","11/334/2012"
"1044223366","T1S R37W, Sec. 9,   W2 E2 NW SE","Berexco, LLC","BEREXCO LLC","Mears 'B' 1-9","15-023-21359","3237 KB","Pioneer Energy Services","Microresistivity","3500","4737","123","Scanned","03/68/2013"
"1044223366","T1S R37W, Sec. 9,   W2 E2 NW SE","Berexco, LLC","BEREXCO LLC","Mears 'B' 1-9","15-023-21359","3237 KB","Pioneer Energy Services","Microresistivity","3500","4737","123","Scanned","03/68/2013"
"1044243826","T1S R37W, Sec. 10,       NW SW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Patti 2-10","15-023-21363","3176 KB","Pioneer Energy Services","Microresistivity","3450","4679","123","Scanned","04/111/2013"
"1044243826","T1S R37W, Sec. 10,       NW SW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Patti 2-10","15-023-21363","3176 KB","Pioneer Energy Services","Microresistivity","3450","4679","123","Scanned","04/111/2013"
"1044246635","T1S R37W, Sec. 10,   S2 N2 SW NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Patti 1-10","15-023-21364","3200 KB","Pioneer Energy Services","Microresistivity","3500","4735","123","Scanned","05/124/2013"
"1044246635","T1S R37W, Sec. 10,   S2 N2 SW NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Patti 1-10","15-023-21364","3200 KB","Pioneer Energy Services","Microresistivity","3500","4735","123","Scanned","05/124/2013"
"1044261978","T1S R37W, Sec. 10,   NE SW SE NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Culwell 'C' 1-10","15-023-21367","3150 KB","Pioneer Energy Services","Microresistivity","3450","4647","123","Scanned","06/154/2013"
"1044261978","T1S R37W, Sec. 10,   NE SW SE NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Culwell 'C' 1-10","15-023-21367","3150 KB","Pioneer Energy Services","Microresistivity","3450","4647","123","Scanned","06/154/2013"
"1044563789","T1S R37W, Sec. 11,   SW NE SW SW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Culwell 'B' 1-11","15-023-21369","3146 KB","Pioneer Energy Services","Microresistivity","3450","4901","125","Scanned","06/166/2013"
"1044563789","T1S R37W, Sec. 11,   SW NE SW SW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Culwell 'B' 1-11","15-023-21369","3146 KB","Pioneer Energy Services","Microresistivity","3450","4901","125","Scanned","06/166/2013"
"1044583521","T1S R37W, Sec. 9,   SW NE SE SE","Berexco, LLC","BEREXCO LLC","Mears 'A' 3-9","15-023-21370","3263 KB","Pioneer Energy Services","Microresistivity","3500","4758","124","Scanned","04/92/2014"
"1044583521","T1S R37W, Sec. 9,   SW NE SE SE","Berexco, LLC","BEREXCO LLC","Mears 'A' 3-9","15-023-21370","3263 KB","Pioneer Energy Services","Microresistivity","3500","4758","124","Scanned","04/92/2014"
"1044583876","T1S R37W, Sec. 9,       NW NE","Berexco, LLC","BEREXCO LLC","Mears 'A' 4-9","15-023-21371","3153 KB","Pioneer Energy Services","Microresistivity","3500","4634","122","Scanned","03/79/2014"
"1044583876","T1S R37W, Sec. 9,       NW NE","Berexco, LLC","BEREXCO LLC","Mears 'A' 4-9","15-023-21371","3153 KB","Pioneer Energy Services","Microresistivity","3500","4634","122","Scanned","03/79/2014"
"1044703500","T1S R37W, Sec. 9,   SW NE SW SW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Jones 'B' 1-9","15-023-21375","3253 KB","Pioneer Energy Services","Microresistivity","3550","4832","124","Scanned","01/02/2014"
