KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Stone Corral Anhydrite","3088","3122","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Foraker","3656","","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Topeka","3876","","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Oread","4010","","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Lansing A","4092","","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Lansing B","4148","","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Lansing C","4202","","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Lansing D","4246","","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Lansing E","4294","","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Lansing F","4336","","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Pawnee","4486","","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Cherokee","4544","","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Granite Wash","5107","","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Granite","5116","","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Mississippian","4806","","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Arbuckle","4968","","ACO-1/Driller's Log","03/23/2013"
"1044142459","15-023-21354","-101.46909","39.98328","3140","KB","Reagan Sand","5048","","ACO-1/Driller's Log","03/23/2013"
"1044188982","15-023-21356","-101.4692","39.97928","3254","KB","Anhydrite","3208","3240","Completion Form","12/12/2021"
"1044188982","15-023-21356","-101.4692","39.97928","3254","KB","Foraker","3774","","Completion Form","12/12/2021"
"1044188982","15-023-21356","-101.4692","39.97928","3254","KB","Topeka","3998","","Completion Form","12/12/2021"
"1044188982","15-023-21356","-101.4692","39.97928","3254","KB","Oread","4130","","Completion Form","12/12/2021"
"1044188982","15-023-21356","-101.4692","39.97928","3254","KB","Lansing","4210","","Completion Form","12/12/2021"
"1044188982","15-023-21356","-101.4692","39.97928","3254","KB","LKC B","4270","","Completion Form","12/12/2021"
"1044188982","15-023-21356","-101.4692","39.97928","3254","KB","LKC C","4324","","Completion Form","12/12/2021"
"1044188982","15-023-21356","-101.4692","39.97928","3254","KB","LKC D","4366","","Completion Form","12/12/2021"
"1044188982","15-023-21356","-101.4692","39.97928","3254","KB","LKC E","4412","","Completion Form","12/12/2021"
"1044188982","15-023-21356","-101.4692","39.97928","3254","KB","LKC F","4455","","Completion Form","12/12/2021"
"1044188982","15-023-21356","-101.4692","39.97928","3254","KB","Pawnee","4606","","Completion Form","12/12/2021"
"1044188982","15-023-21356","-101.4692","39.97928","3254","KB","Cherokee","4666","","Completion Form","12/12/2021"
"1044223366","15-023-21359","-101.47375","39.97924","3237","KB","Anhydrite","3184","3220","Completion Form","12/12/2021"
"1044223366","15-023-21359","-101.47375","39.97924","3237","KB","Foraker","3750","","Completion Form","12/12/2021"
"1044223366","15-023-21359","-101.47375","39.97924","3237","KB","Topeka","3974","","Completion Form","12/12/2021"
"1044223366","15-023-21359","-101.47375","39.97924","3237","KB","Oread","4106","","Completion Form","12/12/2021"
"1044223366","15-023-21359","-101.47375","39.97924","3237","KB","Lansing","4188","","Completion Form","12/12/2021"
