KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1044223366","15-023-21359","Mears 'B'","1-9","Berexco, LLC","BEREXCO LLC","Jones Canyon Southeast","1","S","37","W","9"," ","W2","E2","NW","SE","1980","-1940","SE","-101.47375","39.97924","Cheyenne","02/08/2013","02/24/2013","06/08/2013","","OIL","Producing","4740","3237","KB","Lansing"
"1044797743","15-023-21387","Deyle","1-11","Berexco, LLC","BEREXCO LLC","Jones Canyon Southeast","1","S","37","W","11"," ","NW","SE","NW","NW","-820","730","NW","-101.44566","39.98586","Cheyenne","03/21/2014","04/06/2014","07/01/2014","","OIL","Producing","4685","3227","KB","Lansing-Kansas City, Pawnee"
"1044826773","15-023-21390","Mears 'B'","2-9","Berexco, LLC","BEREXCO LLC","Jones Canyon Southeast","1","S","37","W","9"," ","SW","NE","SW","SE","780","-1830","SE","-101.4734","39.97594","Cheyenne","04/23/2014","05/21/2014","07/11/2014","","OIL","Producing","4715","3278","KB","Lansing"
"1044994063","15-023-21423","Culwell 'C'","2-10","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Jones Canyon Southeast","1","S","37","W","10"," ","SW","NE","NE","SW","2000","2080","SW","-101.4592916","39.9792354","Cheyenne","02/26/2015","03/09/2015","04/16/2015","","OIL","Producing","4675","3152","KB","Lansing-Kansas City"
"1044844199","15-023-21393","Theron","2-10","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Jones Canyon Southeast","1","S","37","W","10"," "," ","W2","SW","SE","660","-2310","SE","-101.456293","39.9755476","Cheyenne","05/16/2014","05/28/2014","07/15/2014","","OIL","Producing","4620","3103","KB","Lansing-Kansas City"
"1044881425","15-023-21405","Mears 'E'","1-15","Berexco LLC","BEREXCO LLC","Jones Canyon Southeast","1","S","37","W","15"," ","SW","NE","NW","NW","-580","700","NW","-101.46432","39.9722","Cheyenne","07/30/2014","09/06/2014","10/03/2014","","OIL","Producing","4651","3156","KB","Pawnee"
"1044901569","15-023-21412","Deyle","1-10","BEREXCO LLC","BEREXCO LLC","Jones Canyon Southeast","1","S","37","W","10"," ","NE","SW","NE","NE","-900","-900","NE","-101.45152","39.98567","Cheyenne","09/11/2014","09/18/2014","11/25/2014","","OIL","Producing","4600","3123","KB","Pawnee"
"1044998914","15-023-21424","Culwell 'F'","1-14","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Wildcat","1","S","37","W","14"," "," ","N2","NW","NW","-330","660","NW","-101.4456647","39.9727955","Cheyenne","03/18/2015","04/06/2015","06/01/2015","","OIL","Producing","4740","3214","KB","Lansing-Kansas City"
"1044703500","15-023-21375","Jones 'B'","1-9","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Jones Canyon Southeast","1","S","37","W","9"," ","SW","NE","SW","SW","710","710","SW","-101.4827428","39.9757456","Cheyenne","12/04/2013","12/16/2013","02/21/2014","","OIL","Producing","4835","3253","KB","Lansing-Kansas City"
"1044975922","15-023-21420","Culwell 'C'","3-10","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Jones Canyon Southeast","1","S","37","W","10"," "," "," ","SE","SW","660","1980","SW","-101.4596135","39.9755585","Cheyenne","01/29/2015","02/05/2015","03/20/2015","","OIL","Producing","4730","3200","KB","Lansing-Kansas City"
"1044872255","15-023-21401","Theron","3-10","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Jones Canyon Southeast","1","S","37","W","10"," "," "," ","SE","SE","660","-660","SE","-101.4504066","39.9755283","Cheyenne","07/10/2014","07/16/2014","08/04/2014","","OIL","Producing","4735","3198","KB","Lansing-Kansas City"
"1044994062","15-023-21422","Theron","4-10","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Jones Canyon Southeast","1","S","37","W","10"," "," "," ","NE","SE","1980","-660","SE","-101.4504526","39.9791516","Cheyenne","02/24/2015","03/24/2015","04/27/2015","","OIL","Producing","4762","3227","KB","Lansing-Kansas City"
"1044243826","15-023-21363","Patti","2-10","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Jones Canyon Southeast","1","S","37","W","10"," "," "," ","NW","SW","1980","660","SW","-101.4643569","39.9791971","Cheyenne","04/04/2013","04/11/2013","05/20/2013","","OIL","Producing","4680","3176","KB","Lansing"
"1044246635","15-023-21364","Patti","1-10","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Jones Canyon Southeast","1","S","37","W","10"," ","S2","N2","SW","NW","-1820","660","NW","-101.4643946","39.9832377","Cheyenne","04/15/2013","04/24/2013","06/07/2013","","OIL","Producing","4735","3200","KB","Lansing"
"1044563789","15-023-21369","Culwell 'B'","1-11","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Jones Canyon Southeast","1","S","37","W","11"," ","SW","NE","SW","SW","850","700","SW","-101.4455614","39.976034","Cheyenne","05/28/2013","06/05/2013","07/26/2013","","OIL","Producing","4900","3146","KB","Lansing"
"1044261978","15-023-21367","Culwell 'C'","1-10","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Jones Canyon Southeast","1","S","37","W","10"," ","NE","SW","SE","NW","-2190","1680","NW","-101.4607453","39.9821951","Cheyenne","05/16/2013","05/24/2013","07/17/2013","","OIL","Producing","4650","3150","KB","Lansing"
"1044755357","15-023-21377","Patricia","2-16","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Wildcat","1","S","37","W","16"," "," "," ","NW","NW","-660","660","NW","-101.4828789","39.9719855","Cheyenne","01/09/2014","01/17/2014","02/27/2014","","OIL","Producing","4850","3264","KB","Lansing-Kansas City"
"1044787604","15-023-21385","Theron","1-10","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Jones Canyon Southeast","1","S","37","W","10"," ","NE","SW","NW","SE","1900","-2200","SE","-101.4559438","39.97895","Cheyenne","03/11/2014","03/12/2014","05/07/2014","","OIL","Producing","4620","3111","KB","Lansing-Kansas City"
"1044142459","15-023-21354","Mears 'A'","1-9","Berexco, LLC","BEREXCO LLC","Jones Canyon Southeast","1","S","37","W","9"," ","SW","NE","SE","NE","-1820","-620","NE","-101.46909","39.98328","Cheyenne","08/02/2012","08/27/2012","01/03/2013","","OIL","Producing","5142","3140","KB","Lansing"
"1044834316","15-023-21391","Jones 'B'","3-9","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Jones Canyon Southeast","1","S","37","W","9"," "," "," ","NE","NW","-660","1980","NW","-101.4783801","39.9864959","Cheyenne","05/02/2014","05/14/2014","07/17/2014","","OIL","Producing","4740","3212","KB","Lansing-Kansas City"
"1044583876","15-023-21371","Mears 'A'","4-9","Berexco, LLC","BEREXCO LLC","Jones Canyon Southeast","1","S","37","W","9"," "," "," ","NW","NE","-660","-1980","NE","-101.47395","39.98648","Cheyenne","07/19/2013","03/09/2014","05/20/2014","","OIL","Producing","4620","3153","KB","Lansing"
"1044774405","15-023-21383","Culwell 'JT'","1-11","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Wildcat","1","S","37","W","11"," "," "," ","SW","NW","-1980","660","NW","-101.4457878","39.9826608","Cheyenne","02/19/2014","02/27/2014","05/29/2014","","OIL","Producing","4660","3134","KB","Lansing-Kansas City"
"1044188982","15-023-21356","Mears 'A'","2-9","Berexco, LLC","BEREXCO LLC","Jones Canyon Southeast","1","S","37","W","9"," ","NW","SE","NE","SE","1970","-635","SE","-101.4692","39.97928","Cheyenne","11/02/2012","08/26/2012","01/03/2013","","OIL","Producing","4754","3254","KB","Lansing"
"1044982963","15-023-21421","Patti","3-10","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Jones Canyon Southeast","1","S","37","W","10"," "," "," ","SW","SW","660","660","SW","-101.4643226","39.9755739","Cheyenne","02/13/2015","02/25/2015","03/30/2015","","OIL","Producing","4760","3233","KB","Lansing-Kansas City"
"1044583521","15-023-21370","Mears 'A'","3-9","Berexco, LLC","BEREXCO LLC","Jones Canyon Southeast","1","S","37","W","9"," ","SW","NE","SE","SE","780","-640","SE","-101.4692","39.97592","Cheyenne","07/18/2013","03/22/2014","05/29/2014","","OIL","Producing","4759","3263","KB","Lansing"
