KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1037989766","T17S R11W, Sec. 22,     SE SW SE","Samuel Gary Jr. and Assoc., Inc.","Samuel Gary Jr. & Associates, Inc.","Radenberg 1-22","15-009-25192","1838 KB","Log-Tech                      ","Dual Induction Log                                                   ","350","3361","111","Scanned","04/111/2008"
"1037989766","T17S R11W, Sec. 22,     SE SW SE","Samuel Gary Jr. and Assoc., Inc.","Samuel Gary Jr. & Associates, Inc.","Radenberg 1-22","15-009-25192","1838 KB","Log-Tech                      ","Sonic Cement Bond Log                                                ","2250","3332","111","Scanned","04/119/2008"
"1037989766","T17S R11W, Sec. 22,     SE SW SE","Samuel Gary Jr. and Assoc., Inc.","Samuel Gary Jr. & Associates, Inc.","Radenberg 1-22","15-009-25192","1838 KB","Log-Tech                      ","Dual Compensated Porosity Log                                        ","1500","3342","111","Scanned","04/111/2008"
"1037989766","T17S R11W, Sec. 22,     SE SW SE","Samuel Gary Jr. and Assoc., Inc.","Samuel Gary Jr. & Associates, Inc.","Radenberg 1-22","15-009-25192","1838 KB","Log-Tech                      ","Borehole Compensated Sonic                                           ","350","3348","111","Scanned","04/111/2008"
"1037989766","T17S R11W, Sec. 22,     SE SW SE","Samuel Gary Jr. and Assoc., Inc.","Samuel Gary Jr. & Associates, Inc.","Radenberg 1-22","15-009-25192","1838 KB","Log-Tech                      ","Microresistivity Log                                                 ","1500","3361","111","Scanned","04/111/2008"
"1037989766","T17S R11W, Sec. 22,     SE SW SE","Samuel Gary Jr. and Assoc., Inc.","Samuel Gary Jr. & Associates, Inc.","Radenberg 1-22","15-009-25192","1838 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2400","3360","","Scanned","04/111/2008"
"1006024488","T16S R11W, Sec. 20,     SW NE SE","KAHAN, LOUIS","Kahan and Associates, Inc","PRUSA, MARY  9","15-009-22054","1886 KB","Great Guns                    ","RA Guard Log                                                         ","2200","3307","110","Scanned","09/268/1980"
"1001199310","T16S R11W, Sec. 21,     SW NE NW","SINCLAIR OIL & GAS CO.","Kahan and Associates, Inc","LAUDICK, MARTHA  4","15-009-15018","1864 KB","Schlumberger                  ","Electrical Log                                                       ","203","3301","86","Unscanned","02/33/1951"
"1001199214","T16S R11W, Sec. 20,     NW SW NE","SINCLAIR OIL & GAS CO.","Kahan and Associates, Inc","PRUSA, JOE  7","15-009-03068","1836 KB","Schlumberger                  ","Electrical Log                                                       ","286","3280","98","Scanned","09/273/1961"
"1001198099","T16S R11W, Sec. 17,     NE SE SW","SINCLAIR OIL & GAS CO.","Kahan and Associates, Inc","OESER, MARTHA  5","15-009-07276","1882 KB","Schlumberger                  ","Electrical Log                                                       ","291","3277","91","Unscanned","06/161/1951"
"1001198150","T16S R11W, Sec. 17,     SW NW SE","SINCLAIR OIL & GAS CO.","Kahan and Associates, Inc","OESER, EDWARD  5","15-009-07464","1869 KB","Schlumberger                  ","Electrical Log                                                       ","256","3352","99","Unscanned","06/154/1951"
"1001198203","T16S R11W, Sec. 17,     SE NE SW","SINCLAIR OIL & GAS CO.","Kahan and Associates, Inc","OESER, MARTHA  6","15-009-07465","1869 KB","Schlumberger                  ","Electrical Log                                                       ","295","3293","105","Unscanned","09/257/1951"
"1006024016","T16S R11W, Sec. 21,     SW NW NE","Louis Kahn","Kahan and Associates, Inc","Laudick 'A' 1 TWIN","15-009-21806","1893 KB","L-K Wireline, Inc.            ","RA Log                                                               ","15","3669","","Scanned","01/16/1980"
"1001199007","T16S R11W, Sec. 20,     NE SW NW","Sinclair Prairie Oil Co.","Kahan and Associates, Inc","SCHMITT, PETER  4","15-009-03074","1887 DF","Lane-Wells                    ","Radioactivity Log                                                    ","0","3316","","Scanned","03/65/1954"
"1001199207","T16S R11W, Sec. 20,     SW SW NE","SINCLAIR OIL & GAS CO.","Kahan and Associates, Inc","PRUSA, JOE  8","15-009-03069","1849 KB","Lane-Wells                    ","Radioactivity Log                                                    ","0","3296","","Scanned","03/60/1954"
"1001198212","T16S R11W, Sec. 17,   NW SE SE SW","Sinclair Prairie Oil Co.","Kahan and Associates, Inc","OESER, MARTHA  1","15-009-15177","1880 DF","Lane-Wells                    ","Radioactivity Log                                                    ","0","3007","","Unscanned","09/271/1954"
"1001198184","T16S R11W, Sec. 17,     NW NW SW","Sinclair Prairie Oil Co.","Kahan and Associates, Inc","OESER, MARTHA  2","15-009-15178","1884 DF","Lane-Wells                    ","Radioactivity Log                                                    ","0","3313","","Unscanned","05/127/1954"
"1005750416","T16S R11W, Sec. 17,     NW SW SE","GRAHAM MESSMAN & RINEHAR","Kahan and Associates, Inc","OESER,  ALBERT EAST 1","15-009-07121","1882 KB","Lane-Wells                    ","Radioactivity Log                                                    ","0","3265","","Unscanned","03/78/1951"
"1001198290","T16S R11W, Sec. 17,     SW SE SW","CLARK KNIGHT DRLG CO","Kahan and Associates, Inc","OESER, ALBERT WEST 1","15-009-03034","1877 KB","Lane-Wells                    ","Radioactivity Log                                                    ","0","3292","","Unscanned","09/260/1958"
"1001198756","T16S R11W, Sec. 18,     SE SE NE","Solar Oil Corp.","Kahan and Associates, Inc","Schartz 1","15-009-15185","1883 DF","Lane-Wells                    ","Gamma Ray Neutron                                                    ","0","3293","","Scanned","09/273/1953"
"1042762142","T16S R11W, Sec. 20,       NW NE","Kahan and Associates, Inc","Kahan and Associates, Inc","Prusa, Joe  10","15-009-25467","1840 KB","Log-Tech                      ","Cement Bond Log                                                      ","1750","3287","","Scanned","10/281/2010"
"1042762141","T16S R11W, Sec. 20,   E2 NW NE SE","KAHAN AND ASSOCIATES, INC","Kahan and Associates, Inc","PRUSA, MARY  10","15-009-25466","1890 GL","Log-Tech                      ","Cement Bond Log                                                      ","1843","3350","","Scanned","10/278/2010"
"1044950058","T16S R11W, Sec. 29,     W2 SE SE","Kahan and Associates, Inc","Kahan and Associates, Inc","Oeser, R  1","15-009-26071","1916 KB","Log-Tech                      ","Cement Bond Log                                                      ","2150","3336","","Scanned","02/41/2015"
"1037351634","T16S R11W, Sec. 29,     NE NE NE","Kahan and Associates, Inc","Kahan and Associates, Inc","Seyfert 'A' 14","15-009-25130","1926 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2250","3453","","Scanned","12/336/2007"
"1006023382","T16S R11W, Sec. 20,     S2 N2 NE","KAHAN, LOUIS","Kahan and Associates, Inc","PRUSA, JOE 'A' 2","15-009-21475","1861 KB","Petro-Log                     ","Radiation Guard Log                                                  ","0","3284","110","Scanned","10/293/1978"
"1006023000","T16S R11W, Sec. 16,       NW NW"," ","Kahan and Associates, Inc","OESER, A.  1","15-009-21276","1806 KB","Petro-Log                     ","Radiation Guard Log                                                  ","0","3258","109","Unscanned","12/339/1977"
