KID,LASFILE
"1006029729","1028091350.las"
"1006026969","1028091462.las"
"1041108638","1044094259.las"
"1043566588","1044570877.las"
"1043949836","1044683240.las"
"1042761240","1044208506.las"
"1043997660","1044782200.las"
"1043940577","1044741348.las"
"1043986307","1044741260.las"
"1044009341","1044816636.las"
"1044975022","1045051813.las"
"1044262282","1044966182.las"
"1044261959","1045018935.las"
"1044771817","1045086120.las"
"1044583273","1045063353.las"
"1045383782","1046088307.las"
"1044930424","1046088616.las"
"1046502689","1051308565.las"
"1046499943","1046517308.las"
"1046652754","1046790403.las"
"1044940378","1051665439.las"
"1044950058","1046452285.las"
"1028709125","1044095414.las"
"1044099656","1044189413.las"
"1038704078","1044096060.las"
"1042201501","1044165546.las"
"1041344923","1044165679.las"
"1042548018","1044189798.las"
"1043341047","1044242020.las"
"1042661971","1044208548.las"
"1043127526","1044234245.las"
"1043992632","1044741237.las"
"1043955888","1044762114.las"
"1044593156","1044772820.las"
"1044221663","1044955779.las"
"1044854157","1046076414.las"
"1044976404","1046110472.las"
"1052431867","1053377869.las"
"1044963808","1046410926.las"
"1045383781","1046801171.las"
"1006027099","1028091349.las"
"1006022091","1028091351.las"
"1006027696","1028091352.las"
"1006026054","1028091354.las"
"1006050743","1028091460.las"
"1043685249","1044597593.las"
"1038697773","1043563105.las"
"1042761240","1044207901.las"
"1040927411","1044094777.las"
"1040658977","1044095092.las"
"1044138210","1044931175.las"
"1044235263","1044944679.las"
"1044221663","1044955992.las"
"1046419664","1046523577.las"
"1044898750","1046411365.las"
"1051984271","1053429311.las"
"1052966016","1053376683.las"
"1052431867","1053377596.las"
"1052088226","1053378270.las"
"1051984271","1053429293.las"
