KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1006023378","15-009-21473","-98.5402506","38.6616726","1867","KB","Arbuckle Group","3335","","ACO-1","04/15/1999"
"1006023378","15-009-21473","-98.5402506","38.6616726","1867","KB","Lansing Group","3020","","ACO-1","04/15/1999"
"1006023378","15-009-21473","-98.5402506","38.6616726","1867","KB","Stone Corral Formation","708","","ACO-1","04/15/1999"
"1006023380","15-009-21474","-98.5500698","38.6497473","1891","KB","Arbuckle Group","3314","","ACO-1","04/15/1999"
"1006023380","15-009-21474","-98.5500698","38.6497473","1891","KB","Heebner Shale Member","2916","","ACO-1","04/15/1999"
"1006023380","15-009-21474","-98.5500698","38.6497473","1891","KB","Kansas City Group","3296","","ACO-1","04/15/1999"
"1006023382","15-009-21475","-98.5581638","38.6498112","1861","KB","Heebner Shale Member","2885","","ACO-1","04/15/1999"
"1006023382","15-009-21475","-98.5581638","38.6498112","1861","KB","Lansing Group","3000","","ACO-1","04/15/1999"
"1006023382","15-009-21475","-98.5581638","38.6498112","1861","KB","Stone Corral Formation","712","","ACO-1","04/15/1999"
"1006023384","15-009-21476","-98.566347","38.6551967","1890","KB","Heebner Shale Member","2916","","ACO-1","04/15/1999"
"1006023384","15-009-21476","-98.566347","38.6551967","1890","KB","Toronto Limestone Member","2934","","ACO-1","04/15/1999"
"1006023386","15-009-21478","-98.5546782","38.6625102","1846","KB","Arbuckle Group","3305","","ACO-1","04/15/1999"
"1006023386","15-009-21478","-98.5546782","38.6625102","1846","KB","Heebner Shale Member","2887","","ACO-1","04/15/1999"
"1006023386","15-009-21478","-98.5546782","38.6625102","1846","KB","Kansas City Group","3260","","ACO-1","04/15/1999"
"1006023386","15-009-21478","-98.5546782","38.6625102","1846","KB","Lansing Group","2997","","ACO-1","04/15/1999"
"1006023386","15-009-21478","-98.5546782","38.6625102","1846","KB","Toronto Limestone Member","2905","","ACO-1","04/15/1999"
"1006023390","15-009-21481","-98.5523662","38.6624842","1867","KB","Heebner Shale Member","2904","","ACO-1","04/15/1999"
"1006023390","15-009-21481","-98.5523662","38.6624842","1867","KB","Topeka Limestone Formation","2613","","ACO-1","04/15/1999"
"1006023390","15-009-21481","-98.5523662","38.6624842","1867","KB","Toronto Limestone Member","2922","","ACO-1","04/15/1999"
"1006023408","15-009-21490","-98.5039782","38.548178","","","Arbuckle Group","3295","","ACO-1","04/15/1999"
"1006023408","15-009-21490","-98.5039782","38.548178","","","Heebner Shale Member","2893","","ACO-1","04/15/1999"
"1006023408","15-009-21490","-98.5039782","38.548178","","","Lansing Group","3013","","ACO-1","04/15/1999"
"1006023408","15-009-21490","-98.5039782","38.548178","","","Toronto Limestone Member","2911","","ACO-1","04/15/1999"
"1006023434","15-009-21504","-98.4900957","38.5623197","1863","KB","Arbuckle Group","3288","","ACO-1","04/15/1999"
"1006023434","15-009-21504","-98.4900957","38.5623197","1863","KB","Lansing Group","3015","","ACO-1","04/15/1999"
"1006025229","15-009-22459","-98.5512252","38.6679324","1795","KB","Heebner Shale Member","2851","","ACO-1","04/15/1999"
"1006025229","15-009-22459","-98.5512252","38.6679324","1795","KB","Kansas City Group","3231","","ACO-1","04/15/1999"
"1006025229","15-009-22459","-98.5512252","38.6679324","1795","KB","Lansing Group","2967","","ACO-1","04/15/1999"
"1006025229","15-009-22459","-98.5512252","38.6679324","1795","KB","Stone Corral Formation","651","","ACO-1","04/15/1999"
"1006025291","15-009-22493","-98.5103897","38.6117181","1938","KB","Heebner Shale Member","3002","","ACO-1","04/15/1999"
"1006027080","15-009-23452","-98.6255848","38.6935069","1886","KB","Kansas City Group","3310","","ACO-1","04/15/1999"
"1006027080","15-009-23452","-98.6255848","38.6935069","1886","KB","Lansing Group","3060","","ACO-1","04/15/1999"
"1006027086","15-009-23455","-98.6208535","38.6332089","1917","KB","Arbuckle Group","3380","","ACO-1","04/15/1999"
"1006027086","15-009-23455","-98.6208535","38.6332089","1917","KB","Stone Corral Formation","798","","ACO-1","04/15/1999"
"1006027099","15-009-23461","-98.5835359","38.6651669","1873","KB","Heebner Shale Member","2911","","ACO-1","04/15/1999"
"1006027099","15-009-23461","-98.5835359","38.6651669","1873","KB","Lansing Group","3023","","ACO-1","04/15/1999"
"1006027135","15-009-23481","-98.5292978","38.592533","1871","KB","Arbuckle Group","3287","","ACO-1","04/15/1999"
"1006027135","15-009-23481","-98.5292978","38.592533","1871","KB","Topeka Limestone Formation","2582","","ACO-1","04/15/1999"
"1006027151","15-009-23491","-98.5637223","38.6133902","1895","KB","Arbuckle Group","3335","","ACO-1","04/15/1999"
"1006027151","15-009-23491","-98.5637223","38.6133902","1895","KB","Lansing Group","3054","","ACO-1","04/15/1999"
