KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1001201930","15-009-03200","Frees","2","ALEDO OIL & GAS AND MURFIN DRILLING COMPANIES","","Kraft-Prusa","16","S","11","W","34","C"," ","NW","SE","NW","3630","-3630","SE","-98.5292385","38.6189267","Barton","","03/06/1951","04/21/1951","01/01/1970","OIL-P&A","Converted to SWD Well","3368","1930","KB"," "
"1001194085","15-009-06497","Woydziak","1","Palmer Oil Corp.","","Kraft-Prusa","16","S","12","W","1"," "," ","SE","SW","NE","","","","-98.5955262","38.6900703","Barton","","06/25/1948","07/06/1948","07/06/1948","D&A","Plugged and Abandoned","3345","1868","DF"," "
"1043955888","15-009-25603","Soeken","7","Zinszer Oil Co., Inc.","Patterson Energy LLC","Kraft-Prusa","17","S","11","W","15"," "," ","W2","SE","SW","660","1650","SW","-98.5292382","38.5671989","Barton","08/09/2011","09/13/2011","09/19/2011","","OIL","Producing","3400","1858","KB","Arbuckle"
"1006026514","15-009-23158","WONDRA  'A'","1","DOUBLE EAGLE EXPL","","Kraft-Prusa","17","S","11","W","8"," "," ","NW","NW","SW","2410","-4950","SE","-98.570772","38.5865097","Barton","","06/08/1983","06/14/1983","06/30/1983","D&A","Plugged and Abandoned","3375","1916","KB"," "
"1002886811","15-009-06398","GRIZZELL","1","LEBEN & NADEL-GUSSMAN","","Kraft-Prusa","17","S","11","W","26"," "," ","N2","S2","N2","3630","-2640","SE","-98.507523","38.5463334","Barton","10/18/1958","10/24/1958","10/31/1958","10/31/1958","D&A","Plugged and Abandoned","3351","1852","KB"," "
"1001198257","15-009-15776","Feltes","2","R.E. Day et al.","","Kraft-Prusa","16","S","12","W","14"," "," ","N2","SE","NE","3630","-660","SE","-98.6105026","38.6622099","Barton","","01/08/1941","03/26/1941","08/23/1956","OIL-P&A","Plugged and Abandoned","3342","1905","DF"," "
"1001198280","15-009-15295","Hogan","1","Cities Service Oil Co.","","Kraft-Prusa","17","S","11","W","11","C"," ","NW","SE","NW","3630","-3630","SE","-98.5108285","38.5898951","Barton","","08/10/1937","09/04/1937","12/01/1969","OIL-P&A","Spudded","3361","1905","DF"," "
"1001198376","15-009-03850","MEYERS 'B'","4","SUNRAY OIL CO INC","American Warrior, Inc.","Kraft-Prusa","17","S","11","W","13"," "," ","S2","SW","NE","2970","-1980","SE","-98.4866692","38.5735567","Barton","","12/16/1947","12/29/1948","09/21/2017","OIL-P&A","Plugged and Abandoned","3322","1884","KB"," "
"1001198457","15-009-03049","Schartz","3","Solar Oil Corp.","","Kraft-Prusa","16","S","11","W","18","C"," ","SE","NE","NE","4290","-330","SE","-98.5731413","38.6642781","Barton","","08/24/1941","09/06/1941","05/17/1962","OIL-P&A","Plugged and Abandoned","3321","1871","DF"," "
"1001198551","15-009-03930","SOEKEN, ONNO ","4","STANOLIND OIL & GAS CO","","Kraft-Prusa","17","S","11","W","22","C"," ","NE","NE","NW","4950","-2970","SE","-98.5271536","38.5644438","Barton","","06/05/1942","06/17/1942","03/01/1972","OIL-P&A","Spudded","3273","1840","DF"," "
"1001197225","15-009-06253","STAUDINGER","1","KAISER FRANCIS OIL CO","","Kraft-Prusa","16","S","11","W","7","C"," ","S2","NE","SW","1650","-3300","SE","-98.5835167","38.6714535","Barton","05/08/1963","05/24/1963","06/01/1963","06/30/1963","D&A","Plugged and Abandoned","3320","1867","KB"," "
"1001200817","15-009-15076","ZORN","3","HARMS & KNIGHT DRLG CO","","Kraft-Prusa","16","S","11","W","31","C"," ","NE","SE","SW","","","SE","-98.5818651","38.611609","Barton","","09/02/1953","09/13/1953","05/04/1968","OIL-P&A","Plugged and Abandoned","3328","1881","KB"," "
"1001201404","15-009-15118","HARZMAN, V. O. ","1","SHELL OIL CO","","Kraft-Prusa","16","S","11","W","33"," "," ","NE","NE","NW","4965","-2981","SE","-98.5453034","38.6225187","Barton","","12/31/1940","01/20/1941","05/08/1963","OIL-P&A","Plugged and Abandoned","3356","1919","DF"," "
"1006019287","15-009-00749","Laudick","1","Trans Era Petroleum, Inc.","","Kraft-Prusa","16","S","11","W","22","C"," ","SE","SW","NE","","","","-98.522363","38.6462441","Barton","","11/30/1953","12/12/1953","12/12/1953","D&A","Plugged and Abandoned","3433","1911","KB"," "
