"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1043997660","E3699","2600","3405"
"1001201612","14602","2900","3325"
"1043940578","F6604","2700","3350"
"1037025334","F4953","2600","3050"
"1043992632","F4941","2600","3100"
"1043914137","F4937","2700","3280"
"1043986307","F5008","2650","3320"
"1037025334","F4944","3050","3330"
"1001198433","26593","3200","3220"
"1043949836","F6595","2600","3346"
"1044031100","E3821","2700","3550"
"1006020175","26282","2900","3366"
"1001194063","60911","2500","3324"
"1001194078","61859","600","2995"
"1001194195","22869","2600","3370"
"1006026078","B1224","2300","3345"
"1006026232","B2890","2300","3354"
"1006026650","53332","2800","3351"
"1038698741","29074","3300","3372"
"1038698772","60260","3390","3580"
"1038698772","48669","3325","3390"
"1001194368","51184","2600","3369"
"1038698764","51250","2600","3340"
"1006024346","J9100","2700","3365"
"1006019796","22684","2800","3338"
"1001194494","49986","3000","3370"
"1036244715","50029","3300","3363"
"1001194625","F0565","2700","3347"
"1006027426","37232","2700","3417"
"1006029601","60681","2600","3405"
"1001198407","47558","3300","3321"
"1001197491","06887","0","400"
"1001197491","06889","1700","3107"
"1006020722","16550","2500","3305"
"1006023860","J6866","2400","3372"
"1006029918","53851","2600","3353"
"1006025037","A6555","2800","3310"
"1006022606","A2547","2600","3350"
"1001197177","06883","650","2500"
"1006020724","12939","2800","3280"
"1002886782","54198","2800","3316"
"1001197327","60344","2600","3260"
"1006022357","A0594","2600","3300"
"1002886781","06884","12","400"
"1002886781","06885","400","2597"
"1002886781","06886","2597","3373"
"1001197268","05186","2600","2850"
"1001197268","05187","2850","3370"
"1001197225","63066","2550","3330"
"1006024292","06886","2800","3200"
"1006024292","06887","3200","3291"
"1001197225","51533","2500","3320"
"1001197253","26564","2670","3375"
"1006028392","10172","2800","3335"
"1006026690","B5674","2600","3430"
"1006020750","49562","2500","3303"
"1001197520","04422","2700","3400"
"1001197407","17179","3110","3270"
"1001197634","68059","3250","3278"
"1001197620","49789","2200","3325"
"1006020728","15068","2700","3351"
"1006023452","J5834","2200","3355"
"1006030012","63864","2600","3327"
"1006021384","34662","2800","3290"
"1001198047","28578","3200","3323"
"1002887061","39318","2000","3000"
"1006021208","33548","2230","3350"
"1006023000","A5299","1300","3260"
"1001196228","07827","2600","3338"
"1001198012","06899","2500","2800"
"1002886765","30407","96","3309"
"1001198064","30194","3075","3080"
"1001198090","61640","2786","3222"
"1001198116","43812","3073","4205"
"1005750416","08128","2500","3277"
"1006023454","J5973","2520","3370"
"1006024020","J7333","2100","3340"
"1001198157","06901","2640","2900"
"1001198225","48234","2600","3286"
"1038834341","A7147","2500","3248"
"1006020366","57628","2500","3426"
"1001198099","G1461","2500","3270"
"1001198197","01202","1800","2875"
"1001198197","01172","2875","3277"
"1001198212","C5604","100","1560"
"1001198212","C5605","1560","2120"
"1006023384","F0890","2200","2910"
"1001198184","05580","2000","2900"
"1001198184","05581","2900","3325"
"1006026794","B1618","3293","3494"
"1001198144","04835","2900","3315"
"1002886786","06901","2900","3400"
"1001198527","05616","110","700"
"1001198527","05617","700","2500"
"1001198664","05092","3250","3405"
"1001198609","30146","500","2695"
"1001198634","06903","2890","3334"
"1001198681","04890","3000","3309"
"1001198708","05056","2650","3262"
"1006027099","B5745","2600","3307"
"1006027686","B8770","1900","3285"
"1001198729","04587","2600","3000"
"1001198729","04588","3000","3300"
"1001198670","08319","2600","3311"
"1001198758","11182","2600","3295"
"1006026172","B3452","2600","3285"
"1006027068","35966","2600","3263"
"1006027896","B9046","2510","3268"
"1001198756","06909","192","1000"
"1001198756","06910","1000","2800"
"1001198756","06911","2800","3328"
"1001198756","31905","3322","3470"
"1001198449","30214","2575","3283"
"1001198457","30372","2500","3250"
"1001198467","G0843","2600","3268"
"1001198474","27929","2500","3293"
"1001198488","29095","3200","3271"
"1002886787","28919","3200","3331"
"1001198831","04931","3005","3368"
"1001198793","27609","2600","3381"
"1002886933","10408","2650","3347"
"1001198859","18239","2600","3366"
"1001198871","28456","2600","3373"
"1001198780","54905","3060","3336"
"1001198896","07771","2600","3351"
"1043454089","06905","330","700"
"1002886931","27322","2600","3305"
"1006024969","G0892","2600","3480"
"1001199168","25392","3300","3307"
"1043966834","10410","2250","3015"
"1006023382","J5683","2200","3285"
"1008359644","05612","2500","3320"
"1001199076","C4952","2800","3100"
"1001199028","C5676","2950","3337"
"1001199136","06914","1606","3101"
"1001199119","G1311","3000","3245"
"1006821349","C5733","2500","3275"
"1001199098","C5896","2950","3515"
"1001199020","51615","2600","3294"
"1001198980","28579","2500","2850"
"1035940565","05331","3100","3345"
"1001199000","27547","2750","3428"
"1006022994","A4929","1294","3335"
"1001199402","06916","3000","3380"
"1001199266","05565","120","1900"
"1001199319","C5088","3000","3275"
"1001199287","10310","1600","3305"
"1001199314","06917","2800","3314"
"1001199310","C5348","3125","3300"
"1006023380","J5703","2200","3317"
"1001199258","44397","230","1970"
"1001199347","05689","3551","3987"
"1001199357","46788","2650","3369"
"1006821642","46781","2650","3368"
"1001199223","50407","2850","3402"
"1001199230","06918","123","1100"
