"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1043740852","E3273","3150","3625"
"1043740852","E3274","3625","3729"
"1044035033","F4736","3200","3762"
"1002941504","37976","3200","3895"
"1006129367","52313","3350","3800"
"1001289201","10034","3200","3850"
"1001289202","C1639","3500","3857"
"1037023942","19382","3200","3800"
"1002941618","10663","2300","3915"
"1002941146","06135","3755","3936"
"1001289207","07576","3100","3914"
"1001289210","34029","3800","3845"
"1001289212","31512","3500","3840"
"1006129676","53057","3200","3835"
"1036872661","06136","3200","3851"
"1001289211","04259","3200","3849"
"1001289240","26494","3860","4240"
"1001289714","55049","3200","3640"
"1001289242","11204","3300","3845"
"1001289244","12797","3200","3865"
"1002941499","08856","3000","3861"
"1001289249","09839","3200","3812"
"1001289252","10287","3600","3827"
"1001289235","10808","1650","3805"
"1001289263","08777","3200","3880"
"1002942248","08649","3000","3782"
"1001289272","11579","3200","3829"
"1001289261","11373","3250","3550"
"1001289267","10739","3200","3861"
"1002941427","08708","3100","3915"
"1002941937","10913","3440","3850"
"1001290255","54286","3200","3787"
"1001290244","54283","3455","3756"
"1001290267","54282","3450","3791"
"1005729604","54282","3400","3744"
"1001290274","63512","3300","3785"
"1001290253","63516","3300","3770"
"1001290287","F0196","3350","3735"
"1001290276","63561","3650","3779"
"1001290273","07654","3200","3776"
"1001290275","07763","3200","3762"
"1001290270","11318","3100","3785"
"1006128977","C7746","3100","3758"
"1002942346","39282","3100","3835"
"1006123823","56158","3000","3713"
"1001290303","24622","3400","3900"
"1001290298","34525","3742","3822"
"1006128907","C6951","3200","3975"
"1002941561","09106","3200","3825"
"1001290314","05432","3700","3881"
"1002941881","A8946","3400","3818"
"1002941143","06254","2750","3995"
"1002941416","46072","2500","3875"
"1002941924","11606","3400","3870"
"1002941657","30605","3200","3820"
"1001286092","71299","3200","3850"
"1002941705","65802","3300","3830"
"1002941445","65735","2500","3735"
"1006129738","53377","3595","3760"
"1002942198","08862","1400","3730"
"1002942200","09012","3105","3793"
"1002941321","14803","3100","3726"
"1001290360","28912","3650","3685"
"1006123871","56700","3000","3630"
"1006123771","35568","2500","3857"
"1006124489","A3524","3310","3717"
"1002942001","12411","3150","3786"
"1001290371","16287","3200","3845"
"1006127936","B8466","260","860"
"1006127936","B8467","860","3530"
"1006129446","62508","3000","3770"
"1006128694","C3756","3200","3783"
"1002941311","54271","3400","3779"
"1001290380","13046","3300","4306"
"1002942012","39079","2700","3450"
"1002942012","39080","3450","3740"
"1001290404","06257","3700","3763"
"1002941304","08823","3600","3748"
"1001290402","54126","3400","3760"
"1041467369","05961","3150","3791"
"1037340986","04448","3200","3759"
"1001290400","04619","3300","3749"
"1001290401","26010","3650","3790"
"1002941647","08468","3350","3780"
"1006128375","B9493","3100","3696"
"1006128583","C0497","3100","3400"
"1001290390","07795","3100","3753"
"1001290398","08696","3200","3835"
"1001290387","05298","3100","3782"
"1001290411","08086","3100","3680"
"1001290412","07975","3100","3698"
"1001290414","07236","3100","3726"
"1002942040","39039","3100","3779"
"1006124441","A2791","2800","3715"
"1006123755","35235","3100","3767"
"1002941407","47580","3400","3870"
"1037650018","52777","3200","3860"
"1006126063","B4232","3050","3600"
"1001290421","14907","3100","3773"
