KID,LASFILE
"1036550057","1043924658.las"
"1034870620","1043994810.las"
"1044186379","1044944838.las"
"1044217045","1045019372.las"
"1045666649","1046112875.las"
"1051175501","1051581972.las"
"1046464516","1050390337.las"
"1044994275","1046462288.las"
"1036550049","1043562783.las"
"1036550049","1043562784.las"
"1040862713","1043562552.las"
"1036550057","1043924659.las"
"1036550057","1043924660.las"
"1031523815","1043804625.las"
"1038515366","1044096157.las"
"1044162564","1044859389.las"
"1044096978","1044817579.las"
"1044065206","1044818924.las"
"1044065207","1044818928.las"
"1043342517","1044571434.las"
"1043342516","1044571461.las"
"1043623028","1044639664.las"
"1044598969","1044655309.las"
"1043740852","1044772848.las"
"1044041341","1044781974.las"
"1044565047","1045053934.las"
"1044756423","1045141673.las"
"1044756423","1045141680.las"
"1052834320","1053377099.las"
"1051175502","1051581975.las"
"1051175501","1051581979.las"
"1051175502","1051581985.las"
"1052834320","1053376582.las"
"1051910831","1053376142.las"
"1051916290","1053379212.las"
"1043688533","1044819614.las"
"1042195508","1044208588.las"
"1044141604","1044956645.las"
"1044251018","1045063941.las"
"1046920778","1051850984.las"
"1052834320","1053376630.las"
"1052637347","1053377661.las"
"1053350175","1053428710.las"
